날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-01,데일리안,경제,긍정,1,확대,15,12.93,11,116,#0d2b5c,#0d2b5c,Y
2026-09-01,데일리안,경제,긍정,2,계약,15,12.93,11,116,#1c3b6b,#1e3d6c,Y
2026-09-01,데일리안,경제,긍정,3,투자,13,11.21,11,116,#2c4c7a,#2f4f7d,Y
2026-09-01,데일리안,경제,긍정,4,안정,11,9.48,11,116,#3b5c88,#41628d,Y
2026-09-01,데일리안,경제,긍정,5,전시,10,8.62,11,116,#4b6d97,#52749e,Y
2026-09-01,데일리안,경제,긍정,6,참여,10,8.62,11,116,#5b7ea6,#6387ae,Y
2026-09-01,데일리안,경제,긍정,7,안전,9,7.76,11,116,#6a8eb5,#7499bf,Y
2026-09-01,데일리안,경제,긍정,8,최대,9,7.76,11,116,#7a9fc4,#86accf,Y
2026-09-01,데일리안,경제,긍정,9,협력,9,7.76,11,116,#89afd2,#97bee0,Y
2026-09-01,데일리안,경제,긍정,10,지원,8,6.9,11,116,#99c0e1,#a8d0f0,Y
2026-09-01,데일리안,경제,긍정,11,혁신,7,6.03,11,116,#a8d0f0,,N
2026-09-01,데일리안,경제,부정,1,감소,9,100.0,1,9,#7a0a12,#7a0a12,Y
