날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-01,데일리안,이슈,1,금리,41,중립
2026-09-01,데일리안,이슈,2,시장,25,중립
2026-09-01,데일리안,이슈,3,청년,22,중립
2026-09-01,데일리안,이슈,4,네팔,21,중립
2026-09-01,데일리안,이슈,5,대표,21,중립
2026-09-01,데일리안,이슈,6,정책,19,중립
2026-09-01,데일리안,이슈,7,발전소,19,중립
2026-09-01,데일리안,이슈,8,코인,19,중립
2026-09-01,데일리안,이슈,9,터널,17,중립
2026-09-01,데일리안,이슈,10,확인,17,중립
2026-09-01,데일리안,이슈,11,방송,16,중립
2026-09-01,데일리안,이슈,12,퇴사,16,중립
2026-09-01,데일리안,이슈,13,의원,15,중립
2026-09-01,데일리안,이슈,14,실종,14,부정
2026-09-01,데일리안,이슈,15,시신,14,중립
2026-09-01,데일리안,이슈,16,민주당,14,중립
2026-09-01,데일리안,이슈,17,데일리안,14,중립
2026-09-01,데일리안,이슈,18,인상,13,중립
2026-09-01,데일리안,이슈,19,홍수,13,중립
2026-09-01,데일리안,이슈,20,구조,13,중립
2026-09-01,데일리안,이슈,21,공개,12,중립
2026-09-01,데일리안,이슈,22,연락,12,중립
2026-09-01,데일리안,이슈,23,수색,12,중립
2026-09-01,데일리안,이슈,24,가격,12,중립
2026-09-01,데일리안,이슈,25,직장암,12,중립
2026-09-01,데일리안,이슈,26,대통령,11,중립
2026-09-01,데일리안,이슈,27,수력,11,중립
2026-09-01,데일리안,이슈,28,집값,10,중립
2026-09-01,데일리안,이슈,29,분석,10,중립
2026-09-01,데일리안,이슈,30,발견,10,중립
2026-09-01,데일리안,이슈,31,비트코인,10,중립
2026-09-01,데일리안,이슈,32,유동,10,중립
2026-09-01,데일리안,이슈,33,스피커,9,중립
2026-09-01,데일리안,이슈,34,학교,9,중립
2026-09-01,데일리안,이슈,35,신상,9,중립
2026-09-01,데일리안,이슈,36,실업,9,부정
2026-09-01,데일리안,이슈,37,급여,9,중립
2026-09-01,데일리안,이슈,38,한국인,9,중립
2026-09-01,데일리안,이슈,39,가능,9,중립
2026-09-01,데일리안,이슈,40,작업,9,중립
2026-09-01,데일리안,이슈,41,실종자,9,중립
2026-09-01,데일리안,이슈,42,정부,9,중립
2026-09-01,데일리안,이슈,43,추가,9,중립
2026-09-01,데일리안,이슈,44,주택,9,중립
2026-09-01,데일리안,이슈,45,김어준,8,중립
2026-09-01,데일리안,이슈,46,시간,8,중립
2026-09-01,데일리안,이슈,47,전체,8,중립
2026-09-01,데일리안,이슈,48,차주,8,중립
2026-09-01,데일리안,이슈,49,고용,8,긍정
2026-09-01,데일리안,이슈,50,상승,8,긍정
2026-09-01,데일리안,이슈,51,지난달,8,중립
2026-09-01,데일리안,이슈,52,미국,8,중립
2026-09-01,데일리안,이슈,53,부족,8,중립
2026-09-01,데일리안,이슈,54,검사,8,중립
2026-09-01,데일리안,이슈,55,증상,8,중립
2026-09-01,데일리안,이슈,56,치료,8,중립
2026-09-01,데일리안,이슈,57,자산,8,중립
2026-09-01,데일리안,이슈,58,장관,7,중립
2026-09-01,데일리안,이슈,59,의원직,7,중립
2026-09-01,데일리안,이슈,60,선택,7,중립
2026-09-01,데일리안,이슈,61,최대,7,긍정
2026-09-01,데일리안,이슈,62,이재명,7,중립
2026-09-01,데일리안,이슈,63,청와대,7,중립
2026-09-01,데일리안,이슈,64,경제,7,중립
2026-09-01,데일리안,이슈,65,당원,7,중립
2026-09-01,데일리안,이슈,66,영향,7,중립
2026-09-01,데일리안,이슈,67,정보,7,중립
2026-09-01,데일리안,이슈,68,판단,7,중립
2026-09-01,데일리안,이슈,69,당국,7,중립
2026-09-01,데일리안,이슈,70,피해,7,부정
2026-09-01,데일리안,이슈,71,대출,7,중립
2026-09-01,데일리안,이슈,72,배변,7,중립
2026-09-01,데일리안,이슈,73,대장,7,중립
2026-09-01,데일리안,이슈,74,수술,7,중립
2026-09-01,데일리안,이슈,75,토큰,7,중립
2026-09-01,데일리안,이슈,76,가상,7,중립
2026-09-01,데일리안,이슈,77,학생,6,중립
2026-09-01,데일리안,이슈,78,교장,6,중립
2026-09-01,데일리안,이슈,79,유학,6,중립
2026-09-01,데일리안,이슈,80,살해,6,부정
2026-09-01,데일리안,이슈,81,중국인,6,중립
2026-09-01,데일리안,이슈,82,정책실장,6,중립
2026-09-01,데일리안,이슈,83,구조대,6,중립
2026-09-01,데일리안,이슈,84,진입,6,중립
2026-09-01,데일리안,이슈,85,두절,6,중립
2026-09-01,데일리안,이슈,86,정창성,6,중립
2026-09-01,데일리안,이슈,87,견제,6,중립
2026-09-01,데일리안,이슈,88,성공,6,긍정
2026-09-01,데일리안,이슈,89,서울,6,중립
2026-09-01,데일리안,이슈,90,국회,6,중립
2026-09-01,데일리안,이슈,91,공식,6,중립
2026-09-01,데일리안,이슈,92,이슈,6,중립
2026-09-01,데일리안,이슈,93,국민,6,중립
2026-09-01,데일리안,이슈,94,지역,6,중립
2026-09-01,데일리안,이슈,95,부담,6,부정
2026-09-01,데일리안,이슈,96,유지,6,중립
2026-09-01,데일리안,이슈,97,대변인,6,중립
2026-09-01,데일리안,이슈,98,아파트,6,중립
2026-09-01,데일리안,이슈,99,충격,6,중립
2026-09-01,데일리안,이슈,100,증가,6,긍정
