날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-01,데일리안,주요뉴스,1,금리,63,중립
2026-09-01,데일리안,주요뉴스,2,정책,31,중립
2026-09-01,데일리안,주요뉴스,3,네팔,29,중립
2026-09-01,데일리안,주요뉴스,4,인상,24,중립
2026-09-01,데일리안,주요뉴스,5,청년,23,중립
2026-09-01,데일리안,주요뉴스,6,시장,23,중립
2026-09-01,데일리안,주요뉴스,7,예금,22,중립
2026-09-01,데일리안,주요뉴스,8,기준,21,중립
2026-09-01,데일리안,주요뉴스,9,정부,20,중립
2026-09-01,데일리안,주요뉴스,10,발전소,19,중립
2026-09-01,데일리안,주요뉴스,11,부동산,18,중립
2026-09-01,데일리안,주요뉴스,12,대통령,18,중립
2026-09-01,데일리안,주요뉴스,13,홍수,18,중립
2026-09-01,데일리안,주요뉴스,14,터널,17,중립
2026-09-01,데일리안,주요뉴스,15,구조,17,중립
2026-09-01,데일리안,주요뉴스,16,실장,16,중립
2026-09-01,데일리안,주요뉴스,17,퇴사,16,중립
2026-09-01,데일리안,주요뉴스,18,시신,15,중립
2026-09-01,데일리안,주요뉴스,19,은행,15,중립
2026-09-01,데일리안,주요뉴스,20,정기,15,중립
2026-09-01,데일리안,주요뉴스,21,집값,14,중립
2026-09-01,데일리안,주요뉴스,22,연락,14,중립
2026-09-01,데일리안,주요뉴스,23,주택,14,중립
2026-09-01,데일리안,주요뉴스,24,데일리안,14,중립
2026-09-01,데일리안,주요뉴스,25,의원,13,중립
2026-09-01,데일리안,주요뉴스,26,지난달,13,중립
2026-09-01,데일리안,주요뉴스,27,공급,13,중립
2026-09-01,데일리안,주요뉴스,28,수색,13,중립
2026-09-01,데일리안,주요뉴스,29,실종,12,부정
2026-09-01,데일리안,주요뉴스,30,증시,12,중립
2026-09-01,데일리안,주요뉴스,31,추가,12,중립
2026-09-01,데일리안,주요뉴스,32,장관,11,중립
2026-09-01,데일리안,주요뉴스,33,가능,11,중립
2026-09-01,데일리안,주요뉴스,34,수력,11,중립
2026-09-01,데일리안,주요뉴스,35,증권,10,중립
2026-09-01,데일리안,주요뉴스,36,지원,10,긍정
2026-09-01,데일리안,주요뉴스,37,정책실장,10,중립
2026-09-01,데일리안,주요뉴스,38,공개,10,중립
2026-09-01,데일리안,주요뉴스,39,실업,10,부정
2026-09-01,데일리안,주요뉴스,40,급여,10,중립
2026-09-01,데일리안,주요뉴스,41,한국인,10,중립
2026-09-01,데일리안,주요뉴스,42,상승,10,긍정
2026-09-01,데일리안,주요뉴스,43,실적,9,중립
2026-09-01,데일리안,주요뉴스,44,학교,9,중립
2026-09-01,데일리안,주요뉴스,45,청와대,9,중립
2026-09-01,데일리안,주요뉴스,46,지역,9,중립
2026-09-01,데일리안,주요뉴스,47,구호,9,중립
2026-09-01,데일리안,주요뉴스,48,국민,9,중립
2026-09-01,데일리안,주요뉴스,49,평가,9,중립
2026-09-01,데일리안,주요뉴스,50,하락,9,부정
2026-09-01,데일리안,주요뉴스,51,확인,9,중립
2026-09-01,데일리안,주요뉴스,52,실종자,9,중립
2026-09-01,데일리안,주요뉴스,53,신상,8,중립
2026-09-01,데일리안,주요뉴스,54,피해,8,부정
2026-09-01,데일리안,주요뉴스,55,지지,8,중립
2026-09-01,데일리안,주요뉴스,56,금융,8,중립
2026-09-01,데일리안,주요뉴스,57,확대,8,긍정
2026-09-01,데일리안,주요뉴스,58,수준,8,중립
2026-09-01,데일리안,주요뉴스,59,상반기,8,중립
2026-09-01,데일리안,주요뉴스,60,증권사,8,중립
2026-09-01,데일리안,주요뉴스,61,고용,8,긍정
2026-09-01,데일리안,주요뉴스,62,차주,8,중립
2026-09-01,데일리안,주요뉴스,63,김용,7,중립
2026-09-01,데일리안,주요뉴스,64,의원직,7,중립
2026-09-01,데일리안,주요뉴스,65,이재명,7,중립
2026-09-01,데일리안,주요뉴스,66,두절,7,중립
2026-09-01,데일리안,주요뉴스,67,세제,7,중립
2026-09-01,데일리안,주요뉴스,68,가격,7,중립
2026-09-01,데일리안,주요뉴스,69,판단,7,중립
2026-09-01,데일리안,주요뉴스,70,시간,7,중립
2026-09-01,데일리안,주요뉴스,71,조사,7,중립
2026-09-01,데일리안,주요뉴스,72,자금,7,중립
2026-09-01,데일리안,주요뉴스,73,현지,7,중립
2026-09-01,데일리안,주요뉴스,74,대출,7,중립
