날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-01,매일신문,세계,1,네팔,52,중립
2026-09-01,매일신문,세계,2,미국,47,중립
2026-09-01,매일신문,세계,3,트럼프,46,중립
2026-09-01,매일신문,세계,4,시신,46,중립
2026-09-01,매일신문,세계,5,현지,37,중립
2026-09-01,매일신문,세계,6,홍수,34,중립
2026-09-01,매일신문,세계,7,대통령,34,중립
2026-09-01,매일신문,세계,8,중국,24,중립
2026-09-01,매일신문,세계,9,구조,24,중립
2026-09-01,매일신문,세계,10,시간,23,중립
2026-09-01,매일신문,세계,11,법원,20,중립
2026-09-01,매일신문,세계,12,작업,20,중립
2026-09-01,매일신문,세계,13,사건,19,중립
2026-09-01,매일신문,세계,14,지역,19,중립
2026-09-01,매일신문,세계,15,경찰,18,중립
2026-09-01,매일신문,세계,16,한국,16,중립
2026-09-01,매일신문,세계,17,터널,16,중립
2026-09-01,매일신문,세계,18,베네수엘라,16,중립
2026-09-01,매일신문,세계,19,연합뉴스,16,중립
2026-09-01,매일신문,세계,20,대피,15,중립
2026-09-01,매일신문,세계,21,현장,14,중립
2026-09-01,매일신문,세계,22,병원,14,중립
2026-09-01,매일신문,세계,23,구조대,14,중립
2026-09-01,매일신문,세계,24,확인,14,중립
2026-09-01,매일신문,세계,25,수력,13,중립
2026-09-01,매일신문,세계,26,규모,13,중립
2026-09-01,매일신문,세계,27,학교,13,중립
2026-09-01,매일신문,세계,28,일본,12,중립
2026-09-01,매일신문,세계,29,신원,12,중립
2026-09-01,매일신문,세계,30,재난,12,부정
2026-09-01,매일신문,세계,31,캐나다,12,중립
2026-09-01,매일신문,세계,32,지원,11,긍정
2026-09-01,매일신문,세계,33,시설,11,중립
2026-09-01,매일신문,세계,34,당국,11,중립
2026-09-01,매일신문,세계,35,빙하,11,중립
2026-09-01,매일신문,세계,36,식당,10,중립
2026-09-01,매일신문,세계,37,발견,10,중립
2026-09-01,매일신문,세계,38,석유,10,중립
2026-09-01,매일신문,세계,39,이송,10,중립
2026-09-01,매일신문,세계,40,트리슐리,10,중립
2026-09-01,매일신문,세계,41,피해,10,부정
2026-09-01,매일신문,세계,42,수색,10,중립
2026-09-01,매일신문,세계,43,공간,10,중립
2026-09-01,매일신문,세계,44,가능,10,중립
2026-09-01,매일신문,세계,45,연방,10,중립
2026-09-01,매일신문,세계,46,실종자,9,중립
2026-09-01,매일신문,세계,47,국제,9,중립
2026-09-01,매일신문,세계,48,요청,9,중립
2026-09-01,매일신문,세계,49,발전소,9,중립
2026-09-01,매일신문,세계,50,인간,9,중립
2026-09-01,매일신문,세계,51,고립,8,중립
2026-09-01,매일신문,세계,52,대만,8,중립
2026-09-01,매일신문,세계,53,발전,8,중립
2026-09-01,매일신문,세계,54,경보,8,중립
2026-09-01,매일신문,세계,55,갈라보티,8,중립
2026-09-01,매일신문,세계,56,사망자,8,중립
2026-09-01,매일신문,세계,57,실종,8,부정
2026-09-01,매일신문,세계,58,결정,8,중립
2026-09-01,매일신문,세계,59,일부,8,중립
2026-09-01,매일신문,세계,60,도널드,8,중립
2026-09-01,매일신문,세계,61,요구,8,중립
2026-09-01,매일신문,세계,62,보관,8,중립
2026-09-01,매일신문,세계,63,정부,8,중립
2026-09-01,매일신문,세계,64,신청,8,중립
2026-09-01,매일신문,세계,65,교장,7,중립
2026-09-01,매일신문,세계,66,장비,7,중립
2026-09-01,매일신문,세계,67,개명,7,중립
2026-09-01,매일신문,세계,68,경고,7,부정
2026-09-01,매일신문,세계,69,이동,7,중립
2026-09-01,매일신문,세계,70,공개,7,중립
2026-09-01,매일신문,세계,71,전문,7,중립
2026-09-01,매일신문,세계,72,대응,7,중립
2026-09-01,매일신문,세계,73,추정,7,중립
2026-09-01,매일신문,세계,74,티베트,7,중립
2026-09-01,매일신문,세계,75,위험,7,부정
2026-09-01,매일신문,세계,76,부패,7,부정
2026-09-01,매일신문,세계,77,사망,7,부정
2026-09-01,매일신문,세계,78,내용,7,중립
2026-09-01,매일신문,세계,79,기업,7,중립
2026-09-01,매일신문,세계,80,판사,7,중립
2026-09-01,매일신문,세계,81,추가,7,중립
2026-09-01,매일신문,세계,82,훼손,7,부정
2026-09-01,매일신문,세계,83,협정,7,중립
2026-09-01,매일신문,세계,84,사형,7,중립
2026-09-01,매일신문,세계,85,고령자,6,중립
2026-09-01,매일신문,세계,86,사고,6,부정
2026-09-01,매일신문,세계,87,조기,6,중립
2026-09-01,매일신문,세계,88,학생,6,중립
2026-09-01,매일신문,세계,89,자신,6,중립
2026-09-01,매일신문,세계,90,건물,6,중립
2026-09-01,매일신문,세계,91,인근,6,중립
2026-09-01,매일신문,세계,92,에너지,6,중립
2026-09-01,매일신문,세계,93,도쿄,6,중립
2026-09-01,매일신문,세계,94,가가와,6,중립
2026-09-01,매일신문,세계,95,세계,6,중립
2026-09-01,매일신문,세계,96,갈등,6,부정
2026-09-01,매일신문,세계,97,내부,6,중립
2026-09-01,매일신문,세계,98,검사,6,중립
2026-09-01,매일신문,세계,99,냉동,6,중립
2026-09-01,매일신문,세계,100,국경,6,중립
