날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-01,매일신문,정치,1,의원,70,중립
2026-09-01,매일신문,정치,2,대통령,68,중립
2026-09-01,매일신문,정치,3,장관,60,중립
2026-09-01,매일신문,정치,4,후보자,60,중립
2026-09-01,매일신문,정치,5,대표,56,중립
2026-09-01,매일신문,정치,6,국민,38,중립
2026-09-01,매일신문,정치,7,위원장,33,중립
2026-09-01,매일신문,정치,8,민주당,32,중립
2026-09-01,매일신문,정치,9,정치,28,중립
2026-09-01,매일신문,정치,10,비례,25,중립
2026-09-01,매일신문,정치,11,비판,24,부정
2026-09-01,매일신문,정치,12,논란,23,부정
2026-09-01,매일신문,정치,13,정부,23,중립
2026-09-01,매일신문,정치,14,이재명,23,중립
2026-09-01,매일신문,정치,15,지명,22,중립
2026-09-01,매일신문,정치,16,원내,21,중립
2026-09-01,매일신문,정치,17,국회,21,중립
2026-09-01,매일신문,정치,18,법무부,21,중립
2026-09-01,매일신문,정치,19,공장,20,중립
2026-09-01,매일신문,정치,20,방송,19,중립
2026-09-01,매일신문,정치,21,당협,18,중립
2026-09-01,매일신문,정치,22,당원,17,중립
2026-09-01,매일신문,정치,23,지역,17,중립
2026-09-01,매일신문,정치,24,더불어민주당,16,중립
2026-09-01,매일신문,정치,25,주장,16,중립
2026-09-01,매일신문,정치,26,취소,16,부정
2026-09-01,매일신문,정치,27,청년,15,중립
2026-09-01,매일신문,정치,28,인사,15,중립
2026-09-01,매일신문,정치,29,기득,14,중립
2026-09-01,매일신문,정치,30,대응,14,중립
2026-09-01,매일신문,정치,31,특별,14,중립
2026-09-01,매일신문,정치,32,연합뉴스,14,중립
2026-09-01,매일신문,정치,33,출연,13,중립
2026-09-01,매일신문,정치,34,박지,13,중립
2026-09-01,매일신문,정치,35,정당,13,중립
2026-09-01,매일신문,정치,36,구호,12,중립
2026-09-01,매일신문,정치,37,정책,12,중립
2026-09-01,매일신문,정치,38,위원회,12,중립
2026-09-01,매일신문,정치,39,가족부,12,중립
2026-09-01,매일신문,정치,40,공소,12,중립
2026-09-01,매일신문,정치,41,평등,11,중립
2026-09-01,매일신문,정치,42,페이스북,11,중립
2026-09-01,매일신문,정치,43,성평등,11,중립
2026-09-01,매일신문,정치,44,인구,10,중립
2026-09-01,매일신문,정치,45,현안,10,중립
2026-09-01,매일신문,정치,46,사퇴,10,부정
2026-09-01,매일신문,정치,47,노무현,10,중립
2026-09-01,매일신문,정치,48,강화,10,긍정
2026-09-01,매일신문,정치,49,기존,10,중립
2026-09-01,매일신문,정치,50,반영,10,중립
2026-09-01,매일신문,정치,51,사업,10,중립
2026-09-01,매일신문,정치,52,과정,10,중립
2026-09-01,매일신문,정치,53,이혜훈,9,중립
2026-09-01,매일신문,정치,54,네팔,9,중립
2026-09-01,매일신문,정치,55,긴급,9,중립
2026-09-01,매일신문,정치,56,사법,9,중립
2026-09-01,매일신문,정치,57,지원,9,긍정
2026-09-01,매일신문,정치,58,후보,9,중립
2026-09-01,매일신문,정치,59,자신,9,중립
2026-09-01,매일신문,정치,60,노종면,8,중립
2026-09-01,매일신문,정치,61,독도,8,중립
2026-09-01,매일신문,정치,62,동시,8,중립
2026-09-01,매일신문,정치,63,평전,8,중립
2026-09-01,매일신문,정치,64,평가,8,중립
2026-09-01,매일신문,정치,65,주요,8,중립
2026-09-01,매일신문,정치,66,참여,8,긍정
2026-09-01,매일신문,정치,67,합천,8,중립
2026-09-01,매일신문,정치,68,사례,8,중립
2026-09-01,매일신문,정치,69,기본소득,8,중립
2026-09-01,매일신문,정치,70,사건,8,중립
2026-09-01,매일신문,정치,71,재판,8,부정
2026-09-01,매일신문,정치,72,해외,8,중립
2026-09-01,매일신문,정치,73,회의,8,중립
2026-09-01,매일신문,정치,74,대법원장,8,중립
2026-09-01,매일신문,정치,75,감사,8,긍정
2026-09-01,매일신문,정치,76,공항,7,중립
2026-09-01,매일신문,정치,77,공정,7,중립
2026-09-01,매일신문,정치,78,개각,7,중립
2026-09-01,매일신문,정치,79,여론,7,중립
2026-09-01,매일신문,정치,80,시간,7,중립
2026-09-01,매일신문,정치,81,총선,7,중립
2026-09-01,매일신문,정치,82,집중,7,중립
2026-09-01,매일신문,정치,83,통합,7,중립
2026-09-01,매일신문,정치,84,관광,7,중립
2026-09-01,매일신문,정치,85,중심,7,중립
2026-09-01,매일신문,정치,86,부처,7,중립
2026-09-01,매일신문,정치,87,의원직,7,중립
2026-09-01,매일신문,정치,88,인물,7,중립
2026-09-01,매일신문,정치,89,임명,7,중립
2026-09-01,매일신문,정치,90,파견,7,중립
2026-09-01,매일신문,정치,91,여권,7,중립
2026-09-01,매일신문,정치,92,야당,7,중립
2026-09-01,매일신문,정치,93,위원,7,중립
2026-09-01,매일신문,정치,94,법관,7,중립
2026-09-01,매일신문,정치,95,경북도,6,중립
2026-09-01,매일신문,정치,96,의회,6,중립
2026-09-01,매일신문,정치,97,한류,6,중립
2026-09-01,매일신문,정치,98,특위,6,중립
2026-09-01,매일신문,정치,99,확보,6,긍정
2026-09-01,매일신문,정치,100,특혜,6,중립
