날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-01,아시아경제,사회,긍정,1,안전,16,20.51,9,78,#0d2b5c,#0d2b5c,Y
2026-09-01,아시아경제,사회,긍정,2,혁신,12,15.38,9,78,#20406f,#20406f,Y
2026-09-01,아시아경제,사회,긍정,3,확대,11,14.1,9,78,#345481,#345481,Y
2026-09-01,아시아경제,사회,긍정,4,개선,9,11.54,9,78,#476994,#476994,Y
2026-09-01,아시아경제,사회,긍정,5,인정,6,7.69,9,78,#5b7ea6,#5b7ea6,Y
2026-09-01,아시아경제,사회,긍정,6,선정,6,7.69,9,78,#6e93b9,#6e93b9,Y
2026-09-01,아시아경제,사회,긍정,7,출시,6,7.69,9,78,#82a7cb,#82a7cb,Y
2026-09-01,아시아경제,사회,긍정,8,혜택,6,7.69,9,78,#95bcde,#95bcde,Y
2026-09-01,아시아경제,사회,긍정,9,편의,6,7.69,9,78,#a8d0f0,#a8d0f0,Y
2026-09-01,아시아경제,사회,부정,1,규제,9,24.32,5,37,#7a0a12,#7a0a12,Y
2026-09-01,아시아경제,사회,부정,2,제한,9,24.32,5,37,#983137,#983137,Y
2026-09-01,아시아경제,사회,부정,3,혐의,7,18.92,5,37,#b6585c,#b6585c,Y
2026-09-01,아시아경제,사회,부정,4,재난,6,16.22,5,37,#d47f81,#d47f81,Y
2026-09-01,아시아경제,사회,부정,5,논란,6,16.22,5,37,#f2a6a6,#f2a6a6,Y
