날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-01,조선일보,IT과학,긍정,1,최대,26,24.07,9,108,#0d2b5c,#0d2b5c,Y
2026-09-01,조선일보,IT과학,긍정,2,확대,16,14.81,9,108,#20406f,#20406f,Y
2026-09-01,조선일보,IT과학,긍정,3,계약,14,12.96,9,108,#345481,#345481,Y
2026-09-01,조선일보,IT과학,긍정,4,투자,11,10.19,9,108,#476994,#476994,Y
2026-09-01,조선일보,IT과학,긍정,5,안정,9,8.33,9,108,#5b7ea6,#5b7ea6,Y
2026-09-01,조선일보,IT과학,긍정,6,수주,8,7.41,9,108,#6e93b9,#6e93b9,Y
2026-09-01,조선일보,IT과학,긍정,7,협력,8,7.41,9,108,#82a7cb,#82a7cb,Y
2026-09-01,조선일보,IT과학,긍정,8,최고,8,7.41,9,108,#95bcde,#95bcde,Y
2026-09-01,조선일보,IT과학,긍정,9,안전,8,7.41,9,108,#a8d0f0,#a8d0f0,Y
2026-09-01,조선일보,IT과학,부정,1,규제,15,39.47,3,38,#7a0a12,#7a0a12,Y
2026-09-01,조선일보,IT과학,부정,2,갈등,13,34.21,3,38,#b6585c,#b6585c,Y
2026-09-01,조선일보,IT과학,부정,3,파업,10,26.32,3,38,#f2a6a6,#f2a6a6,Y
