날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-02,데일리안,사회,1,수사,26,부정
2026-09-02,데일리안,사회,2,주택,25,중립
2026-09-02,데일리안,사회,3,주민,20,중립
2026-09-02,데일리안,사회,4,경찰청장,19,중립
2026-09-02,데일리안,사회,5,홍보,18,중립
2026-09-02,데일리안,사회,6,데일리안,17,중립
2026-09-02,데일리안,사회,7,정보,17,중립
2026-09-02,데일리안,사회,8,검사,16,중립
2026-09-02,데일리안,사회,9,경찰청,16,중립
2026-09-02,데일리안,사회,10,일자리,15,중립
2026-09-02,데일리안,사회,11,장애인,14,중립
2026-09-02,데일리안,사회,12,시민,14,중립
2026-09-02,데일리안,사회,13,임명,14,중립
2026-09-02,데일리안,사회,14,지역,14,중립
2026-09-02,데일리안,사회,15,경찰,14,중립
2026-09-02,데일리안,사회,16,검증,14,중립
2026-09-02,데일리안,사회,17,서울,13,중립
2026-09-02,데일리안,사회,18,지원,13,긍정
2026-09-02,데일리안,사회,19,케이,13,중립
2026-09-02,데일리안,사회,20,토지,13,중립
2026-09-02,데일리안,사회,21,김종철,13,중립
2026-09-02,데일리안,사회,22,특검보,13,중립
2026-09-02,데일리안,사회,23,참여,13,긍정
2026-09-02,데일리안,사회,24,확인,13,중립
2026-09-02,데일리안,사회,25,통합,12,중립
2026-09-02,데일리안,사회,26,거래,12,중립
2026-09-02,데일리안,사회,27,청장,12,중립
2026-09-02,데일리안,사회,28,축제,12,긍정
2026-09-02,데일리안,사회,29,특검,12,중립
2026-09-02,데일리안,사회,30,문경,12,중립
2026-09-02,데일리안,사회,31,허가,11,중립
2026-09-02,데일리안,사회,32,혐의,11,부정
2026-09-02,데일리안,사회,33,행사,11,중립
2026-09-02,데일리안,사회,34,돌봄,10,중립
2026-09-02,데일리안,사회,35,개정,10,중립
2026-09-02,데일리안,사회,36,인선,10,중립
2026-09-02,데일리안,사회,37,차장,10,중립
2026-09-02,데일리안,사회,38,교과서,10,중립
2026-09-02,데일리안,사회,39,조사,10,중립
2026-09-02,데일리안,사회,40,요구,9,중립
2026-09-02,데일리안,사회,41,교체,9,중립
2026-09-02,데일리안,사회,42,기업,9,중립
2026-09-02,데일리안,사회,43,강화,9,긍정
2026-09-02,데일리안,사회,44,민간,9,중립
2026-09-02,데일리안,사회,45,인천시,9,중립
2026-09-02,데일리안,사회,46,국가,9,중립
2026-09-02,데일리안,사회,47,후보자,9,중립
2026-09-02,데일리안,사회,48,근무,9,중립
2026-09-02,데일리안,사회,49,지원단,8,중립
2026-09-02,데일리안,사회,50,강남구,8,중립
2026-09-02,데일리안,사회,51,과즙세연,8,중립
2026-09-02,데일리안,사회,52,재산세,8,중립
2026-09-02,데일리안,사회,53,시도,8,중립
2026-09-02,데일리안,사회,54,다양,8,중립
2026-09-02,데일리안,사회,55,상권,8,중립
2026-09-02,데일리안,사회,56,운영,8,중립
2026-09-02,데일리안,사회,57,현장,8,중립
2026-09-02,데일리안,사회,58,해당,8,중립
2026-09-02,데일리안,사회,59,부동산,8,중립
2026-09-02,데일리안,사회,60,적용,8,중립
2026-09-02,데일리안,사회,61,단체,8,중립
2026-09-02,데일리안,사회,62,인사,8,중립
2026-09-02,데일리안,사회,63,양천구,7,중립
2026-09-02,데일리안,사회,64,입건,7,중립
2026-09-02,데일리안,사회,65,개발,7,중립
2026-09-02,데일리안,사회,66,구역,7,중립
2026-09-02,데일리안,사회,67,처방,7,중립
2026-09-02,데일리안,사회,68,선관위,7,중립
2026-09-02,데일리안,사회,69,브랜드,7,중립
2026-09-02,데일리안,사회,70,기관,7,중립
2026-09-02,데일리안,사회,71,주요,7,중립
2026-09-02,데일리안,사회,72,사업,7,중립
2026-09-02,데일리안,사회,73,시장,7,중립
2026-09-02,데일리안,사회,74,전문,7,중립
2026-09-02,데일리안,사회,75,치안감,7,중립
2026-09-02,데일리안,사회,76,변호사,7,중립
2026-09-02,데일리안,사회,77,문경시,7,중립
2026-09-02,데일리안,사회,78,서초구,6,중립
2026-09-02,데일리안,사회,79,강남역,6,중립
2026-09-02,데일리안,사회,80,구직자,6,중립
2026-09-02,데일리안,사회,81,인천,6,중립
2026-09-02,데일리안,사회,82,신축,6,중립
2026-09-02,데일리안,사회,83,졸피뎀,6,중립
2026-09-02,데일리안,사회,84,대리,6,중립
2026-09-02,데일리안,사회,85,투명,6,중립
2026-09-02,데일리안,사회,86,차익,6,중립
2026-09-02,데일리안,사회,87,태극기,6,중립
2026-09-02,데일리안,사회,88,월드컵,6,중립
2026-09-02,데일리안,사회,89,가을,6,중립
2026-09-02,데일리안,사회,90,체험,6,중립
2026-09-02,데일리안,사회,91,프로그램,6,중립
2026-09-02,데일리안,사회,92,방침,6,중립
2026-09-02,데일리안,사회,93,확대,6,긍정
2026-09-02,데일리안,사회,94,채용,6,긍정
2026-09-02,데일리안,사회,95,경제,6,중립
2026-09-02,데일리안,사회,96,행정,6,중립
2026-09-02,데일리안,사회,97,방송,6,중립
2026-09-02,데일리안,사회,98,과정,6,중립
2026-09-02,데일리안,사회,99,공개,6,중립
2026-09-02,데일리안,사회,100,거주,6,중립
