날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-02,매일신문,주요뉴스,1,지원,51,긍정
2026-09-02,매일신문,주요뉴스,2,대학,43,중립
2026-09-02,매일신문,주요뉴스,3,경찰,33,중립
2026-09-02,매일신문,주요뉴스,4,지역,32,중립
2026-09-02,매일신문,주요뉴스,5,교수,32,중립
2026-09-02,매일신문,주요뉴스,6,정부,31,중립
2026-09-02,매일신문,주요뉴스,7,경북대,28,중립
2026-09-02,매일신문,주요뉴스,8,의원,25,중립
2026-09-02,매일신문,주요뉴스,9,국립대,24,중립
2026-09-02,매일신문,주요뉴스,10,급여,22,중립
2026-09-02,매일신문,주요뉴스,11,정당,21,중립
2026-09-02,매일신문,주요뉴스,12,선정,20,긍정
2026-09-02,매일신문,주요뉴스,13,부산대,18,중립
2026-09-02,매일신문,주요뉴스,14,지급,16,중립
2026-09-02,매일신문,주요뉴스,15,정책,16,중립
2026-09-02,매일신문,주요뉴스,16,지방,16,중립
2026-09-02,매일신문,주요뉴스,17,기준,16,중립
2026-09-02,매일신문,주요뉴스,18,혐의,15,부정
2026-09-02,매일신문,주요뉴스,19,학생,15,중립
2026-09-02,매일신문,주요뉴스,20,사립대,14,중립
2026-09-02,매일신문,주요뉴스,21,연구,14,중립
2026-09-02,매일신문,주요뉴스,22,인사,13,중립
2026-09-02,매일신문,주요뉴스,23,교육,13,중립
2026-09-02,매일신문,주요뉴스,24,조사,13,중립
2026-09-02,매일신문,주요뉴스,25,추가,13,중립
2026-09-02,매일신문,주요뉴스,26,우려,13,부정
2026-09-02,매일신문,주요뉴스,27,사업,13,중립
2026-09-02,매일신문,주요뉴스,28,촬영,12,중립
2026-09-02,매일신문,주요뉴스,29,실업,12,부정
2026-09-02,매일신문,주요뉴스,30,경찰청장,12,중립
2026-09-02,매일신문,주요뉴스,31,후보자,12,중립
2026-09-02,매일신문,주요뉴스,32,수사,12,부정
2026-09-02,매일신문,주요뉴스,33,경찰청,12,중립
2026-09-02,매일신문,주요뉴스,34,등록금,12,중립
2026-09-02,매일신문,주요뉴스,35,고용,11,긍정
2026-09-02,매일신문,주요뉴스,36,가능,11,중립
2026-09-02,매일신문,주요뉴스,37,승진,11,중립
2026-09-02,매일신문,주요뉴스,38,위성,10,중립
2026-09-02,매일신문,주요뉴스,39,불법,10,부정
2026-09-02,매일신문,주요뉴스,40,실장,10,중립
2026-09-02,매일신문,주요뉴스,41,소송,10,부정
2026-09-02,매일신문,주요뉴스,42,사회,10,중립
2026-09-02,매일신문,주요뉴스,43,규모,10,중립
2026-09-02,매일신문,주요뉴스,44,교육부,10,중립
2026-09-02,매일신문,주요뉴스,45,거점,10,중립
2026-09-02,매일신문,주요뉴스,46,혁신,10,긍정
2026-09-02,매일신문,주요뉴스,47,배상,9,중립
2026-09-02,매일신문,주요뉴스,48,상대,9,중립
2026-09-02,매일신문,주요뉴스,49,산업,9,중립
2026-09-02,매일신문,주요뉴스,50,현장,9,중립
2026-09-02,매일신문,주요뉴스,51,장관,9,중립
2026-09-02,매일신문,주요뉴스,52,제기,9,중립
2026-09-02,매일신문,주요뉴스,53,전액,9,중립
2026-09-02,매일신문,주요뉴스,54,제외,9,중립
2026-09-02,매일신문,주요뉴스,55,소득,9,중립
2026-09-02,매일신문,주요뉴스,56,계정,9,중립
2026-09-02,매일신문,주요뉴스,57,집중,9,중립
2026-09-02,매일신문,주요뉴스,58,단체,9,중립
2026-09-02,매일신문,주요뉴스,59,장혜영,8,중립
2026-09-02,매일신문,주요뉴스,60,제주,8,중립
2026-09-02,매일신문,주요뉴스,61,합성,8,중립
2026-09-02,매일신문,주요뉴스,62,서울대,8,중립
2026-09-02,매일신문,주요뉴스,63,전환,8,중립
2026-09-02,매일신문,주요뉴스,64,국가,8,중립
2026-09-02,매일신문,주요뉴스,65,지난달,8,중립
2026-09-02,매일신문,주요뉴스,66,범행,8,중립
2026-09-02,매일신문,주요뉴스,67,확인,8,중립
2026-09-02,매일신문,주요뉴스,68,구직,8,중립
2026-09-02,매일신문,주요뉴스,69,재정,8,중립
2026-09-02,매일신문,주요뉴스,70,확대,8,긍정
2026-09-02,매일신문,주요뉴스,71,최고,7,긍정
2026-09-02,매일신문,주요뉴스,72,분야,7,중립
2026-09-02,매일신문,주요뉴스,73,대통령,7,중립
2026-09-02,매일신문,주요뉴스,74,대상,7,중립
2026-09-02,매일신문,주요뉴스,75,방식,7,중립
2026-09-02,매일신문,주요뉴스,76,대표,7,중립
2026-09-02,매일신문,주요뉴스,77,평가,7,중립
2026-09-02,매일신문,주요뉴스,78,책임,7,중립
2026-09-02,매일신문,주요뉴스,79,서울,7,중립
2026-09-02,매일신문,주요뉴스,80,해당,7,중립
2026-09-02,매일신문,주요뉴스,81,수준,7,중립
2026-09-02,매일신문,주요뉴스,82,신설,7,긍정
2026-09-02,매일신문,주요뉴스,83,경쟁,7,중립
2026-09-02,매일신문,주요뉴스,84,패키지,7,중립
2026-09-02,매일신문,주요뉴스,85,여건,7,중립
2026-09-02,매일신문,주요뉴스,86,교사,6,중립
2026-09-02,매일신문,주요뉴스,87,입건,6,중립
2026-09-02,매일신문,주요뉴스,88,유공자,6,중립
2026-09-02,매일신문,주요뉴스,89,탈락,6,중립
2026-09-02,매일신문,주요뉴스,90,협박,6,부정
2026-09-02,매일신문,주요뉴스,91,민주당,6,중립
2026-09-02,매일신문,주요뉴스,92,페이스북,6,중립
2026-09-02,매일신문,주요뉴스,93,주장,6,중립
2026-09-02,매일신문,주요뉴스,94,시민,6,중립
2026-09-02,매일신문,주요뉴스,95,투입,6,중립
2026-09-02,매일신문,주요뉴스,96,수당,6,중립
2026-09-02,매일신문,주요뉴스,97,강화,6,긍정
2026-09-02,매일신문,주요뉴스,98,자료,6,중립
2026-09-02,매일신문,주요뉴스,99,개편,6,중립
2026-09-02,매일신문,주요뉴스,100,임금,6,중립
