날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-02,문화일보,이슈,긍정,1,지원,9,60.0,2,15,#0d2b5c,#0d2b5c,Y
2026-09-02,문화일보,이슈,긍정,2,감사,6,40.0,2,15,#a8d0f0,#a8d0f0,Y
2026-09-02,문화일보,이슈,부정,1,혐의,15,20.83,10,72,#7a0a12,#7a0a12,Y
2026-09-02,문화일보,이슈,부정,2,수사,12,16.67,10,72,#871b22,#871b22,Y
2026-09-02,문화일보,이슈,부정,3,소송,6,8.33,10,72,#942c33,#942c33,Y
2026-09-02,문화일보,이슈,부정,4,협박,6,8.33,10,72,#a23e43,#a23e43,Y
2026-09-02,문화일보,이슈,부정,5,철회,6,8.33,10,72,#af4f54,#af4f54,Y
2026-09-02,문화일보,이슈,부정,6,하락,6,8.33,10,72,#bd6164,#bd6164,Y
2026-09-02,문화일보,이슈,부정,7,흉기,6,8.33,10,72,#ca7275,#ca7275,Y
2026-09-02,문화일보,이슈,부정,8,취소,6,8.33,10,72,#d88485,#d88485,Y
2026-09-02,문화일보,이슈,부정,9,폭력,5,6.94,10,72,#e59596,#e59596,Y
2026-09-02,문화일보,이슈,부정,10,살해,4,5.56,10,72,#f2a6a6,#f2a6a6,Y
