날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-02,아시아경제,세계,긍정,1,상승,26,33.77,7,77,#0d2b5c,#0d2b5c,Y
2026-09-02,아시아경제,세계,긍정,2,확대,10,12.99,7,77,#274674,#274674,Y
2026-09-02,아시아경제,세계,긍정,3,증가,9,11.69,7,77,#41628d,#41628d,Y
2026-09-02,아시아경제,세계,긍정,4,급등,9,11.69,7,77,#5b7ea6,#5b7ea6,Y
2026-09-02,아시아경제,세계,긍정,5,채용,8,10.39,7,77,#7499bf,#7499bf,Y
2026-09-02,아시아경제,세계,긍정,6,최고,8,10.39,7,77,#8eb5d8,#8eb5d8,Y
2026-09-02,아시아경제,세계,긍정,7,투자,7,9.09,7,77,#a8d0f0,#a8d0f0,Y
2026-09-02,아시아경제,세계,부정,1,우려,16,14.68,11,109,#7a0a12,#7a0a12,Y
2026-09-02,아시아경제,세계,부정,2,피해,12,11.01,11,109,#861921,#871b22,Y
2026-09-02,아시아경제,세계,부정,3,제재,11,10.09,11,109,#922930,#942c33,Y
2026-09-02,아시아경제,세계,부정,4,경고,10,9.17,11,109,#9e383e,#a23e43,Y
2026-09-02,아시아경제,세계,부정,5,하락,10,9.17,11,109,#aa484d,#af4f54,Y
2026-09-02,아시아경제,세계,부정,6,둔화,9,8.26,11,109,#b6585c,#bd6164,Y
2026-09-02,아시아경제,세계,부정,7,재난,9,8.26,11,109,#c2686b,#ca7275,Y
2026-09-02,아시아경제,세계,부정,8,전쟁,9,8.26,11,109,#ce787a,#d88485,Y
2026-09-02,아시아경제,세계,부정,9,공습,8,7.34,11,109,#da8788,#e59596,Y
2026-09-02,아시아경제,세계,부정,10,실종,8,7.34,11,109,#e69797,#f2a6a6,Y
2026-09-02,아시아경제,세계,부정,11,처벌,7,6.42,11,109,#f2a6a6,,N
