날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-02,아시아경제,정치,1,대통령,44,중립
2026-09-02,아시아경제,정치,2,의원,29,중립
2026-09-02,아시아경제,정치,3,정부,29,중립
2026-09-02,아시아경제,정치,4,수사,27,부정
2026-09-02,아시아경제,정치,5,정책,23,중립
2026-09-02,아시아경제,정치,6,실장,21,중립
2026-09-02,아시아경제,정치,7,트럼프,20,중립
2026-09-02,아시아경제,정치,8,경찰,20,중립
2026-09-02,아시아경제,정치,9,위원장,18,중립
2026-09-02,아시아경제,정치,10,국회,18,중립
2026-09-02,아시아경제,정치,11,북한,18,중립
2026-09-02,아시아경제,정치,12,이재명,18,중립
2026-09-02,아시아경제,정치,13,경제,17,중립
2026-09-02,아시아경제,정치,14,사건,17,중립
2026-09-02,아시아경제,정치,15,위원회,16,중립
2026-09-02,아시아경제,정치,16,부동산,15,중립
2026-09-02,아시아경제,정치,17,국가,15,중립
2026-09-02,아시아경제,정치,18,청와대,15,중립
2026-09-02,아시아경제,정치,19,회담,12,중립
2026-09-02,아시아경제,정치,20,세제,12,중립
2026-09-02,아시아경제,정치,21,가능,12,중립
2026-09-02,아시아경제,정치,22,회의,12,중립
2026-09-02,아시아경제,정치,23,지난달,12,중립
2026-09-02,아시아경제,정치,24,강화,12,긍정
2026-09-02,아시아경제,정치,25,볼턴,11,중립
2026-09-02,아시아경제,정치,26,철회,11,부정
2026-09-02,아시아경제,정치,27,야영,11,중립
2026-09-02,아시아경제,정치,28,보좌관,11,중립
2026-09-02,아시아경제,정치,29,대표,11,중립
2026-09-02,아시아경제,정치,30,국민,11,중립
2026-09-02,아시아경제,정치,31,거주,11,중립
2026-09-02,아시아경제,정치,32,조직,10,중립
2026-09-02,아시아경제,정치,33,우려,10,부정
2026-09-02,아시아경제,정치,34,취소,10,부정
2026-09-02,아시아경제,정치,35,민주당,10,중립
2026-09-02,아시아경제,정치,36,연합뉴스,10,중립
2026-09-02,아시아경제,정치,37,개혁,9,중립
2026-09-02,아시아경제,정치,38,임용,9,중립
2026-09-02,아시아경제,정치,39,외교,9,중립
2026-09-02,아시아경제,정치,40,국무,9,중립
2026-09-02,아시아경제,정치,41,과정,9,중립
2026-09-02,아시아경제,정치,42,대응,9,중립
2026-09-02,아시아경제,정치,43,인사,9,중립
2026-09-02,아시아경제,정치,44,책임,9,중립
2026-09-02,아시아경제,정치,45,검찰,9,중립
2026-09-02,아시아경제,정치,46,검사,9,중립
2026-09-02,아시아경제,정치,47,공소,9,중립
2026-09-02,아시아경제,정치,48,감찰,8,중립
2026-09-02,아시아경제,정치,49,김용,8,중립
2026-09-02,아시아경제,정치,50,간사,8,중립
2026-09-02,아시아경제,정치,51,특례,8,중립
2026-09-02,아시아경제,정치,52,대사,8,중립
2026-09-02,아시아경제,정치,53,지식,8,중립
2026-09-02,아시아경제,정치,54,재산,8,중립
2026-09-02,아시아경제,정치,55,정상,8,중립
2026-09-02,아시아경제,정치,56,추진,8,중립
2026-09-02,아시아경제,정치,57,정치,8,중립
2026-09-02,아시아경제,정치,58,국제,8,중립
2026-09-02,아시아경제,정치,59,위원,8,중립
2026-09-02,아시아경제,정치,60,정책실장,8,중립
2026-09-02,아시아경제,정치,61,야당,8,중립
2026-09-02,아시아경제,정치,62,부담,8,부정
2026-09-02,아시아경제,정치,63,미래,8,중립
2026-09-02,아시아경제,정치,64,김민석,7,중립
2026-09-02,아시아경제,정치,65,신청,7,중립
2026-09-02,아시아경제,정치,66,송도원,7,중립
2026-09-02,아시아경제,정치,67,당원,7,중립
2026-09-02,아시아경제,정치,68,미국,7,중립
2026-09-02,아시아경제,정치,69,러시아,7,중립
2026-09-02,아시아경제,정치,70,주장,7,중립
2026-09-02,아시아경제,정치,71,더불어민주당,7,중립
2026-09-02,아시아경제,정치,72,거론,7,중립
2026-09-02,아시아경제,정치,73,국민의힘,7,중립
2026-09-02,아시아경제,정치,74,유지,7,중립
2026-09-02,아시아경제,정치,75,재정,7,중립
2026-09-02,아시아경제,정치,76,조작,7,부정
2026-09-02,아시아경제,정치,77,대상,7,중립
2026-09-02,아시아경제,정치,78,영국,7,중립
2026-09-02,아시아경제,정치,79,법무부,7,중립
2026-09-02,아시아경제,정치,80,송치,7,중립
2026-09-02,아시아경제,정치,81,기소,7,부정
2026-09-02,아시아경제,정치,82,추진단,6,중립
2026-09-02,아시아경제,정치,83,공개,6,중립
2026-09-02,아시아경제,정치,84,중수청,6,중립
2026-09-02,아시아경제,정치,85,제재,6,부정
2026-09-02,아시아경제,정치,86,국채,6,중립
2026-09-02,아시아경제,정치,87,투표,6,중립
2026-09-02,아시아경제,정치,88,성과,6,긍정
2026-09-02,아시아경제,정치,89,비판,6,부정
2026-09-02,아시아경제,정치,90,결정,6,중립
2026-09-02,아시아경제,정치,91,레버리지,6,중립
2026-09-02,아시아경제,정치,92,개정안,6,중립
2026-09-02,아시아경제,정치,93,추가,6,중립
2026-09-02,아시아경제,정치,94,장관,6,중립
2026-09-02,아시아경제,정치,95,예고,6,중립
2026-09-02,아시아경제,정치,96,북미,5,중립
2026-09-02,아시아경제,정치,97,평양,5,중립
2026-09-02,아시아경제,정치,98,효과,5,중립
2026-09-02,아시아경제,정치,99,윤리,5,중립
2026-09-02,아시아경제,정치,100,부단장,5,중립
