날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-02,조선일보,세계,긍정,1,협력,10,41.67,3,24,#0d2b5c,#0d2b5c,Y
2026-09-02,조선일보,세계,긍정,2,지원,8,33.33,3,24,#5b7ea6,#5b7ea6,Y
2026-09-02,조선일보,세계,긍정,3,동맹,6,25.0,3,24,#a8d0f0,#a8d0f0,Y
2026-09-02,조선일보,세계,부정,1,제재,18,24.66,7,73,#7a0a12,#7a0a12,Y
2026-09-02,조선일보,세계,부정,2,전쟁,12,16.44,7,73,#8e242a,#8e242a,Y
2026-09-02,조선일보,세계,부정,3,보복,11,15.07,7,73,#a23e43,#a23e43,Y
2026-09-02,조선일보,세계,부정,4,타격,11,15.07,7,73,#b6585c,#b6585c,Y
2026-09-02,조선일보,세계,부정,5,공습,7,9.59,7,73,#ca7275,#ca7275,Y
2026-09-02,조선일보,세계,부정,6,중단,7,9.59,7,73,#de8c8e,#de8c8e,Y
2026-09-02,조선일보,세계,부정,7,압박,7,9.59,7,73,#f2a6a6,#f2a6a6,Y
