날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-03,데일리안,문화,1,금융,27,중립
2026-09-03,데일리안,문화,2,수학,23,중립
2026-09-03,데일리안,문화,3,데일리안,22,중립
2026-09-03,데일리안,문화,4,인간,21,중립
2026-09-03,데일리안,문화,5,연극,18,중립
2026-09-03,데일리안,문화,6,코레일,17,중립
2026-09-03,데일리안,문화,7,예매,16,중립
2026-09-03,데일리안,문화,8,가능,16,중립
2026-09-03,데일리안,문화,9,직업,15,중립
2026-09-03,데일리안,문화,10,민원,15,중립
2026-09-03,데일리안,문화,11,보고서,14,중립
2026-09-03,데일리안,문화,12,클로,14,중립
2026-09-03,데일리안,문화,13,게임,13,중립
2026-09-03,데일리안,문화,14,디톡스,12,중립
2026-09-03,데일리안,문화,15,최고,11,긍정
2026-09-03,데일리안,문화,16,대웅제약,11,중립
2026-09-03,데일리안,문화,17,통합,11,중립
2026-09-03,데일리안,문화,18,기온,11,중립
2026-09-03,데일리안,문화,19,과정,11,중립
2026-09-03,데일리안,문화,20,저자,11,중립
2026-09-03,데일리안,문화,21,학습,11,중립
2026-09-03,데일리안,문화,22,교육,11,중립
2026-09-03,데일리안,문화,23,현장,10,중립
2026-09-03,데일리안,문화,24,동해안,10,중립
2026-09-03,데일리안,문화,25,제품,10,중립
2026-09-03,데일리안,문화,26,분쟁,9,중립
2026-09-03,데일리안,문화,27,남부,9,중립
2026-09-03,데일리안,문화,28,이용,9,중립
2026-09-03,데일리안,문화,29,기술,9,중립
2026-09-03,데일리안,문화,30,내륙,9,중립
2026-09-03,데일리안,문화,31,서울,9,중립
2026-09-03,데일리안,문화,32,배우,9,중립
2026-09-03,데일리안,문화,33,학생,9,중립
2026-09-03,데일리안,문화,34,명절,9,중립
2026-09-03,데일리안,문화,35,소비자,9,중립
2026-09-03,데일리안,문화,36,지속,9,중립
2026-09-03,데일리안,문화,37,사랑,9,중립
2026-09-03,데일리안,문화,38,방규현,9,중립
2026-09-03,데일리안,문화,39,동아에스티,8,중립
2026-09-03,데일리안,문화,40,콜롬비아,8,중립
2026-09-03,데일리안,문화,41,산지,8,중립
2026-09-03,데일리안,문화,42,인물,8,중립
2026-09-03,데일리안,문화,43,경험,8,중립
2026-09-03,데일리안,문화,44,열차,8,중립
2026-09-03,데일리안,문화,45,전환,8,중립
2026-09-03,데일리안,문화,46,경영,8,중립
2026-09-03,데일리안,문화,47,신간,7,중립
2026-09-03,데일리안,문화,48,고교,7,중립
2026-09-03,데일리안,문화,49,대신증권,7,중립
2026-09-03,데일리안,문화,50,시즌,7,중립
2026-09-03,데일리안,문화,51,추석,7,중립
2026-09-03,데일리안,문화,52,알테오젠,7,중립
2026-09-03,데일리안,문화,53,이나은,7,중립
2026-09-03,데일리안,문화,54,제주도,7,중립
2026-09-03,데일리안,문화,55,부산,7,중립
2026-09-03,데일리안,문화,56,다양,7,중립
2026-09-03,데일리안,문화,57,상위,7,중립
2026-09-03,데일리안,문화,58,연구,7,중립
2026-09-03,데일리안,문화,59,회원,7,중립
2026-09-03,데일리안,문화,60,브랜드,7,중립
2026-09-03,데일리안,문화,61,중남미,7,중립
2026-09-03,데일리안,문화,62,시장,7,중립
2026-09-03,데일리안,문화,63,소나기,6,중립
2026-09-03,데일리안,문화,64,일상,6,중립
2026-09-03,데일리안,문화,65,보리,6,중립
2026-09-03,데일리안,문화,66,신작,6,중립
2026-09-03,데일리안,문화,67,승차,6,중립
2026-09-03,데일리안,문화,68,국민,6,중립
2026-09-03,데일리안,문화,69,규모,6,중립
2026-09-03,데일리안,문화,70,최강희,6,중립
2026-09-03,데일리안,문화,71,안나,6,중립
2026-09-03,데일리안,문화,72,아침,6,중립
2026-09-03,데일리안,문화,73,지역,6,중립
2026-09-03,데일리안,문화,74,사이,6,중립
2026-09-03,데일리안,문화,75,경북,6,중립
2026-09-03,데일리안,문화,76,경남,6,중립
2026-09-03,데일리안,문화,77,광주,6,중립
2026-09-03,데일리안,문화,78,대구,6,중립
2026-09-03,데일리안,문화,79,주요,6,중립
2026-09-03,데일리안,문화,80,보툴리눔,6,중립
2026-09-03,데일리안,문화,81,신청서,6,중립
2026-09-03,데일리안,문화,82,개발,6,중립
2026-09-03,데일리안,문화,83,시대,6,중립
2026-09-03,데일리안,문화,84,중심,6,중립
2026-09-03,데일리안,문화,85,지원,6,긍정
2026-09-03,데일리안,문화,86,전략,6,중립
2026-09-03,데일리안,문화,87,사전,6,중립
2026-09-03,데일리안,문화,88,고속,6,중립
2026-09-03,데일리안,문화,89,철도,6,중립
2026-09-03,데일리안,문화,90,운행,6,중립
2026-09-03,데일리안,문화,91,음료,6,중립
2026-09-03,데일리안,문화,92,무대,6,중립
2026-09-03,데일리안,문화,93,감정,6,중립
2026-09-03,데일리안,문화,94,제형,6,중립
2026-09-03,데일리안,문화,95,복귀,5,중립
2026-09-03,데일리안,문화,96,청구,5,중립
2026-09-03,데일리안,문화,97,좌석,5,중립
2026-09-03,데일리안,문화,98,필러,5,중립
2026-09-03,데일리안,문화,99,주연,5,중립
2026-09-03,데일리안,문화,100,앨리스,5,중립
