날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-03,문화일보,문화,긍정,1,최대,14,15.73,11,89,#0d2b5c,#0d2b5c,Y
2026-09-03,문화일보,문화,긍정,2,축제,11,12.36,11,89,#1c3b6b,#1e3d6c,Y
2026-09-03,문화일보,문화,긍정,3,공연,9,10.11,11,89,#2c4c7a,#2f4f7d,Y
2026-09-03,문화일보,문화,긍정,4,혜택,8,8.99,11,89,#3b5c88,#41628d,Y
2026-09-03,문화일보,문화,긍정,5,참여,8,8.99,11,89,#4b6d97,#52749e,Y
2026-09-03,문화일보,문화,긍정,6,확대,7,7.87,11,89,#5b7ea6,#6387ae,Y
2026-09-03,문화일보,문화,긍정,7,수상,7,7.87,11,89,#6a8eb5,#7499bf,Y
2026-09-03,문화일보,문화,긍정,8,안전,7,7.87,11,89,#7a9fc4,#86accf,Y
2026-09-03,문화일보,문화,긍정,9,성과,6,6.74,11,89,#89afd2,#97bee0,Y
2026-09-03,문화일보,문화,긍정,10,지원,6,6.74,11,89,#99c0e1,#a8d0f0,Y
2026-09-03,문화일보,문화,긍정,11,전시,6,6.74,11,89,#a8d0f0,,N
