날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-03,조선일보,경제,1,대출,57,중립
2026-09-03,조선일보,경제,2,정부,51,중립
2026-09-03,조선일보,경제,3,미국,49,중립
2026-09-03,조선일보,경제,4,은행,45,중립
2026-09-03,조선일보,경제,5,관세,39,중립
2026-09-03,조선일보,경제,6,금리,33,중립
2026-09-03,조선일보,경제,7,시장,31,중립
2026-09-03,조선일보,경제,8,반도체,30,중립
2026-09-03,조선일보,경제,9,투자,30,긍정
2026-09-03,조선일보,경제,10,기업,26,중립
2026-09-03,조선일보,경제,11,사업자,26,중립
2026-09-03,조선일보,경제,12,생산,24,중립
2026-09-03,조선일보,경제,13,한전,24,중립
2026-09-03,조선일보,경제,14,정책,23,중립
2026-09-03,조선일보,경제,15,상승,21,긍정
2026-09-03,조선일보,경제,16,뱅크,21,중립
2026-09-03,조선일보,경제,17,개인,21,중립
2026-09-03,조선일보,경제,18,기준,20,중립
2026-09-03,조선일보,경제,19,규모,20,중립
2026-09-03,조선일보,경제,20,채권,18,중립
2026-09-03,조선일보,경제,21,공급,18,중립
2026-09-03,조선일보,경제,22,주식,17,중립
2026-09-03,조선일보,경제,23,국채,17,중립
2026-09-03,조선일보,경제,24,부모,17,중립
2026-09-03,조선일보,경제,25,자산,17,중립
2026-09-03,조선일보,경제,26,주가,17,중립
2026-09-03,조선일보,경제,27,인터넷,17,중립
2026-09-03,조선일보,경제,28,삼성전자,16,중립
2026-09-03,조선일보,경제,29,달러,16,중립
2026-09-03,조선일보,경제,30,부동산,15,중립
2026-09-03,조선일보,경제,31,국민,15,중립
2026-09-03,조선일보,경제,32,대통령,15,중립
2026-09-03,조선일보,경제,33,증가,14,긍정
2026-09-03,조선일보,경제,34,하이닉스,14,중립
2026-09-03,조선일보,경제,35,지난달,14,중립
2026-09-03,조선일보,경제,36,거주,14,중립
2026-09-03,조선일보,경제,37,유가,13,중립
2026-09-03,조선일보,경제,38,외환,13,중립
2026-09-03,조선일보,경제,39,회사,13,중립
2026-09-03,조선일보,경제,40,성장,13,긍정
2026-09-03,조선일보,경제,41,하락,13,부정
2026-09-03,조선일보,경제,42,경기,13,중립
2026-09-03,조선일보,경제,43,한은,13,중립
2026-09-03,조선일보,경제,44,보유액,12,중립
2026-09-03,조선일보,경제,45,발행,12,중립
2026-09-03,조선일보,경제,46,주택,12,중립
2026-09-03,조선일보,경제,47,수요,12,중립
2026-09-03,조선일보,경제,48,규제,12,부정
2026-09-03,조선일보,경제,49,금융,12,중립
2026-09-03,조선일보,경제,50,카카오,11,중립
2026-09-03,조선일보,경제,51,케이,11,중립
2026-09-03,조선일보,경제,52,기간,11,중립
2026-09-03,조선일보,경제,53,물가,11,중립
2026-09-03,조선일보,경제,54,기록,11,중립
2026-09-03,조선일보,경제,55,감면,11,중립
2026-09-03,조선일보,경제,56,기존,11,중립
2026-09-03,조선일보,경제,57,한국,11,중립
2026-09-03,조선일보,경제,58,인사,11,중립
2026-09-03,조선일보,경제,59,반대,10,부정
2026-09-03,조선일보,경제,60,학자금,10,중립
2026-09-03,조선일보,경제,61,가격,10,중립
2026-09-03,조선일보,경제,62,평가,10,중립
2026-09-03,조선일보,경제,63,자금,10,중립
2026-09-03,조선일보,경제,64,가계,10,중립
2026-09-03,조선일보,경제,65,이자,10,중립
2026-09-03,조선일보,경제,66,확대,10,긍정
2026-09-03,조선일보,경제,67,요금,10,중립
2026-09-03,조선일보,경제,68,체납,9,부정
2026-09-03,조선일보,경제,69,최대,9,긍정
2026-09-03,조선일보,경제,70,전략,9,중립
2026-09-03,조선일보,경제,71,일본,9,중립
2026-09-03,조선일보,경제,72,시계,9,중립
2026-09-03,조선일보,경제,73,서울,9,중립
2026-09-03,조선일보,경제,74,재정,9,중립
2026-09-03,조선일보,경제,75,준비,9,중립
2026-09-03,조선일보,경제,76,가치,9,중립
2026-09-03,조선일보,경제,77,소득,9,중립
2026-09-03,조선일보,경제,78,회의,9,중립
2026-09-03,조선일보,경제,79,부담,9,부정
2026-09-03,조선일보,경제,80,강화,9,긍정
2026-09-03,조선일보,경제,81,공장,9,중립
2026-09-03,조선일보,경제,82,공제,9,중립
2026-09-03,조선일보,경제,83,전기,9,중립
2026-09-03,조선일보,경제,84,세이코,9,중립
2026-09-03,조선일보,경제,85,대상,8,중립
2026-09-03,조선일보,경제,86,공동,8,중립
2026-09-03,조선일보,경제,87,최고,8,긍정
2026-09-03,조선일보,경제,88,이익,8,중립
2026-09-03,조선일보,경제,89,제도,8,중립
2026-09-03,조선일보,경제,90,경제,8,중립
2026-09-03,조선일보,경제,91,상환,8,중립
2026-09-03,조선일보,경제,92,관리,8,중립
2026-09-03,조선일보,경제,93,방안,8,중립
2026-09-03,조선일보,경제,94,개발,8,중립
2026-09-03,조선일보,경제,95,건설,8,중립
2026-09-03,조선일보,경제,96,한도,8,중립
2026-09-03,조선일보,경제,97,요건,8,중립
2026-09-03,조선일보,경제,98,세무사,8,중립
2026-09-03,조선일보,경제,99,개입,8,중립
2026-09-03,조선일보,경제,100,집값,8,중립
