날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-03,조선일보,세계,1,그리스,49,중립
2026-09-03,조선일보,세계,2,드론,46,중립
2026-09-03,조선일보,세계,3,네팔,40,중립
2026-09-03,조선일보,세계,4,미국,40,중립
2026-09-03,조선일보,세계,5,튀르키예,35,중립
2026-09-03,조선일보,세계,6,홍수,30,중립
2026-09-03,조선일보,세계,7,중국,30,중립
2026-09-03,조선일보,세계,8,트럼프,28,중립
2026-09-03,조선일보,세계,9,장관,25,중립
2026-09-03,조선일보,세계,10,지역,25,중립
2026-09-03,조선일보,세계,11,일본,24,중립
2026-09-03,조선일보,세계,12,이란,23,중립
2026-09-03,조선일보,세계,13,정부,22,중립
2026-09-03,조선일보,세계,14,공격,21,중립
2026-09-03,조선일보,세계,15,대통령,20,중립
2026-09-03,조선일보,세계,16,한국,19,중립
2026-09-03,조선일보,세계,17,실종자,17,중립
2026-09-03,조선일보,세계,18,이스라엘,17,중립
2026-09-03,조선일보,세계,19,국가,17,중립
2026-09-03,조선일보,세계,20,기술,15,중립
2026-09-03,조선일보,세계,21,회의,15,중립
2026-09-03,조선일보,세계,22,시스템,14,중립
2026-09-03,조선일보,세계,23,규모,14,중립
2026-09-03,조선일보,세계,24,우즈,13,중립
2026-09-03,조선일보,세계,25,해군,13,중립
2026-09-03,조선일보,세계,26,성명,13,중립
2026-09-03,조선일보,세계,27,지난달,13,중립
2026-09-03,조선일보,세계,28,에게해,12,중립
2026-09-03,조선일보,세계,29,알샤바브,12,중립
2026-09-03,조선일보,세계,30,미사일,12,중립
2026-09-03,조선일보,세계,31,피해,12,부정
2026-09-03,조선일보,세계,32,양국,12,중립
2026-09-03,조선일보,세계,33,자위대,12,중립
2026-09-03,조선일보,세계,34,후보,11,중립
2026-09-03,조선일보,세계,35,주민,11,중립
2026-09-03,조선일보,세계,36,정상,11,중립
2026-09-03,조선일보,세계,37,안보,11,중립
2026-09-03,조선일보,세계,38,분석,11,중립
2026-09-03,조선일보,세계,39,계약,11,긍정
2026-09-03,조선일보,세계,40,트로이,11,중립
2026-09-03,조선일보,세계,41,전쟁,11,부정
2026-09-03,조선일보,세계,42,회담,10,중립
2026-09-03,조선일보,세계,43,혐의,10,부정
2026-09-03,조선일보,세계,44,시설,10,중립
2026-09-03,조선일보,세계,45,해협,10,중립
2026-09-03,조선일보,세계,46,지원,10,긍정
2026-09-03,조선일보,세계,47,현지,10,중립
2026-09-03,조선일보,세계,48,오디세이,9,중립
2026-09-03,조선일보,세계,49,공동,9,중립
2026-09-03,조선일보,세계,50,당국,9,중립
2026-09-03,조선일보,세계,51,연합뉴스,9,중립
2026-09-03,조선일보,세계,52,방공,9,중립
2026-09-03,조선일보,세계,53,요격,9,중립
2026-09-03,조선일보,세계,54,도입,9,중립
2026-09-03,조선일보,세계,55,영화,9,중립
2026-09-03,조선일보,세계,56,키프로스,9,중립
2026-09-03,조선일보,세계,57,호위함,8,중립
2026-09-03,조선일보,세계,58,승리,8,긍정
2026-09-03,조선일보,세계,59,운전,8,중립
2026-09-03,조선일보,세계,60,사고,8,부정
2026-09-03,조선일보,세계,61,선박,8,중립
2026-09-03,조선일보,세계,62,무역,8,중립
2026-09-03,조선일보,세계,63,국방,8,중립
2026-09-03,조선일보,세계,64,테러,8,부정
2026-09-03,조선일보,세계,65,희생자,7,중립
2026-09-03,조선일보,세계,66,갈등,7,부정
2026-09-03,조선일보,세계,67,하원,7,중립
2026-09-03,조선일보,세계,68,보고서,7,중립
2026-09-03,조선일보,세계,69,도널드,7,중립
2026-09-03,조선일보,세계,70,평가,7,중립
2026-09-03,조선일보,세계,71,경제,7,중립
2026-09-03,조선일보,세계,72,공습,7,부정
2026-09-03,조선일보,세계,73,호르무즈,7,중립
2026-09-03,조선일보,세계,74,군사,7,중립
2026-09-03,조선일보,세계,75,선거,7,중립
2026-09-03,조선일보,세계,76,주요,7,중립
2026-09-03,조선일보,세계,77,네팔인,7,중립
2026-09-03,조선일보,세계,78,협력,7,긍정
2026-09-03,조선일보,세계,79,내용,7,중립
2026-09-03,조선일보,세계,80,해양,7,중립
2026-09-03,조선일보,세계,81,차례,7,중립
2026-09-03,조선일보,세계,82,기록,7,중립
2026-09-03,조선일보,세계,83,수색,7,중립
2026-09-03,조선일보,세계,84,골프,6,중립
2026-09-03,조선일보,세계,85,계기,6,중립
2026-09-03,조선일보,세계,86,폭우,6,중립
2026-09-03,조선일보,세계,87,지국장,6,중립
2026-09-03,조선일보,세계,88,경선,6,중립
2026-09-03,조선일보,세계,89,요약,6,중립
2026-09-03,조선일보,세계,90,가능,6,중립
2026-09-03,조선일보,세계,91,현장,6,중립
2026-09-03,조선일보,세계,92,주장,6,중립
2026-09-03,조선일보,세계,93,배치,6,중립
2026-09-03,조선일보,세계,94,해외,6,중립
2026-09-03,조선일보,세계,95,해상,6,중립
2026-09-03,조선일보,세계,96,투자,6,긍정
2026-09-03,조선일보,세계,97,최대,6,긍정
2026-09-03,조선일보,세계,98,확보,6,긍정
2026-09-03,조선일보,세계,99,재무,6,중립
2026-09-03,조선일보,세계,100,노스캐롤라이나,6,중립
