날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-04,조선일보,이슈,긍정,1,지원,29,70.73,2,41,#0d2b5c,#0d2b5c,Y
2026-09-04,조선일보,이슈,긍정,2,확대,12,29.27,2,41,#a8d0f0,#a8d0f0,Y
2026-09-04,조선일보,이슈,부정,1,사고,17,18.09,9,94,#7a0a12,#7a0a12,Y
2026-09-04,조선일보,이슈,부정,2,유출,16,17.02,9,94,#891e25,#891e25,Y
2026-09-04,조선일보,이슈,부정,3,붕괴,13,13.83,9,94,#983137,#983137,Y
2026-09-04,조선일보,이슈,부정,4,제한,9,9.57,9,94,#a7454a,#a7454a,Y
2026-09-04,조선일보,이슈,부정,5,압박,9,9.57,9,94,#b6585c,#b6585c,Y
2026-09-04,조선일보,이슈,부정,6,반대,8,8.51,9,94,#c56c6f,#c56c6f,Y
2026-09-04,조선일보,이슈,부정,7,폭발,8,8.51,9,94,#d47f81,#d47f81,Y
2026-09-04,조선일보,이슈,부정,8,우려,7,7.45,9,94,#e39394,#e39394,Y
2026-09-04,조선일보,이슈,부정,9,취소,7,7.45,9,94,#f2a6a6,#f2a6a6,Y
