날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-04,조선일보,정치,긍정,1,지원,31,62.0,3,50,#0d2b5c,#0d2b5c,Y
2026-09-04,조선일보,정치,긍정,2,투자,12,24.0,3,50,#5b7ea6,#5b7ea6,Y
2026-09-04,조선일보,정치,긍정,3,동맹,7,14.0,3,50,#a8d0f0,#a8d0f0,Y
2026-09-04,조선일보,정치,부정,1,청탁,17,20.48,8,83,#7a0a12,#7a0a12,Y
2026-09-04,조선일보,정치,부정,2,의혹,13,15.66,8,83,#8b2027,#8b2027,Y
2026-09-04,조선일보,정치,부정,3,기소,12,14.46,8,83,#9c373c,#9c373c,Y
2026-09-04,조선일보,정치,부정,4,취소,11,13.25,8,83,#ad4d51,#ad4d51,Y
2026-09-04,조선일보,정치,부정,5,철회,8,9.64,8,83,#bf6367,#bf6367,Y
2026-09-04,조선일보,정치,부정,6,혐의,8,9.64,8,83,#d0797c,#d0797c,Y
2026-09-04,조선일보,정치,부정,7,경질,7,8.43,8,83,#e19091,#e19091,Y
2026-09-04,조선일보,정치,부정,8,논란,7,8.43,8,83,#f2a6a6,#f2a6a6,Y
