날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-05,데일리안,정치,1,후보자,73,중립
2026-09-05,데일리안,정치,2,의원,60,중립
2026-09-05,데일리안,정치,3,정부,40,중립
2026-09-05,데일리안,정치,4,민주당,37,중립
2026-09-05,데일리안,정치,5,대표,37,중립
2026-09-05,데일리안,정치,6,대통령,36,중립
2026-09-05,데일리안,정치,7,이재명,30,중립
2026-09-05,데일리안,정치,8,장관,30,중립
2026-09-05,데일리안,정치,9,위원장,29,중립
2026-09-05,데일리안,정치,10,선거,27,중립
2026-09-05,데일리안,정치,11,국회,26,중립
2026-09-05,데일리안,정치,12,데일리안,24,중립
2026-09-05,데일리안,정치,13,위원회,24,중립
2026-09-05,데일리안,정치,14,정치,23,중립
2026-09-05,데일리안,정치,15,인사,20,중립
2026-09-05,데일리안,정치,16,특별,20,중립
2026-09-05,데일리안,정치,17,논란,19,부정
2026-09-05,데일리안,정치,18,위반,19,부정
2026-09-05,데일리안,정치,19,음주,19,중립
2026-09-05,데일리안,정치,20,운전,19,중립
2026-09-05,데일리안,정치,21,의혹,19,부정
2026-09-05,데일리안,정치,22,정책,19,중립
2026-09-05,데일리안,정치,23,원장,18,중립
2026-09-05,데일리안,정치,24,제기,18,중립
2026-09-05,데일리안,정치,25,호르무즈,17,중립
2026-09-05,데일리안,정치,26,청탁,17,부정
2026-09-05,데일리안,정치,27,지지,16,중립
2026-09-05,데일리안,정치,28,교육감,16,중립
2026-09-05,데일리안,정치,29,국민,16,중립
2026-09-05,데일리안,정치,30,사회,15,중립
2026-09-05,데일리안,정치,31,교육,15,중립
2026-09-05,데일리안,정치,32,파병,15,중립
2026-09-05,데일리안,정치,33,검토,15,중립
2026-09-05,데일리안,정치,34,비판,15,부정
2026-09-05,데일리안,정치,35,북한,15,중립
2026-09-05,데일리안,정치,36,조국,14,중립
2026-09-05,데일리안,정치,37,혁신,14,긍정
2026-09-05,데일리안,정치,38,공개,14,중립
2026-09-05,데일리안,정치,39,개통,14,긍정
2026-09-05,데일리안,정치,40,기소,14,부정
2026-09-05,데일리안,정치,41,시민,13,중립
2026-09-05,데일리안,정치,42,자치,13,중립
2026-09-05,데일리안,정치,43,벌금,13,부정
2026-09-05,데일리안,정치,44,해협,12,중립
2026-09-05,데일리안,정치,45,지방,12,중립
2026-09-05,데일리안,정치,46,청와대,12,중립
2026-09-05,데일리안,정치,47,법무부,12,중립
2026-09-05,데일리안,정치,48,네팔,11,중립
2026-09-05,데일리안,정치,49,민원,11,중립
2026-09-05,데일리안,정치,50,김민석,11,중립
2026-09-05,데일리안,정치,51,개혁,11,중립
2026-09-05,데일리안,정치,52,자신,11,중립
2026-09-05,데일리안,정치,53,가능,11,중립
2026-09-05,데일리안,정치,54,시설,11,중립
2026-09-05,데일리안,정치,55,혐의,11,부정
2026-09-05,데일리안,정치,56,브로커,11,중립
2026-09-05,데일리안,정치,57,지원,11,긍정
2026-09-05,데일리안,정치,58,레드,10,중립
2026-09-05,데일리안,정치,59,행보,10,중립
2026-09-05,데일리안,정치,60,정당,10,중립
2026-09-05,데일리안,정치,61,조사,10,중립
2026-09-05,데일리안,정치,62,공보물,10,중립
2026-09-05,데일리안,정치,63,전달,10,중립
2026-09-05,데일리안,정치,64,숫자,9,중립
2026-09-05,데일리안,정치,65,한동훈,9,중립
2026-09-05,데일리안,정치,66,더불어민주당,9,중립
2026-09-05,데일리안,정치,67,서울,9,중립
2026-09-05,데일리안,정치,68,평가,9,중립
2026-09-05,데일리안,정치,69,분석,9,중립
2026-09-05,데일리안,정치,70,국정,9,중립
2026-09-05,데일리안,정치,71,부정,9,중립
2026-09-05,데일리안,정치,72,공사,9,중립
2026-09-05,데일리안,정치,73,설비,9,중립
2026-09-05,데일리안,정치,74,유예,9,중립
2026-09-05,데일리안,정치,75,발전소,8,중립
2026-09-05,데일리안,정치,76,청문회,8,중립
2026-09-05,데일리안,정치,77,파견,8,중립
2026-09-05,데일리안,정치,78,목소리,8,중립
2026-09-05,데일리안,정치,79,뉴시스,8,중립
2026-09-05,데일리안,정치,80,주장,8,중립
2026-09-05,데일리안,정치,81,청년,8,중립
2026-09-05,데일리안,정치,82,세관,8,중립
2026-09-05,데일리안,정치,83,확대,8,긍정
2026-09-05,데일리안,정치,84,임상,8,중립
2026-09-05,데일리안,정치,85,시험,8,중립
2026-09-05,데일리안,정치,86,위원,8,중립
2026-09-05,데일리안,정치,87,전력,8,중립
2026-09-05,데일리안,정치,88,지명,8,중립
2026-09-05,데일리안,정치,89,자료,8,중립
2026-09-05,데일리안,정치,90,기재,8,중립
2026-09-05,데일리안,정치,91,태양광,8,중립
2026-09-05,데일리안,정치,92,미국,8,중립
2026-09-05,데일리안,정치,93,식약처,8,중립
2026-09-05,데일리안,정치,94,군수,8,중립
2026-09-05,데일리안,정치,95,대교,7,중립
2026-09-05,데일리안,정치,96,조용식,7,중립
2026-09-05,데일리안,정치,97,추가,7,중립
2026-09-05,데일리안,정치,98,수력,7,중립
2026-09-05,데일리안,정치,99,구조,7,중립
2026-09-05,데일리안,정치,100,성공,7,긍정
