날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-05,문화일보,사회,1,경찰,34,중립
2026-09-05,문화일보,사회,2,여성,27,중립
2026-09-05,문화일보,사회,3,후보자,24,중립
2026-09-05,문화일보,사회,4,혐의,23,부정
2026-09-05,문화일보,사회,5,남성,23,중립
2026-09-05,문화일보,사회,6,서울,19,중립
2026-09-05,문화일보,사회,7,정산,17,중립
2026-09-05,문화일보,사회,8,부산,17,중립
2026-09-05,문화일보,사회,9,노조,16,중립
2026-09-05,문화일보,사회,10,이승기,15,중립
2026-09-05,문화일보,사회,11,계약,15,긍정
2026-09-05,문화일보,사회,12,폭행,15,부정
2026-09-05,문화일보,사회,13,경찰서,15,중립
2026-09-05,문화일보,사회,14,아파트,14,중립
2026-09-05,문화일보,사회,15,부장,14,중립
2026-09-05,문화일보,사회,16,처남,13,중립
2026-09-05,문화일보,사회,17,신고,13,중립
2026-09-05,문화일보,사회,18,확인,13,중립
2026-09-05,문화일보,사회,19,해당,13,중립
2026-09-05,문화일보,사회,20,지급,13,중립
2026-09-05,문화일보,사회,21,경사,13,중립
2026-09-05,문화일보,사회,22,정보,12,중립
2026-09-05,문화일보,사회,23,사건,12,중립
2026-09-05,문화일보,사회,24,판사,12,중립
2026-09-05,문화일보,사회,25,위반,11,부정
2026-09-05,문화일보,사회,26,개인,11,중립
2026-09-05,문화일보,사회,27,수색,11,중립
2026-09-05,문화일보,사회,28,수사,11,부정
2026-09-05,문화일보,사회,29,주장,10,중립
2026-09-05,문화일보,사회,30,실종,10,부정
2026-09-05,문화일보,사회,31,조사,10,중립
2026-09-05,문화일보,사회,32,후크엔터테인먼트,10,중립
2026-09-05,문화일보,사회,33,경찰관,10,중립
2026-09-05,문화일보,사회,34,송치,9,중립
2026-09-05,문화일보,사회,35,가족,9,중립
2026-09-05,문화일보,사회,36,현장,9,중립
2026-09-05,문화일보,사회,37,거주,9,중립
2026-09-05,문화일보,사회,38,체포,8,부정
2026-09-05,문화일보,사회,39,접대,8,중립
2026-09-05,문화일보,사회,40,의혹,8,부정
2026-09-05,문화일보,사회,41,발견,8,중립
2026-09-05,문화일보,사회,42,제기,8,중립
2026-09-05,문화일보,사회,43,전속,8,중립
2026-09-05,문화일보,사회,44,촬영,7,중립
2026-09-05,문화일보,사회,45,산사태,7,중립
2026-09-05,문화일보,사회,46,외국인,7,중립
2026-09-05,문화일보,사회,47,임직원,7,중립
2026-09-05,문화일보,사회,48,삼성전자,7,중립
2026-09-05,문화일보,사회,49,합의,7,긍정
2026-09-05,문화일보,사회,50,재판부,7,중립
2026-09-05,문화일보,사회,51,의원,7,중립
2026-09-05,문화일보,사회,52,기록,7,중립
2026-09-05,문화일보,사회,53,위원장,6,중립
2026-09-05,문화일보,사회,54,소송,6,부정
2026-09-05,문화일보,사회,55,수익,6,중립
2026-09-05,문화일보,사회,56,관광객,6,중립
2026-09-05,문화일보,사회,57,피해자,6,중립
2026-09-05,문화일보,사회,58,전세,6,중립
2026-09-05,문화일보,사회,59,구속,6,부정
2026-09-05,문화일보,사회,60,피해,6,부정
2026-09-05,문화일보,사회,61,작성,6,중립
2026-09-05,문화일보,사회,62,직원,6,중립
2026-09-05,문화일보,사회,63,이용,6,중립
2026-09-05,문화일보,사회,64,종료,6,중립
2026-09-05,문화일보,사회,65,사고,6,부정
2026-09-05,문화일보,사회,66,검찰,5,중립
2026-09-05,문화일보,사회,67,소속사,5,중립
2026-09-05,문화일보,사회,68,승소,5,중립
2026-09-05,문화일보,사회,69,불법,5,부정
2026-09-05,문화일보,사회,70,현행범,5,중립
2026-09-05,문화일보,사회,71,항공기,5,중립
2026-09-05,문화일보,사회,72,트럭,5,중립
2026-09-05,문화일보,사회,73,추가,5,중립
2026-09-05,문화일보,사회,74,사이트,5,중립
2026-09-05,문화일보,사회,75,사내,5,중립
2026-09-05,문화일보,사회,76,일부,5,중립
2026-09-05,문화일보,사회,77,인정,5,긍정
2026-09-05,문화일보,사회,78,음원,5,중립
2026-09-05,문화일보,사회,79,별도,5,중립
2026-09-05,문화일보,사회,80,과정,5,중립
2026-09-05,문화일보,사회,81,전화,5,중립
2026-09-05,문화일보,사회,82,인근,5,중립
2026-09-05,문화일보,사회,83,전날,5,중립
2026-09-05,문화일보,사회,84,해경,5,중립
2026-09-05,문화일보,사회,85,대가,5,중립
2026-09-05,문화일보,사회,86,공수처,5,중립
2026-09-05,문화일보,사회,87,블랙리스트,4,중립
2026-09-05,문화일보,사회,88,기업,4,중립
2026-09-05,문화일보,사회,89,관리비,4,중립
2026-09-05,문화일보,사회,90,중국인,4,중립
2026-09-05,문화일보,사회,91,약속,4,중립
2026-09-05,문화일보,사회,92,앞바다,4,중립
2026-09-05,문화일보,사회,93,노래방,4,중립
2026-09-05,문화일보,사회,94,술값,4,중립
2026-09-05,문화일보,사회,95,교통,4,중립
2026-09-05,문화일보,사회,96,방해,4,중립
2026-09-05,문화일보,사회,97,집시법,4,중립
2026-09-05,문화일보,사회,98,귀금속,4,중립
2026-09-05,문화일보,사회,99,가게,4,중립
2026-09-05,문화일보,사회,100,돌진,4,중립
