날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-06,문화일보,경제,1,수출,25,중립
2026-09-06,문화일보,경제,2,미국,24,중립
2026-09-06,문화일보,경제,3,노조,18,중립
2026-09-06,문화일보,경제,4,정화,18,중립
2026-09-06,문화일보,경제,5,부문,16,중립
2026-09-06,문화일보,경제,6,배달,15,중립
2026-09-06,문화일보,경제,7,기업,15,중립
2026-09-06,문화일보,경제,8,최대,14,긍정
2026-09-06,문화일보,경제,9,사업자,14,중립
2026-09-06,문화일보,경제,10,입주,14,중립
2026-09-06,문화일보,경제,11,정부,13,중립
2026-09-06,문화일보,경제,12,가격,13,중립
2026-09-06,문화일보,경제,13,연간,12,중립
2026-09-06,문화일보,경제,14,대통령,12,중립
2026-09-06,문화일보,경제,15,금리,12,중립
2026-09-06,문화일보,경제,16,삼성전자,12,중립
2026-09-06,문화일보,경제,17,반도체,12,중립
2026-09-06,문화일보,경제,18,산업,12,중립
2026-09-06,문화일보,경제,19,규모,11,중립
2026-09-06,문화일보,경제,20,교섭,11,중립
2026-09-06,문화일보,경제,21,생산,10,중립
2026-09-06,문화일보,경제,22,대비,10,중립
2026-09-06,문화일보,경제,23,서울,10,중립
2026-09-06,문화일보,경제,24,요구,10,중립
2026-09-06,문화일보,경제,25,명령,10,중립
2026-09-06,문화일보,경제,26,역대,9,중립
2026-09-06,문화일보,경제,27,무역,9,중립
2026-09-06,문화일보,경제,28,적자,9,부정
2026-09-06,문화일보,경제,29,한화,9,중립
2026-09-06,문화일보,경제,30,현대제철,9,중립
2026-09-06,문화일보,경제,31,자사,9,중립
2026-09-06,문화일보,경제,32,집회,9,중립
2026-09-06,문화일보,경제,33,시장,9,중립
2026-09-06,문화일보,경제,34,축제,8,긍정
2026-09-06,문화일보,경제,35,오염,8,부정
2026-09-06,문화일보,경제,36,추가,8,중립
2026-09-06,문화일보,경제,37,확인,8,중립
2026-09-06,문화일보,경제,38,회장,8,중립
2026-09-06,문화일보,경제,39,매입,8,중립
2026-09-06,문화일보,경제,40,전체,8,중립
2026-09-06,문화일보,경제,41,여의도,8,중립
2026-09-06,문화일보,경제,42,등록,8,중립
2026-09-06,문화일보,경제,43,트럼프,7,중립
2026-09-06,문화일보,경제,44,영풍,7,중립
2026-09-06,문화일보,경제,45,제련,7,중립
2026-09-06,문화일보,경제,46,지역,7,중립
2026-09-06,문화일보,경제,47,인상,7,중립
2026-09-06,문화일보,경제,48,산단,7,중립
2026-09-06,문화일보,경제,49,주유소,7,중립
2026-09-06,문화일보,경제,50,기록,7,중립
2026-09-06,문화일보,경제,51,연합뉴스,7,중립
2026-09-06,문화일보,경제,52,실적,7,중립
2026-09-06,문화일보,경제,53,달성,7,긍정
2026-09-06,문화일보,경제,54,주요,7,중립
2026-09-06,문화일보,경제,55,기준,7,중립
2026-09-06,문화일보,경제,56,증가,7,긍정
2026-09-06,문화일보,경제,57,국가,7,중립
2026-09-06,문화일보,경제,58,해당,7,중립
2026-09-06,문화일보,경제,59,수입,7,중립
2026-09-06,문화일보,경제,60,투자,7,긍정
2026-09-06,문화일보,경제,61,서비스,7,중립
2026-09-06,문화일보,경제,62,정책,7,중립
2026-09-06,문화일보,경제,63,대상,7,중립
2026-09-06,문화일보,경제,64,보상,7,중립
2026-09-06,문화일보,경제,65,후보자,7,중립
2026-09-06,문화일보,경제,66,가치,7,중립
2026-09-06,문화일보,경제,67,계약,7,긍정
2026-09-06,문화일보,경제,68,주식,7,중립
2026-09-06,문화일보,경제,69,관세,6,중립
2026-09-06,문화일보,경제,70,불꽃,6,중립
2026-09-06,문화일보,경제,71,뉴욕,6,중립
2026-09-06,문화일보,경제,72,석포,6,중립
2026-09-06,문화일보,경제,73,기관,6,중립
2026-09-06,문화일보,경제,74,서울세계불꽃축제,6,중립
2026-09-06,문화일보,경제,75,영향,6,중립
2026-09-06,문화일보,경제,76,한국,6,중립
2026-09-06,문화일보,경제,77,전기,6,중립
2026-09-06,문화일보,경제,78,증자,6,중립
2026-09-06,문화일보,경제,79,미트박스,6,중립
2026-09-06,문화일보,경제,80,컴퓨터,6,중립
2026-09-06,문화일보,경제,81,주변,6,중립
2026-09-06,문화일보,경제,82,행사,6,중립
2026-09-06,문화일보,경제,83,과정,6,중립
2026-09-06,문화일보,경제,84,토양,6,중립
2026-09-06,문화일보,경제,85,장관,6,중립
2026-09-06,문화일보,경제,86,가능,6,중립
2026-09-06,문화일보,경제,87,아파트,6,중립
2026-09-06,문화일보,경제,88,상승,6,긍정
2026-09-06,문화일보,경제,89,국제,6,중립
2026-09-06,문화일보,경제,90,회사,6,중립
2026-09-06,문화일보,경제,91,보고,5,중립
2026-09-06,문화일보,경제,92,공공,5,중립
2026-09-06,문화일보,경제,93,주택,5,중립
2026-09-06,문화일보,경제,94,시세,5,중립
2026-09-06,문화일보,경제,95,휘발유,5,중립
2026-09-06,문화일보,경제,96,경유,5,중립
2026-09-06,문화일보,경제,97,제철소,5,중립
2026-09-06,문화일보,경제,98,자동차,5,중립
2026-09-06,문화일보,경제,99,자택,5,중립
2026-09-06,문화일보,경제,100,무상,5,중립
