날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-06,문화일보,주요뉴스,긍정,1,최대,9,24.32,5,37,#0d2b5c,#0d2b5c,Y
2026-09-06,문화일보,주요뉴스,긍정,2,합의,9,24.32,5,37,#345481,#345481,Y
2026-09-06,문화일보,주요뉴스,긍정,3,축제,8,21.62,5,37,#5b7ea6,#5b7ea6,Y
2026-09-06,문화일보,주요뉴스,긍정,4,달성,6,16.22,5,37,#82a7cb,#82a7cb,Y
2026-09-06,문화일보,주요뉴스,긍정,5,안전,5,13.51,5,37,#a8d0f0,#a8d0f0,Y
2026-09-06,문화일보,주요뉴스,부정,1,재판,11,16.67,9,66,#7a0a12,#7a0a12,Y
2026-09-06,문화일보,주요뉴스,부정,2,기소,10,15.15,9,66,#891e25,#891e25,Y
2026-09-06,문화일보,주요뉴스,부정,3,수사,9,13.64,9,66,#983137,#983137,Y
2026-09-06,문화일보,주요뉴스,부정,4,의혹,8,12.12,9,66,#a7454a,#a7454a,Y
2026-09-06,문화일보,주요뉴스,부정,5,혐의,8,12.12,9,66,#b6585c,#b6585c,Y
2026-09-06,문화일보,주요뉴스,부정,6,타격,6,9.09,9,66,#c56c6f,#c56c6f,Y
2026-09-06,문화일보,주요뉴스,부정,7,보복,5,7.58,9,66,#d47f81,#d47f81,Y
2026-09-06,문화일보,주요뉴스,부정,8,처벌,5,7.58,9,66,#e39394,#e39394,Y
2026-09-06,문화일보,주요뉴스,부정,9,흉기,4,6.06,9,66,#f2a6a6,#f2a6a6,Y
