날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-06,종합,전체 카테고리,긍정,1,지원,228,9.6,48,2374,#0d2b5c,#0d2b5c,Y
2026-09-06,종합,전체 카테고리,긍정,2,투자,206,8.68,48,2374,#102e5f,#1e3d6c,Y
2026-09-06,종합,전체 카테고리,긍정,3,확대,169,7.12,48,2374,#133162,#2f4f7d,Y
2026-09-06,종합,전체 카테고리,긍정,4,최대,169,7.12,48,2374,#173565,#41628d,Y
2026-09-06,종합,전체 카테고리,긍정,5,성장,159,6.7,48,2374,#1a3968,#52749e,Y
2026-09-06,종합,전체 카테고리,긍정,6,증가,122,5.14,48,2374,#1d3c6c,#6387ae,Y
2026-09-06,종합,전체 카테고리,긍정,7,안전,110,4.63,48,2374,#20406f,#7499bf,Y
2026-09-06,종합,전체 카테고리,긍정,8,출시,98,4.13,48,2374,#244472,#86accf,Y
2026-09-06,종합,전체 카테고리,긍정,9,최고,94,3.96,48,2374,#274775,#97bee0,Y
2026-09-06,종합,전체 카테고리,긍정,10,축제,89,3.75,48,2374,#2b4b78,#a8d0f0,Y
2026-09-06,종합,전체 카테고리,긍정,11,상승,86,3.62,48,2374,#2e4e7b,,N
2026-09-06,종합,전체 카테고리,긍정,12,확보,73,3.07,48,2374,#31517e,,N
2026-09-06,종합,전체 카테고리,긍정,13,강화,63,2.65,48,2374,#355582,,N
2026-09-06,종합,전체 카테고리,긍정,14,참여,59,2.49,48,2374,#385885,,N
2026-09-06,종합,전체 카테고리,긍정,15,계약,53,2.23,48,2374,#3b5c88,,N
2026-09-06,종합,전체 카테고리,긍정,16,상장,44,1.85,48,2374,#3e5f8b,,N
2026-09-06,종합,전체 카테고리,긍정,17,인기,40,1.68,48,2374,#42638e,,N
2026-09-06,종합,전체 카테고리,긍정,18,동맹,40,1.68,48,2374,#456791,,N
2026-09-06,종합,전체 카테고리,긍정,19,전시,39,1.64,48,2374,#496a95,,N
2026-09-06,종합,전체 카테고리,긍정,20,합의,34,1.43,48,2374,#4c6e98,,N
2026-09-06,종합,전체 카테고리,긍정,21,선정,28,1.18,48,2374,#4f719b,,N
2026-09-06,종합,전체 카테고리,긍정,22,절감,26,1.1,48,2374,#52759e,,N
2026-09-06,종합,전체 카테고리,긍정,23,협력,26,1.1,48,2374,#5578a1,,N
2026-09-06,종합,전체 카테고리,긍정,24,공연,26,1.1,48,2374,#597ca5,,N
2026-09-06,종합,전체 카테고리,긍정,25,개최,23,0.97,48,2374,#5c7fa7,,N
2026-09-06,종합,전체 카테고리,긍정,26,효율,18,0.76,48,2374,#6083ab,,N
2026-09-06,종합,전체 카테고리,긍정,27,안정,18,0.76,48,2374,#6386ae,,N
2026-09-06,종합,전체 카테고리,긍정,28,혁신,17,0.72,48,2374,#668ab1,,N
2026-09-06,종합,전체 카테고리,긍정,29,배당,17,0.72,48,2374,#698db4,,N
2026-09-06,종합,전체 카테고리,긍정,30,개막,16,0.67,48,2374,#6c91b7,,N
2026-09-06,종합,전체 카테고리,긍정,31,통과,15,0.63,48,2374,#7094bb,,N
2026-09-06,종합,전체 카테고리,긍정,32,고용,15,0.63,48,2374,#7398be,,N
2026-09-06,종합,전체 카테고리,긍정,33,인정,14,0.59,48,2374,#779cc1,,N
2026-09-06,종합,전체 카테고리,긍정,34,우수,13,0.55,48,2374,#7a9fc4,,N
2026-09-06,종합,전체 카테고리,긍정,35,기부,13,0.55,48,2374,#7da3c7,,N
2026-09-06,종합,전체 카테고리,긍정,36,달성,13,0.55,48,2374,#80a6ca,,N
2026-09-06,종합,전체 카테고리,긍정,37,개선,13,0.55,48,2374,#84aace,,N
2026-09-06,종합,전체 카테고리,긍정,38,성공,12,0.51,48,2374,#87add1,,N
