날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-07,매일신문,경제,긍정,1,계약,17,20.99,8,81,#0d2b5c,#0d2b5c,Y
2026-09-07,매일신문,경제,긍정,2,전시,14,17.28,8,81,#234271,#234271,Y
2026-09-07,매일신문,경제,긍정,3,상승,11,13.58,8,81,#395a86,#395a86,Y
2026-09-07,매일신문,경제,긍정,4,증가,10,12.35,8,81,#4f729b,#4f729b,Y
2026-09-07,매일신문,경제,긍정,5,우수,8,9.88,8,81,#6689b1,#6689b1,Y
2026-09-07,매일신문,경제,긍정,6,확대,7,8.64,8,81,#7ca1c6,#7ca1c6,Y
2026-09-07,매일신문,경제,긍정,7,투자,7,8.64,8,81,#92b9db,#92b9db,Y
2026-09-07,매일신문,경제,긍정,8,기대,7,8.64,8,81,#a8d0f0,#a8d0f0,Y
2026-09-07,매일신문,경제,부정,1,감소,22,41.51,4,53,#7a0a12,#7a0a12,Y
2026-09-07,매일신문,경제,부정,2,부채,13,24.53,4,53,#a23e43,#a23e43,Y
2026-09-07,매일신문,경제,부정,3,부담,10,18.87,4,53,#ca7275,#ca7275,Y
2026-09-07,매일신문,경제,부정,4,하락,8,15.09,4,53,#f2a6a6,#f2a6a6,Y
