날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-07,매일신문,문화,긍정,1,공연,19,21.84,10,87,#0d2b5c,#0d2b5c,Y
2026-09-07,매일신문,문화,긍정,2,축제,11,12.64,10,87,#1e3d6c,#1e3d6c,Y
2026-09-07,매일신문,문화,긍정,3,기증,9,10.34,10,87,#2f4f7d,#2f4f7d,Y
2026-09-07,매일신문,문화,긍정,4,전시,9,10.34,10,87,#41628d,#41628d,Y
2026-09-07,매일신문,문화,긍정,5,참여,8,9.2,10,87,#52749e,#52749e,Y
2026-09-07,매일신문,문화,긍정,6,지원,7,8.05,10,87,#6387ae,#6387ae,Y
2026-09-07,매일신문,문화,긍정,7,흥행,6,6.9,10,87,#7499bf,#7499bf,Y
2026-09-07,매일신문,문화,긍정,8,개막,6,6.9,10,87,#86accf,#86accf,Y
2026-09-07,매일신문,문화,긍정,9,성공,6,6.9,10,87,#97bee0,#97bee0,Y
2026-09-07,매일신문,문화,긍정,10,협력,6,6.9,10,87,#a8d0f0,#a8d0f0,Y
