날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-07,매일신문,정치,긍정,1,채용,7,100.0,1,7,#0d2b5c,#0d2b5c,Y
2026-09-07,매일신문,정치,부정,1,논란,32,19.05,12,168,#7a0a12,#7a0a12,Y
2026-09-07,매일신문,정치,부정,2,의혹,32,19.05,12,168,#85181f,#871b22,Y
2026-09-07,매일신문,정치,부정,3,사퇴,16,9.52,12,168,#90262d,#942c33,Y
2026-09-07,매일신문,정치,부정,4,비판,14,8.33,12,168,#9a343a,#a23e43,Y
2026-09-07,매일신문,정치,부정,5,청탁,14,8.33,12,168,#a64348,#af4f54,Y
2026-09-07,매일신문,정치,부정,6,반대,11,6.55,12,168,#b15155,#bd6164,Y
2026-09-07,매일신문,정치,부정,7,벌금,9,5.36,12,168,#bb5f63,#ca7275,Y
2026-09-07,매일신문,정치,부정,8,범죄,9,5.36,12,168,#c66d70,#d88485,Y
2026-09-07,매일신문,정치,부정,9,수사,9,5.36,12,168,#d27c7e,#e59596,Y
2026-09-07,매일신문,정치,부정,10,하락,8,4.76,12,168,#dc8a8b,#f2a6a6,Y
2026-09-07,매일신문,정치,부정,11,부실,7,4.17,12,168,#e79899,,N
2026-09-07,매일신문,정치,부정,12,우려,7,4.17,12,168,#f2a6a6,,N
