날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-07,아시아경제,경제,긍정,1,지원,26,25.0,9,104,#0d2b5c,#0d2b5c,Y
2026-09-07,아시아경제,경제,긍정,2,확대,18,17.31,9,104,#20406f,#20406f,Y
2026-09-07,아시아경제,경제,긍정,3,혜택,12,11.54,9,104,#345481,#345481,Y
2026-09-07,아시아경제,경제,긍정,4,투자,10,9.62,9,104,#476994,#476994,Y
2026-09-07,아시아경제,경제,긍정,5,최고,8,7.69,9,104,#5b7ea6,#5b7ea6,Y
2026-09-07,아시아경제,경제,긍정,6,최대,8,7.69,9,104,#6e93b9,#6e93b9,Y
2026-09-07,아시아경제,경제,긍정,7,참여,8,7.69,9,104,#82a7cb,#82a7cb,Y
2026-09-07,아시아경제,경제,긍정,8,계약,7,6.73,9,104,#95bcde,#95bcde,Y
2026-09-07,아시아경제,경제,긍정,9,강화,7,6.73,9,104,#a8d0f0,#a8d0f0,Y
2026-09-07,아시아경제,경제,부정,1,허위,7,100.0,1,7,#7a0a12,#7a0a12,Y
