날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-07,아시아경제,세계,1,미국,53,중립
2026-09-07,아시아경제,세계,2,이란,49,중립
2026-09-07,아시아경제,세계,3,해협,26,중립
2026-09-07,아시아경제,세계,4,호르무즈,24,중립
2026-09-07,아시아경제,세계,5,미군,23,중립
2026-09-07,아시아경제,세계,6,임신,20,중립
2026-09-07,아시아경제,세계,7,한국,20,중립
2026-09-07,아시아경제,세계,8,공격,20,중립
2026-09-07,아시아경제,세계,9,봉쇄,18,중립
2026-09-07,아시아경제,세계,10,캐나다,18,중립
2026-09-07,아시아경제,세계,11,지역,18,중립
2026-09-07,아시아경제,세계,12,지원,17,긍정
2026-09-07,아시아경제,세계,13,대통령,17,중립
2026-09-07,아시아경제,세계,14,트럼프,16,중립
2026-09-07,아시아경제,세계,15,현지,16,중립
2026-09-07,아시아경제,세계,16,마라톤,15,중립
2026-09-07,아시아경제,세계,17,러시아,15,중립
2026-09-07,아시아경제,세계,18,시간,14,중립
2026-09-07,아시아경제,세계,19,선박,14,중립
2026-09-07,아시아경제,세계,20,사고,13,부정
2026-09-07,아시아경제,세계,21,원유,13,중립
2026-09-07,아시아경제,세계,22,우크라이나,13,중립
2026-09-07,아시아경제,세계,23,군사,12,중립
2026-09-07,아시아경제,세계,24,공개,12,중립
2026-09-07,아시아경제,세계,25,정부,12,중립
2026-09-07,아시아경제,세계,26,스즈키,12,중립
2026-09-07,아시아경제,세계,27,임대,11,중립
2026-09-07,아시아경제,세계,28,달러,11,중립
2026-09-07,아시아경제,세계,29,장관,11,중립
2026-09-07,아시아경제,세계,30,해상,11,중립
2026-09-07,아시아경제,세계,31,협상,11,중립
2026-09-07,아시아경제,세계,32,시장,11,중립
2026-09-07,아시아경제,세계,33,완주,10,중립
2026-09-07,아시아경제,세계,34,단기,10,중립
2026-09-07,아시아경제,세계,35,대표,10,중립
2026-09-07,아시아경제,세계,36,당국,10,중립
2026-09-07,아시아경제,세계,37,케냐,10,중립
2026-09-07,아시아경제,세계,38,유조선,10,중립
2026-09-07,아시아경제,세계,39,종전,10,중립
2026-09-07,아시아경제,세계,40,주택,10,중립
2026-09-07,아시아경제,세계,41,주민,10,중립
2026-09-07,아시아경제,세계,42,가능,10,중립
2026-09-07,아시아경제,세계,43,주장,10,중립
2026-09-07,아시아경제,세계,44,규모,10,중립
2026-09-07,아시아경제,세계,45,확인,9,중립
2026-09-07,아시아경제,세계,46,투입,9,중립
2026-09-07,아시아경제,세계,47,전쟁,9,부정
2026-09-07,아시아경제,세계,48,부동산,9,중립
2026-09-07,아시아경제,세계,49,구체,9,중립
2026-09-07,아시아경제,세계,50,사령부,9,중립
2026-09-07,아시아경제,세계,51,석유,9,중립
2026-09-07,아시아경제,세계,52,방문,9,중립
2026-09-07,아시아경제,세계,53,라이트,9,중립
2026-09-07,아시아경제,세계,54,중부,9,중립
2026-09-07,아시아경제,세계,55,해군,9,중립
2026-09-07,아시아경제,세계,56,미야자키,8,중립
2026-09-07,아시아경제,세계,57,회담,8,중립
2026-09-07,아시아경제,세계,58,아파트,8,중립
2026-09-07,아시아경제,세계,59,일본,8,중립
2026-09-07,아시아경제,세계,60,연합뉴스,8,중립
2026-09-07,아시아경제,세계,61,공급,8,중립
2026-09-07,아시아경제,세계,62,조사,8,중립
2026-09-07,아시아경제,세계,63,대상,8,중립
2026-09-07,아시아경제,세계,64,작업,8,중립
2026-09-07,아시아경제,세계,65,피해,8,부정
2026-09-07,아시아경제,세계,66,동맹국,8,중립
2026-09-07,아시아경제,세계,67,키이우,8,중립
2026-09-07,아시아경제,세계,68,무력,8,중립
2026-09-07,아시아경제,세계,69,최고,7,긍정
2026-09-07,아시아경제,세계,70,풀코스,7,중립
2026-09-07,아시아경제,세계,71,지브리,7,중립
2026-09-07,아시아경제,세계,72,압박,7,부정
2026-09-07,아시아경제,세계,73,젤렌스키,7,중립
2026-09-07,아시아경제,세계,74,논의,7,중립
2026-09-07,아시아경제,세계,75,금리,7,중립
2026-09-07,아시아경제,세계,76,결정,7,중립
2026-09-07,아시아경제,세계,77,규제,7,부정
2026-09-07,아시아경제,세계,78,정보,7,중립
2026-09-07,아시아경제,세계,79,추가,7,중립
2026-09-07,아시아경제,세계,80,경고,7,부정
2026-09-07,아시아경제,세계,81,배치,7,중립
2026-09-07,아시아경제,세계,82,대필,7,중립
2026-09-07,아시아경제,세계,83,중동,7,중립
2026-09-07,아시아경제,세계,84,국가,7,중립
2026-09-07,아시아경제,세계,85,미사일,7,중립
2026-09-07,아시아경제,세계,86,상선,7,중립
2026-09-07,아시아경제,세계,87,중국,7,중립
2026-09-07,아시아경제,세계,88,에어비앤비,6,중립
2026-09-07,아시아경제,세계,89,항로,6,중립
2026-09-07,아시아경제,세계,90,변경,6,중립
2026-09-07,아시아경제,세계,91,티베트,6,중립
2026-09-07,아시아경제,세계,92,사망자,6,중립
2026-09-07,아시아경제,세계,93,실종자,6,중립
2026-09-07,아시아경제,세계,94,타격,6,부정
2026-09-07,아시아경제,세계,95,경제,6,중립
2026-09-07,아시아경제,세계,96,가격,6,중립
2026-09-07,아시아경제,세계,97,기준,6,중립
2026-09-07,아시아경제,세계,98,운동,6,중립
2026-09-07,아시아경제,세계,99,인용,6,중립
2026-09-07,아시아경제,세계,100,앤더슨,6,중립
