날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-07,조선일보,문화,긍정,1,전시,12,19.67,9,61,#0d2b5c,#0d2b5c,Y
2026-09-07,조선일보,문화,긍정,2,공연,8,13.11,9,61,#20406f,#20406f,Y
2026-09-07,조선일보,문화,긍정,3,돌파,8,13.11,9,61,#345481,#345481,Y
2026-09-07,조선일보,문화,긍정,4,참여,7,11.48,9,61,#476994,#476994,Y
2026-09-07,조선일보,문화,긍정,5,기부,6,9.84,9,61,#5b7ea6,#5b7ea6,Y
2026-09-07,조선일보,문화,긍정,6,응원,5,8.2,9,61,#6e93b9,#6e93b9,Y
2026-09-07,조선일보,문화,긍정,7,호평,5,8.2,9,61,#82a7cb,#82a7cb,Y
2026-09-07,조선일보,문화,긍정,8,성공,5,8.2,9,61,#95bcde,#95bcde,Y
2026-09-07,조선일보,문화,긍정,9,최대,5,8.2,9,61,#a8d0f0,#a8d0f0,Y
2026-09-07,조선일보,문화,부정,1,피해,9,69.23,2,13,#7a0a12,#7a0a12,Y
2026-09-07,조선일보,문화,부정,2,불안,4,30.77,2,13,#f2a6a6,#f2a6a6,Y
