날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-08,데일리안,세계,1,미국,30,중립
2026-09-08,데일리안,세계,2,독일,25,중립
2026-09-08,데일리안,세계,3,트럼프,23,중립
2026-09-08,데일리안,세계,4,독일대안당,23,중립
2026-09-08,데일리안,세계,5,정부,21,중립
2026-09-08,데일리안,세계,6,중국,21,중립
2026-09-08,데일리안,세계,7,대통령,21,중립
2026-09-08,데일리안,세계,8,선거,20,중립
2026-09-08,데일리안,세계,9,지역,17,중립
2026-09-08,데일리안,세계,10,현지,17,중립
2026-09-08,데일리안,세계,11,수색,16,중립
2026-09-08,데일리안,세계,12,데일리안,16,중립
2026-09-08,데일리안,세계,13,네팔,14,중립
2026-09-08,데일리안,세계,14,업체,14,중립
2026-09-08,데일리안,세계,15,후보,14,중립
2026-09-08,데일리안,세계,16,일본,14,중립
2026-09-08,데일리안,세계,17,덤핑,14,중립
2026-09-08,데일리안,세계,18,조사,14,중립
2026-09-08,데일리안,세계,19,항공기,13,중립
2026-09-08,데일리안,세계,20,극우,13,중립
2026-09-08,데일리안,세계,21,정당,13,중립
2026-09-08,데일리안,세계,22,우크라이나,13,중립
2026-09-08,데일리안,세계,23,시간,13,중립
2026-09-08,데일리안,세계,24,장관,13,중립
2026-09-08,데일리안,세계,25,총리,12,중립
2026-09-08,데일리안,세계,26,일부,12,중립
2026-09-08,데일리안,세계,27,공화당,11,중립
2026-09-08,데일리안,세계,28,헤그세스,11,중립
2026-09-08,데일리안,세계,29,의회,11,중립
2026-09-08,데일리안,세계,30,이란,11,중립
2026-09-08,데일리안,세계,31,사건,11,중립
2026-09-08,데일리안,세계,32,메르츠,10,중립
2026-09-08,데일리안,세계,33,캐나다,10,중립
2026-09-08,데일리안,세계,34,조치,10,중립
2026-09-08,데일리안,세계,35,비트코인,10,중립
2026-09-08,데일리안,세계,36,득표,10,중립
2026-09-08,데일리안,세계,37,혐의,10,부정
2026-09-08,데일리안,세계,38,해당,10,중립
2026-09-08,데일리안,세계,39,한국인,9,중립
2026-09-08,데일리안,세계,40,확보,9,긍정
2026-09-08,데일리안,세계,41,집권,9,중립
2026-09-08,데일리안,세계,42,디클로로실란,9,중립
2026-09-08,데일리안,세계,43,전쟁,9,부정
2026-09-08,데일리안,세계,44,사카구치 켄타로,9,중립
2026-09-08,데일리안,세계,45,한국,9,중립
2026-09-08,데일리안,세계,46,작센안할트,9,중립
2026-09-08,데일리안,세계,47,제품,9,중립
2026-09-08,데일리안,세계,48,세력,9,중립
2026-09-08,데일리안,세계,49,승객,9,중립
2026-09-08,데일리안,세계,50,룬딘,9,중립
2026-09-08,데일리안,세계,51,당국,8,중립
2026-09-08,데일리안,세계,52,미군,8,중립
2026-09-08,데일리안,세계,53,배추,8,중립
2026-09-08,데일리안,세계,54,지지,8,중립
2026-09-08,데일리안,세계,55,지원,8,긍정
2026-09-08,데일리안,세계,56,공항,8,중립
2026-09-08,데일리안,세계,57,연합뉴스,8,중립
2026-09-08,데일리안,세계,58,인정,8,긍정
2026-09-08,데일리안,세계,59,연방,8,중립
2026-09-08,데일리안,세계,60,봄바디어,8,중립
2026-09-08,데일리안,세계,61,도너휴,8,중립
2026-09-08,데일리안,세계,62,육군,8,중립
2026-09-08,데일리안,세계,63,대장,8,중립
2026-09-08,데일리안,세계,64,수사,8,부정
2026-09-08,데일리안,세계,65,관계,8,중립
2026-09-08,데일리안,세계,66,중간,7,중립
2026-09-08,데일리안,세계,67,실종,7,부정
2026-09-08,데일리안,세계,68,협조,7,중립
2026-09-08,데일리안,세계,69,판매,7,중립
2026-09-08,데일리안,세계,70,정보,7,중립
2026-09-08,데일리안,세계,71,김수현,7,중립
2026-09-08,데일리안,세계,72,가능,7,중립
2026-09-08,데일리안,세계,73,상추,7,중립
2026-09-08,데일리안,세계,74,중도,7,중립
2026-09-08,데일리안,세계,75,존재,7,중립
2026-09-08,데일리안,세계,76,경제,7,중립
2026-09-08,데일리안,세계,77,확인,7,중립
2026-09-08,데일리안,세계,78,대표,7,중립
2026-09-08,데일리안,세계,79,현장,7,중립
2026-09-08,데일리안,세계,80,철수,7,중립
2026-09-08,데일리안,세계,81,경찰,7,중립
2026-09-08,데일리안,세계,82,주장,7,중립
2026-09-08,데일리안,세계,83,채소,7,중립
2026-09-08,데일리안,세계,84,도보,6,중립
2026-09-08,데일리안,세계,85,아프간,6,중립
2026-09-08,데일리안,세계,86,청장,6,중립
2026-09-08,데일리안,세계,87,호르무즈,6,중립
2026-09-08,데일리안,세계,88,요구,6,중립
2026-09-08,데일리안,세계,89,사망,6,부정
2026-09-08,데일리안,세계,90,관세,6,중립
2026-09-08,데일리안,세계,91,사용,6,중립
2026-09-08,데일리안,세계,92,유럽,6,중립
2026-09-08,데일리안,세계,93,검찰,6,중립
2026-09-08,데일리안,세계,94,기소,6,부정
2026-09-08,데일리안,세계,95,수입,6,중립
2026-09-08,데일리안,세계,96,공개,6,중립
2026-09-08,데일리안,세계,97,자산,6,중립
2026-09-08,데일리안,세계,98,경고,5,부정
2026-09-08,데일리안,세계,99,출신,5,중립
2026-09-08,데일리안,세계,100,반도체,5,중립
