날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-08,매일신문,세계,긍정,1,지원,15,38.46,4,39,#0d2b5c,#0d2b5c,Y
2026-09-08,매일신문,세계,긍정,2,참여,11,28.21,4,39,#41628d,#41628d,Y
2026-09-08,매일신문,세계,긍정,3,확보,7,17.95,4,39,#7499bf,#7499bf,Y
2026-09-08,매일신문,세계,긍정,4,최대,6,15.38,4,39,#a8d0f0,#a8d0f0,Y
2026-09-08,매일신문,세계,부정,1,전쟁,15,22.73,6,66,#7a0a12,#7a0a12,Y
2026-09-08,매일신문,세계,부정,2,사고,15,22.73,6,66,#922930,#922930,Y
2026-09-08,매일신문,세계,부정,3,압박,14,21.21,6,66,#aa484d,#aa484d,Y
2026-09-08,매일신문,세계,부정,4,경고,9,13.64,6,66,#c2686b,#c2686b,Y
2026-09-08,매일신문,세계,부정,5,붕괴,7,10.61,6,66,#da8788,#da8788,Y
2026-09-08,매일신문,세계,부정,6,위험,6,9.09,6,66,#f2a6a6,#f2a6a6,Y
