날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-09,데일리안,세계,긍정,1,안전,8,32.0,4,25,#0d2b5c,#0d2b5c,Y
2026-09-09,데일리안,세계,긍정,2,최대,6,24.0,4,25,#41628d,#41628d,Y
2026-09-09,데일리안,세계,긍정,3,최고,6,24.0,4,25,#7499bf,#7499bf,Y
2026-09-09,데일리안,세계,긍정,4,급등,5,20.0,4,25,#a8d0f0,#a8d0f0,Y
2026-09-09,데일리안,세계,부정,1,보복,18,18.56,9,97,#7a0a12,#7a0a12,Y
2026-09-09,데일리안,세계,부정,2,경고,16,16.49,9,97,#891e25,#891e25,Y
2026-09-09,데일리안,세계,부정,3,전쟁,12,12.37,9,97,#983137,#983137,Y
2026-09-09,데일리안,세계,부정,4,우려,12,12.37,9,97,#a7454a,#a7454a,Y
2026-09-09,데일리안,세계,부정,5,충돌,9,9.28,9,97,#b6585c,#b6585c,Y
2026-09-09,데일리안,세계,부정,6,하락,9,9.28,9,97,#c56c6f,#c56c6f,Y
2026-09-09,데일리안,세계,부정,7,공습,8,8.25,9,97,#d47f81,#d47f81,Y
2026-09-09,데일리안,세계,부정,8,파업,7,7.22,9,97,#e39394,#e39394,Y
2026-09-09,데일리안,세계,부정,9,위협,6,6.19,9,97,#f2a6a6,#f2a6a6,Y
