날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-09,문화일보,정치,긍정,1,협력,56,36.6,10,153,#0d2b5c,#0d2b5c,Y
2026-09-09,문화일보,정치,긍정,2,강화,17,11.11,10,153,#1e3d6c,#1e3d6c,Y
2026-09-09,문화일보,정치,긍정,3,투자,15,9.8,10,153,#2f4f7d,#2f4f7d,Y
2026-09-09,문화일보,정치,긍정,4,확대,13,8.5,10,153,#41628d,#41628d,Y
2026-09-09,문화일보,정치,긍정,5,체결,11,7.19,10,153,#52749e,#52749e,Y
2026-09-09,문화일보,정치,긍정,6,증가,10,6.54,10,153,#6387ae,#6387ae,Y
2026-09-09,문화일보,정치,긍정,7,평화,9,5.88,10,153,#7499bf,#7499bf,Y
2026-09-09,문화일보,정치,긍정,8,안정,8,5.23,10,153,#86accf,#86accf,Y
2026-09-09,문화일보,정치,긍정,9,계약,7,4.58,10,153,#97bee0,#97bee0,Y
2026-09-09,문화일보,정치,긍정,10,지원,7,4.58,10,153,#a8d0f0,#a8d0f0,Y
2026-09-09,문화일보,정치,부정,1,반대,32,74.42,2,43,#7a0a12,#7a0a12,Y
2026-09-09,문화일보,정치,부정,2,의혹,11,25.58,2,43,#f2a6a6,#f2a6a6,Y
