날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-09,아시아경제,이슈,긍정,1,상승,38,23.17,12,164,#0d2b5c,#0d2b5c,Y
2026-09-09,아시아경제,이슈,긍정,2,투자,20,12.2,12,164,#1b3a69,#1e3d6c,Y
2026-09-09,아시아경제,이슈,긍정,3,증가,13,7.93,12,164,#294977,#2f4f7d,Y
2026-09-09,아시아경제,이슈,긍정,4,확대,13,7.93,12,164,#375884,#41628d,Y
2026-09-09,아시아경제,이슈,긍정,5,성장,12,7.32,12,164,#466792,#52749e,Y
2026-09-09,아시아경제,이슈,긍정,6,지원,12,7.32,12,164,#54769f,#6387ae,Y
2026-09-09,아시아경제,이슈,긍정,7,최대,10,6.1,12,164,#6185ad,#7499bf,Y
2026-09-09,아시아경제,이슈,긍정,8,급등,10,6.1,12,164,#6f94ba,#86accf,Y
2026-09-09,아시아경제,이슈,긍정,9,기대,10,6.1,12,164,#7ea3c8,#97bee0,Y
2026-09-09,아시아경제,이슈,긍정,10,주목,9,5.49,12,164,#8cb2d5,#a8d0f0,Y
2026-09-09,아시아경제,이슈,긍정,11,최고,9,5.49,12,164,#9ac1e3,,N
2026-09-09,아시아경제,이슈,긍정,12,수혜,8,4.88,12,164,#a8d0f0,,N
2026-09-09,아시아경제,이슈,부정,1,우려,20,32.79,5,61,#7a0a12,#7a0a12,Y
2026-09-09,아시아경제,이슈,부정,2,하락,12,19.67,5,61,#983137,#983137,Y
2026-09-09,아시아경제,이슈,부정,3,취소,11,18.03,5,61,#b6585c,#b6585c,Y
2026-09-09,아시아경제,이슈,부정,4,부담,10,16.39,5,61,#d47f81,#d47f81,Y
2026-09-09,아시아경제,이슈,부정,5,보복,8,13.11,5,61,#f2a6a6,#f2a6a6,Y
