날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-09,아시아경제,주요뉴스,긍정,1,성장,35,12.92,16,271,#0d2b5c,#0d2b5c,Y
2026-09-09,아시아경제,주요뉴스,긍정,2,협력,33,12.18,16,271,#173666,#1e3d6c,Y
2026-09-09,아시아경제,주요뉴스,긍정,3,투자,25,9.23,16,271,#224170,#2f4f7d,Y
2026-09-09,아시아경제,주요뉴스,긍정,4,상승,24,8.86,16,271,#2c4c7a,#41628d,Y
2026-09-09,아시아경제,주요뉴스,긍정,5,지원,19,7.01,16,271,#365783,#52749e,Y
2026-09-09,아시아경제,주요뉴스,긍정,6,증가,15,5.54,16,271,#41628d,#6387ae,Y
2026-09-09,아시아경제,주요뉴스,긍정,7,성과,15,5.54,16,271,#4b6d97,#7499bf,Y
2026-09-09,아시아경제,주요뉴스,긍정,8,상장,14,5.17,16,271,#5578a1,#86accf,Y
2026-09-09,아시아경제,주요뉴스,긍정,9,확대,14,5.17,16,271,#6083ab,#97bee0,Y
2026-09-09,아시아경제,주요뉴스,긍정,10,강화,14,5.17,16,271,#6a8eb5,#a8d0f0,Y
2026-09-09,아시아경제,주요뉴스,긍정,11,개선,13,4.8,16,271,#7499bf,,N
2026-09-09,아시아경제,주요뉴스,긍정,12,완화,12,4.43,16,271,#7fa4c9,,N
2026-09-09,아시아경제,주요뉴스,긍정,13,최대,10,3.69,16,271,#89afd2,,N
2026-09-09,아시아경제,주요뉴스,긍정,14,체결,10,3.69,16,271,#93badc,,N
2026-09-09,아시아경제,주요뉴스,긍정,15,확보,9,3.32,16,271,#9ec5e6,,N
2026-09-09,아시아경제,주요뉴스,긍정,16,기대,9,3.32,16,271,#a8d0f0,,N
2026-09-09,아시아경제,주요뉴스,부정,1,규제,17,58.62,2,29,#7a0a12,#7a0a12,Y
2026-09-09,아시아경제,주요뉴스,부정,2,폐지,12,41.38,2,29,#f2a6a6,#f2a6a6,Y
