날짜,분석단위,대상,기사수,키워드종수,누적빈도,긍정단어수,긍정총빈도,부정단어수,부정총빈도,감성지수,상위키워드TOP5,대표긍정어TOP3,대표부정어TOP3,인사이트
2026-09-09,종합,전체,900,1451,48779,52,3240,53,1758,29.7,대통령(615); 미국(507); 기업(473); 시장(430); 협력(412),협력(412); 투자(347); 지원(343),의혹(148); 부담(124); 논란(115),"전체: 기사 900건에서 키워드 1451종을 추출했고 상위 키워드는 '대통령'(615회), '미국'(507회), '기업'(473회) 순입니다. 감성지수 +29.7로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-09,신문사,데일리안,180,466,10900,24,545,22,457,8.8,데일리안(199); 대통령(167); 후보자(153); 차체(118); 미국(117),협력(86); 참여(65); 지원(54),부담(50); 논란(44); 하락(41),"데일리안: 기사 180건에서 키워드 466종을 추출했고 상위 키워드는 '데일리안'(199회), '대통령'(167회), '후보자'(153회) 순입니다. 감성지수 +8.8로 긍정 어휘가 다소 우세합니다."
2026-09-09,신문사,매일신문,180,503,8909,22,497,26,462,3.6,의원(133); 지역(104); 사업(103); 기업(98); 대통령(98),지원(71); 투자(53); 협력(52),혐의(57); 수사(42); 의혹(37),"매일신문: 기사 180건에서 키워드 503종을 추출했고 상위 키워드는 '의원'(133회), '지역'(104회), '사업'(103회) 순입니다. 감성지수 +3.6로 긍정과 부정이 비슷한 수준합니다."
2026-09-09,신문사,문화일보,180,513,7406,32,558,14,230,41.6,대통령(105); 평가(92); 협력(84); 시장(78); 개발(75),협력(84); 투자(71); 최대(34),반대(64); 의혹(37); 소송(29),"문화일보: 기사 180건에서 키워드 513종을 추출했고 상위 키워드는 '대통령'(105회), '평가'(92회), '협력'(84회) 순입니다. 감성지수 +41.6로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-09,신문사,아시아경제,180,492,10989,31,1234,16,205,71.5,기술(170); 협력(153); 지원(149); 시장(149); 연구(146),협력(153); 지원(149); 확대(136),우려(27); 보복(22); 제재(21),"아시아경제: 기사 180건에서 키워드 492종을 추출했고 상위 키워드는 '기술'(170회), '협력'(153회), '지원'(149회) 순입니다. 감성지수 +71.5로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-09,신문사,조선일보,180,496,10575,12,406,23,404,0.2,기업(176); 미국(146); 중국(139); 후보자(126); 대통령(116),투자(99); 상승(47); 최대(44),의혹(47); 수사(43); 하락(30),"조선일보: 기사 180건에서 키워드 496종을 추출했고 상위 키워드는 '기업'(176회), '미국'(146회), '중국'(139회) 순입니다. 감성지수 +0.2로 긍정과 부정이 비슷한 수준합니다."
2026-09-09,카테고리,IT과학,100,324,7084,21,492,8,136,56.7,기업(168); 기술(143); 연구(127); 정보(115); 데이터(103),투자(72); 지원(62); 최대(58),유출(29); 제재(25); 허위(18),"IT과학: 기사 100건에서 키워드 324종을 추출했고 상위 키워드는 '기업'(168회), '기술'(143회), '연구'(127회) 순입니다. 감성지수 +56.7로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-09,카테고리,경제,100,375,5897,24,457,10,169,46.0,기업(124); 대출(103); 투자(99); 시장(89); 사업(79),투자(99); 확대(55); 지원(38),부담(39); 하락(30); 규제(19),"경제: 기사 100건에서 키워드 375종을 추출했고 상위 키워드는 '기업'(124회), '대출'(103회), '투자'(99회) 순입니다. 감성지수 +46.0로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-09,카테고리,문화,100,405,5164,16,251,2,29,79.3,공연(92); 한국(77); 문화(74); 지역(71); 전력(65),공연(92); 확대(27); 지원(27),담합(17); 부담(12),"문화: 기사 100건에서 키워드 405종을 추출했고 상위 키워드는 '공연'(92회), '한국'(77회), '문화'(74회) 순입니다. 감성지수 +79.3로 긍정 어휘가 뚜렷하게 우세합니다."
2026-09-09,카테고리,사회,100,370,5320,20,455,14,163,47.2,지역(115); 사업(89); 주민(72); 서울(68); 지원(68),지원(68); 참여(64); 축제(58),혐의(27); 부담(19); 수사(17),"사회: 기사 100건에서 키워드 370종을 추출했고 상위 키워드는 '지역'(115회), '사업'(89회), '주민'(72회) 순입니다. 감성지수 +47.2로 긍정 어휘가 뚜렷하게 우세합니다."
