날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-10,매일신문,IT과학,긍정,1,투자,28,24.56,9,114,#0d2b5c,#0d2b5c,Y
2026-09-10,매일신문,IT과학,긍정,2,확대,17,14.91,9,114,#20406f,#20406f,Y
2026-09-10,매일신문,IT과학,긍정,3,선정,12,10.53,9,114,#345481,#345481,Y
2026-09-10,매일신문,IT과학,긍정,4,지원,12,10.53,9,114,#476994,#476994,Y
2026-09-10,매일신문,IT과학,긍정,5,강화,11,9.65,9,114,#5b7ea6,#5b7ea6,Y
2026-09-10,매일신문,IT과학,긍정,6,최대,9,7.89,9,114,#6e93b9,#6e93b9,Y
2026-09-10,매일신문,IT과학,긍정,7,상승,9,7.89,9,114,#82a7cb,#82a7cb,Y
2026-09-10,매일신문,IT과학,긍정,8,성과,8,7.02,9,114,#95bcde,#95bcde,Y
2026-09-10,매일신문,IT과학,긍정,9,성장,8,7.02,9,114,#a8d0f0,#a8d0f0,Y
2026-09-10,매일신문,IT과학,부정,1,부담,9,52.94,2,17,#7a0a12,#7a0a12,Y
2026-09-10,매일신문,IT과학,부정,2,유출,8,47.06,2,17,#f2a6a6,#f2a6a6,Y
