날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-10,문화일보,이슈,1,대통령,25,중립
2026-09-10,문화일보,이슈,2,경찰,22,중립
2026-09-10,문화일보,이슈,3,여성,21,중립
2026-09-10,문화일보,이슈,4,수사,21,부정
2026-09-10,문화일보,이슈,5,이더리움,19,중립
2026-09-10,문화일보,이슈,6,지지,17,중립
2026-09-10,문화일보,이슈,7,조사,17,중립
2026-09-10,문화일보,이슈,8,남성,14,중립
2026-09-10,문화일보,이슈,9,여사,14,중립
2026-09-10,문화일보,이슈,10,발견,13,중립
2026-09-10,문화일보,이슈,11,사고,13,부정
2026-09-10,문화일보,이슈,12,배우자,12,중립
2026-09-10,문화일보,이슈,13,혐의,12,부정
2026-09-10,문화일보,이슈,14,보유,12,중립
2026-09-10,문화일보,이슈,15,재산,11,중립
2026-09-10,문화일보,이슈,16,기준,11,중립
2026-09-10,문화일보,이슈,17,부산,10,중립
2026-09-10,문화일보,이슈,18,운전,10,중립
2026-09-10,문화일보,이슈,19,분할,10,중립
2026-09-10,문화일보,이슈,20,투자,10,긍정
2026-09-10,문화일보,이슈,21,금품,10,중립
2026-09-10,문화일보,이슈,22,스마일게이트,10,중립
2026-09-10,문화일보,이슈,23,의원,9,중립
2026-09-10,문화일보,이슈,24,해당,9,중립
2026-09-10,문화일보,이슈,25,위험,9,부정
2026-09-10,문화일보,이슈,26,비트마인,9,중립
2026-09-10,문화일보,이슈,27,카페,8,중립
2026-09-10,문화일보,이슈,28,상품권,8,중립
2026-09-10,문화일보,이슈,29,음주,8,중립
2026-09-10,문화일보,이슈,30,응답,8,중립
2026-09-10,문화일보,이슈,31,지역,8,중립
2026-09-10,문화일보,이슈,32,기소,8,부정
2026-09-10,문화일보,이슈,33,기관,8,중립
2026-09-10,문화일보,이슈,34,주식,8,중립
2026-09-10,문화일보,이슈,35,수익,8,중립
2026-09-10,문화일보,이슈,36,재판부,8,중립
2026-09-10,문화일보,이슈,37,자산,8,중립
2026-09-10,문화일보,이슈,38,반대,7,부정
2026-09-10,문화일보,이슈,39,전체,7,중립
2026-09-10,문화일보,이슈,40,평가,7,중립
2026-09-10,문화일보,이슈,41,메모리,7,중립
2026-09-10,문화일보,이슈,42,인사,7,중립
2026-09-10,문화일보,이슈,43,위원,7,중립
2026-09-10,문화일보,이슈,44,매수,7,중립
2026-09-10,문화일보,이슈,45,선원,7,중립
2026-09-10,문화일보,이슈,46,해경,7,중립
2026-09-10,문화일보,이슈,47,시신,6,중립
2026-09-10,문화일보,이슈,48,냉동,6,중립
2026-09-10,문화일보,이슈,49,청장,6,중립
2026-09-10,문화일보,이슈,50,테트라포드,6,중립
2026-09-10,문화일보,이슈,51,서울,6,중립
2026-09-10,문화일보,이슈,52,최대,6,긍정
2026-09-10,문화일보,이슈,53,임명,6,중립
2026-09-10,문화일보,이슈,54,시간,6,중립
2026-09-10,문화일보,이슈,55,수준,6,중립
2026-09-10,문화일보,이슈,56,확인,6,중립
2026-09-10,문화일보,이슈,57,추가,6,중립
2026-09-10,문화일보,이슈,58,자신,6,중립
2026-09-10,문화일보,이슈,59,하이닉스,6,중립
2026-09-10,문화일보,이슈,60,분리,6,중립
2026-09-10,문화일보,이슈,61,검찰,6,중립
2026-09-10,문화일보,이슈,62,일부,6,중립
2026-09-10,문화일보,이슈,63,판단,6,중립
2026-09-10,문화일보,이슈,64,1심,6,중립
2026-09-10,문화일보,이슈,65,사업,6,중립
2026-09-10,문화일보,이슈,66,대가,6,중립
2026-09-10,문화일보,이슈,67,청탁,6,부정
2026-09-10,문화일보,이슈,68,판결,6,중립
2026-09-10,문화일보,이슈,69,회장,6,중립
2026-09-10,문화일보,이슈,70,가상,6,중립
2026-09-10,문화일보,이슈,71,사다리차,5,중립
2026-09-10,문화일보,이슈,72,창고,5,중립
2026-09-10,문화일보,이슈,73,위조,5,부정
2026-09-10,문화일보,이슈,74,외모,5,중립
2026-09-10,문화일보,이슈,75,기온,5,중립
2026-09-10,문화일보,이슈,76,일본,5,중립
2026-09-10,문화일보,이슈,77,기록,5,중립
2026-09-10,문화일보,이슈,78,응답자,5,중립
2026-09-10,문화일보,이슈,79,대상,5,중립
2026-09-10,문화일보,이슈,80,과거,5,중립
2026-09-10,문화일보,이슈,81,상승,5,긍정
2026-09-10,문화일보,이슈,82,입장,5,중립
2026-09-10,문화일보,이슈,83,사건,5,중립
2026-09-10,문화일보,이슈,84,업체,5,중립
2026-09-10,문화일보,이슈,85,요구,5,중립
2026-09-10,문화일보,이슈,86,유가,5,중립
2026-09-10,문화일보,이슈,87,적용,5,중립
2026-09-10,문화일보,이슈,88,지수,5,중립
2026-09-10,문화일보,이슈,89,후보자,5,중립
2026-09-10,문화일보,이슈,90,주장,5,중립
2026-09-10,문화일보,이슈,91,구조,5,중립
2026-09-10,문화일보,이슈,92,현장,5,중립
2026-09-10,문화일보,이슈,93,징역,5,부정
2026-09-10,문화일보,이슈,94,선고,5,중립
2026-09-10,문화일보,이슈,95,특검,5,중립
2026-09-10,문화일보,이슈,96,조치,5,중립
2026-09-10,문화일보,이슈,97,지분,5,중립
2026-09-10,문화일보,이슈,98,추락,4,중립
2026-09-10,문화일보,이슈,99,상장,4,긍정
2026-09-10,문화일보,이슈,100,나스닥,4,중립
