날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-10,조선일보,경제,긍정,1,상승,19,16.81,13,113,#0d2b5c,#0d2b5c,Y
2026-09-10,조선일보,경제,긍정,2,투자,13,11.5,13,113,#1a3968,#1e3d6c,Y
2026-09-10,조선일보,경제,긍정,3,증가,10,8.85,13,113,#274674,#2f4f7d,Y
2026-09-10,조선일보,경제,긍정,4,고용,9,7.96,13,113,#345481,#41628d,Y
2026-09-10,조선일보,경제,긍정,5,확대,8,7.08,13,113,#41628d,#52749e,Y
2026-09-10,조선일보,경제,긍정,6,최고,8,7.08,13,113,#4d709a,#6387ae,Y
2026-09-10,조선일보,경제,긍정,7,지원,8,7.08,13,113,#5b7ea6,#7499bf,Y
2026-09-10,조선일보,경제,긍정,8,기대,7,6.19,13,113,#688bb2,#86accf,Y
2026-09-10,조선일보,경제,긍정,9,감사,7,6.19,13,113,#7499bf,#97bee0,Y
2026-09-10,조선일보,경제,긍정,10,최대,6,5.31,13,113,#82a7cb,#a8d0f0,Y
2026-09-10,조선일보,경제,긍정,11,취업,6,5.31,13,113,#8eb5d8,,N
2026-09-10,조선일보,경제,긍정,12,수주,6,5.31,13,113,#9bc2e4,,N
2026-09-10,조선일보,경제,긍정,13,혁신,6,5.31,13,113,#a8d0f0,,N
2026-09-10,조선일보,경제,부정,1,부담,12,52.17,3,23,#7a0a12,#7a0a12,Y
2026-09-10,조선일보,경제,부정,2,압수,6,26.09,3,23,#b6585c,#b6585c,Y
2026-09-10,조선일보,경제,부정,3,하락,5,21.74,3,23,#f2a6a6,#f2a6a6,Y
