날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-11,데일리안,정치,긍정,1,소통,21,43.75,3,48,#0d2b5c,#0d2b5c,Y
2026-09-11,데일리안,정치,긍정,2,성과,18,37.5,3,48,#5b7ea6,#5b7ea6,Y
2026-09-11,데일리안,정치,긍정,3,인정,9,18.75,3,48,#a8d0f0,#a8d0f0,Y
2026-09-11,데일리안,정치,부정,1,논란,34,18.28,11,186,#7a0a12,#7a0a12,Y
2026-09-11,데일리안,정치,부정,2,의혹,28,15.05,11,186,#861921,#871b22,Y
2026-09-11,데일리안,정치,부정,3,사퇴,25,13.44,11,186,#922930,#942c33,Y
2026-09-11,데일리안,정치,부정,4,갈등,16,8.6,11,186,#9e383e,#a23e43,Y
2026-09-11,데일리안,정치,부정,5,하락,16,8.6,11,186,#aa484d,#af4f54,Y
2026-09-11,데일리안,정치,부정,6,비판,15,8.06,11,186,#b6585c,#bd6164,Y
2026-09-11,데일리안,정치,부정,7,취소,13,6.99,11,186,#c2686b,#ca7275,Y
2026-09-11,데일리안,정치,부정,8,우려,11,5.91,11,186,#ce787a,#d88485,Y
2026-09-11,데일리안,정치,부정,9,철회,10,5.38,11,186,#da8788,#e59596,Y
2026-09-11,데일리안,정치,부정,10,조작,9,4.84,11,186,#e69797,#f2a6a6,Y
2026-09-11,데일리안,정치,부정,11,반대,9,4.84,11,186,#f2a6a6,,N
