날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-11,문화일보,세계,1,트럼프,52,중립
2026-09-11,문화일보,세계,2,미국,49,중립
2026-09-11,문화일보,세계,3,대통령,39,중립
2026-09-11,문화일보,세계,4,이란,27,중립
2026-09-11,문화일보,세계,5,선거,21,중립
2026-09-11,문화일보,세계,6,테러,17,부정
2026-09-11,문화일보,세계,7,전쟁,17,부정
2026-09-11,문화일보,세계,8,중간,15,중립
2026-09-11,문화일보,세계,9,현지,15,중립
2026-09-11,문화일보,세계,10,시간,15,중립
2026-09-11,문화일보,세계,11,국채,15,중립
2026-09-11,문화일보,세계,12,유가,14,중립
2026-09-11,문화일보,세계,13,아이,13,중립
2026-09-11,문화일보,세계,14,공화당,12,중립
2026-09-11,문화일보,세계,15,공격,12,중립
2026-09-11,문화일보,세계,16,금리,12,중립
2026-09-11,문화일보,세계,17,코인,10,중립
2026-09-11,문화일보,세계,18,안보,10,중립
2026-09-11,문화일보,세계,19,알카에다,10,중립
2026-09-11,문화일보,세계,20,일본,10,중립
2026-09-11,문화일보,세계,21,조직,10,중립
2026-09-11,문화일보,세계,22,선물,9,중립
2026-09-11,문화일보,세계,23,중국,9,중립
2026-09-11,문화일보,세계,24,도널드,9,중립
2026-09-11,문화일보,세계,25,해협,9,중립
2026-09-11,문화일보,세계,26,시장,9,중립
2026-09-11,문화일보,세계,27,위협,9,부정
2026-09-11,문화일보,세계,28,단원,9,중립
2026-09-11,문화일보,세계,29,합창단,8,중립
2026-09-11,문화일보,세계,30,지원,8,긍정
2026-09-11,문화일보,세계,31,호르무즈,8,중립
2026-09-11,문화일보,세계,32,에콰도르,8,중립
2026-09-11,문화일보,세계,33,에어 포스 원,8,중립
2026-09-11,문화일보,세계,34,상승,8,긍정
2026-09-11,문화일보,세계,35,중국인,7,중립
2026-09-11,문화일보,세계,36,출시,7,긍정
2026-09-11,문화일보,세계,37,마약,7,부정
2026-09-11,문화일보,세계,38,지역,7,중립
2026-09-11,문화일보,세계,39,지급,7,중립
2026-09-11,문화일보,세계,40,장관,7,중립
2026-09-11,문화일보,세계,41,생활,6,중립
2026-09-11,문화일보,세계,42,카타르,6,중립
2026-09-11,문화일보,세계,43,무이,6,중립
2026-09-11,문화일보,세계,44,방식,6,중립
2026-09-11,문화일보,세계,45,해당,6,중립
2026-09-11,문화일보,세계,46,크루스,6,중립
2026-09-11,문화일보,세계,47,전당,6,중립
2026-09-11,문화일보,세계,48,대회,6,중립
2026-09-11,문화일보,세계,49,시설,6,중립
2026-09-11,문화일보,세계,50,직후,6,중립
2026-09-11,문화일보,세계,51,주장,6,중립
2026-09-11,문화일보,세계,52,규모,6,중립
2026-09-11,문화일보,세계,53,선박,6,중립
2026-09-11,문화일보,세계,54,비트코인,5,중립
2026-09-11,문화일보,세계,55,간식,5,중립
2026-09-11,문화일보,세계,56,식사,5,중립
2026-09-11,문화일보,세계,57,카르텔,5,중립
2026-09-11,문화일보,세계,58,작동,5,중립
2026-09-11,문화일보,세계,59,생존자,5,중립
2026-09-11,문화일보,세계,60,국제,5,중립
2026-09-11,문화일보,세계,61,유조선,5,중립
2026-09-11,문화일보,세계,62,격화,5,중립
2026-09-11,문화일보,세계,63,급락,5,부정
2026-09-11,문화일보,세계,64,추가,5,중립
2026-09-11,문화일보,세계,65,사용,5,중립
2026-09-11,문화일보,세계,66,기준,5,중립
2026-09-11,문화일보,세계,67,인도,5,중립
2026-09-11,문화일보,세계,68,제기,5,중립
2026-09-11,문화일보,세계,69,연합뉴스,5,중립
2026-09-11,문화일보,세계,70,강화,5,긍정
2026-09-11,문화일보,세계,71,영향,5,중립
2026-09-11,문화일보,세계,72,수준,5,중립
2026-09-11,문화일보,세계,73,상징,5,중립
2026-09-11,문화일보,세계,74,루비오,5,중립
2026-09-11,문화일보,세계,75,뉴욕,5,중립
2026-09-11,문화일보,세계,76,배럴,5,중립
2026-09-11,문화일보,세계,77,최고,5,긍정
2026-09-11,문화일보,세계,78,용변,4,중립
2026-09-11,문화일보,세계,79,호화,4,중립
2026-09-11,문화일보,세계,80,과자,4,중립
2026-09-11,문화일보,세계,81,남미,4,중립
2026-09-11,문화일보,세계,82,직전,4,중립
2026-09-11,문화일보,세계,83,전용기,4,중립
2026-09-11,문화일보,세계,84,탈출,4,중립
2026-09-11,문화일보,세계,85,장치,4,중립
2026-09-11,문화일보,세계,86,지도자,4,중립
2026-09-11,문화일보,세계,87,위험,4,부정
2026-09-11,문화일보,세계,88,장중,4,중립
2026-09-11,문화일보,세계,89,충돌,4,부정
2026-09-11,문화일보,세계,90,화장실,4,중립
2026-09-11,문화일보,세계,91,확산,4,중립
2026-09-11,문화일보,세계,92,배당금,4,중립
2026-09-11,문화일보,세계,93,댈러스,4,중립
2026-09-11,문화일보,세계,94,아래,4,중립
2026-09-11,문화일보,세계,95,가능,4,중립
2026-09-11,문화일보,세계,96,움직임,4,중립
2026-09-11,문화일보,세계,97,필사,4,중립
2026-09-11,문화일보,세계,98,끼니,4,중립
2026-09-11,문화일보,세계,99,물가,4,중립
2026-09-11,문화일보,세계,100,영양,4,중립
