날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-11,아시아경제,IT과학,긍정,1,지원,13,21.31,7,61,#0d2b5c,#0d2b5c,Y
2026-09-11,아시아경제,IT과학,긍정,2,출시,12,19.67,7,61,#274674,#274674,Y
2026-09-11,아시아경제,IT과학,긍정,3,투자,8,13.11,7,61,#41628d,#41628d,Y
2026-09-11,아시아경제,IT과학,긍정,4,참여,7,11.48,7,61,#5b7ea6,#5b7ea6,Y
2026-09-11,아시아경제,IT과학,긍정,5,혜택,7,11.48,7,61,#7499bf,#7499bf,Y
2026-09-11,아시아경제,IT과학,긍정,6,최대,7,11.48,7,61,#8eb5d8,#8eb5d8,Y
2026-09-11,아시아경제,IT과학,긍정,7,성과,7,11.48,7,61,#a8d0f0,#a8d0f0,Y
2026-09-11,아시아경제,IT과학,부정,1,충돌,9,42.86,3,21,#7a0a12,#7a0a12,Y
2026-09-11,아시아경제,IT과학,부정,2,규제,6,28.57,3,21,#b6585c,#b6585c,Y
2026-09-11,아시아경제,IT과학,부정,3,부담,6,28.57,3,21,#f2a6a6,#f2a6a6,Y
