날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-11,종합,전체 카테고리,1,의원,772,중립
2026-09-11,종합,전체 카테고리,2,후보자,736,중립
2026-09-11,종합,전체 카테고리,3,미국,641,중립
2026-09-11,종합,전체 카테고리,4,대통령,500,중립
2026-09-11,종합,전체 카테고리,5,지역,478,중립
2026-09-11,종합,전체 카테고리,6,장관,444,중립
2026-09-11,종합,전체 카테고리,7,시장,436,중립
2026-09-11,종합,전체 카테고리,8,기업,429,중립
2026-09-11,종합,전체 카테고리,9,사업,416,중립
2026-09-11,종합,전체 카테고리,10,정부,396,중립
2026-09-11,종합,전체 카테고리,11,서울,389,중립
2026-09-11,종합,전체 카테고리,12,대표,386,중립
2026-09-11,종합,전체 카테고리,13,투자,374,긍정
2026-09-11,종합,전체 카테고리,14,트럼프,350,중립
2026-09-11,종합,전체 카테고리,15,가능,347,중립
2026-09-11,종합,전체 카테고리,16,국회,338,중립
2026-09-11,종합,전체 카테고리,17,한국,308,중립
2026-09-11,종합,전체 카테고리,18,민주당,272,중립
2026-09-11,종합,전체 카테고리,19,기술,258,중립
2026-09-11,종합,전체 카테고리,20,규모,248,중립
2026-09-11,종합,전체 카테고리,21,금리,243,중립
2026-09-11,종합,전체 카테고리,22,확대,240,긍정
2026-09-11,종합,전체 카테고리,23,산업,238,중립
2026-09-11,종합,전체 카테고리,24,의혹,234,부정
2026-09-11,종합,전체 카테고리,25,총리,213,중립
2026-09-11,종합,전체 카테고리,26,이란,212,중립
2026-09-11,종합,전체 카테고리,27,국민,210,중립
2026-09-11,종합,전체 카테고리,28,지원,209,긍정
2026-09-11,종합,전체 카테고리,29,선거,207,중립
2026-09-11,종합,전체 카테고리,30,회견,202,중립
2026-09-11,종합,전체 카테고리,31,시간,196,중립
2026-09-11,종합,전체 카테고리,32,질문,196,중립
2026-09-11,종합,전체 카테고리,33,데일리안,195,중립
2026-09-11,종합,전체 카테고리,34,현지,192,중립
2026-09-11,종합,전체 카테고리,35,반도체,191,중립
2026-09-11,종합,전체 카테고리,36,운영,189,중립
2026-09-11,종합,전체 카테고리,37,청문회,187,중립
2026-09-11,종합,전체 카테고리,38,가격,186,중립
2026-09-11,종합,전체 카테고리,39,지지,180,중립
2026-09-11,종합,전체 카테고리,40,상승,176,긍정
2026-09-11,종합,전체 카테고리,41,공개,176,중립
2026-09-11,종합,전체 카테고리,42,인사,175,중립
2026-09-11,종합,전체 카테고리,43,논란,174,부정
2026-09-11,종합,전체 카테고리,44,정치,163,중립
2026-09-11,종합,전체 카테고리,45,소속,163,중립
2026-09-11,종합,전체 카테고리,46,주장,162,중립
2026-09-11,종합,전체 카테고리,47,활용,157,중립
2026-09-11,종합,전체 카테고리,48,확인,157,중립
2026-09-11,종합,전체 카테고리,49,수사,154,부정
2026-09-11,종합,전체 카테고리,50,대구,153,중립
2026-09-11,종합,전체 카테고리,51,자신,150,중립
2026-09-11,종합,전체 카테고리,52,생산,148,중립
2026-09-11,종합,전체 카테고리,53,국내,147,중립
2026-09-11,종합,전체 카테고리,54,정책,146,중립
2026-09-11,종합,전체 카테고리,55,조사,145,중립
2026-09-11,종합,전체 카테고리,56,중국,143,중립
2026-09-11,종합,전체 카테고리,57,공급,141,중립
2026-09-11,종합,전체 카테고리,58,연합뉴스,141,중립
2026-09-11,종합,전체 카테고리,59,유가,135,중립
2026-09-11,종합,전체 카테고리,60,과정,134,중립
2026-09-11,종합,전체 카테고리,61,기준,132,중립
2026-09-11,종합,전체 카테고리,62,교수,132,중립
2026-09-11,종합,전체 카테고리,63,제품,131,중립
2026-09-11,종합,전체 카테고리,64,법무부,131,중립
2026-09-11,종합,전체 카테고리,65,개발,130,중립
