날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-12,데일리안,IT과학,긍정,1,지원,39,16.18,13,241,#0d2b5c,#0d2b5c,Y
2026-09-12,데일리안,IT과학,긍정,2,최대,32,13.28,13,241,#1a3968,#1e3d6c,Y
2026-09-12,데일리안,IT과학,긍정,3,선정,30,12.45,13,241,#274674,#2f4f7d,Y
2026-09-12,데일리안,IT과학,긍정,4,혜택,25,10.37,13,241,#345481,#41628d,Y
2026-09-12,데일리안,IT과학,긍정,5,출시,23,9.54,13,241,#41628d,#52749e,Y
2026-09-12,데일리안,IT과학,긍정,6,참여,17,7.05,13,241,#4d709a,#6387ae,Y
2026-09-12,데일리안,IT과학,긍정,7,개통,15,6.22,13,241,#5b7ea6,#7499bf,Y
2026-09-12,데일리안,IT과학,긍정,8,성과,12,4.98,13,241,#688bb2,#86accf,Y
2026-09-12,데일리안,IT과학,긍정,9,개선,11,4.56,13,241,#7499bf,#97bee0,Y
2026-09-12,데일리안,IT과학,긍정,10,확대,10,4.15,13,241,#82a7cb,#a8d0f0,Y
2026-09-12,데일리안,IT과학,긍정,11,상생,9,3.73,13,241,#8eb5d8,,N
2026-09-12,데일리안,IT과학,긍정,12,협력,9,3.73,13,241,#9bc2e4,,N
2026-09-12,데일리안,IT과학,긍정,13,고용,9,3.73,13,241,#a8d0f0,,N
