날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-12,문화일보,IT과학,긍정,1,지원,16,13.68,11,117,#0d2b5c,#0d2b5c,Y
2026-09-12,문화일보,IT과학,긍정,2,선정,15,12.82,11,117,#1c3b6b,#1e3d6c,Y
2026-09-12,문화일보,IT과학,긍정,3,혁신,12,10.26,11,117,#2c4c7a,#2f4f7d,Y
2026-09-12,문화일보,IT과학,긍정,4,확대,12,10.26,11,117,#3b5c88,#41628d,Y
2026-09-12,문화일보,IT과학,긍정,5,성장,12,10.26,11,117,#4b6d97,#52749e,Y
2026-09-12,문화일보,IT과학,긍정,6,출시,11,9.4,11,117,#5b7ea6,#6387ae,Y
2026-09-12,문화일보,IT과학,긍정,7,최대,10,8.55,11,117,#6a8eb5,#7499bf,Y
2026-09-12,문화일보,IT과학,긍정,8,신뢰,10,8.55,11,117,#7a9fc4,#86accf,Y
2026-09-12,문화일보,IT과학,긍정,9,강화,7,5.98,11,117,#89afd2,#97bee0,Y
2026-09-12,문화일보,IT과학,긍정,10,성과,6,5.13,11,117,#99c0e1,#a8d0f0,Y
2026-09-12,문화일보,IT과학,긍정,11,고용,6,5.13,11,117,#a8d0f0,,N
2026-09-12,문화일보,IT과학,부정,1,위기,10,100.0,1,10,#7a0a12,#7a0a12,Y
