날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-12,문화일보,경제,긍정,1,투자,21,20.39,10,103,#0d2b5c,#0d2b5c,Y
2026-09-12,문화일보,경제,긍정,2,확대,14,13.59,10,103,#1e3d6c,#1e3d6c,Y
2026-09-12,문화일보,경제,긍정,3,상장,14,13.59,10,103,#2f4f7d,#2f4f7d,Y
2026-09-12,문화일보,경제,긍정,4,강화,10,9.71,10,103,#41628d,#41628d,Y
2026-09-12,문화일보,경제,긍정,5,계약,9,8.74,10,103,#52749e,#52749e,Y
2026-09-12,문화일보,경제,긍정,6,증가,9,8.74,10,103,#6387ae,#6387ae,Y
2026-09-12,문화일보,경제,긍정,7,상승,8,7.77,10,103,#7499bf,#7499bf,Y
2026-09-12,문화일보,경제,긍정,8,협력,6,5.83,10,103,#86accf,#86accf,Y
2026-09-12,문화일보,경제,긍정,9,성과,6,5.83,10,103,#97bee0,#97bee0,Y
2026-09-12,문화일보,경제,긍정,10,안정,6,5.83,10,103,#a8d0f0,#a8d0f0,Y
2026-09-12,문화일보,경제,부정,1,전쟁,7,53.85,2,13,#7a0a12,#7a0a12,Y
2026-09-12,문화일보,경제,부정,2,위험,6,46.15,2,13,#f2a6a6,#f2a6a6,Y
