날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-12,조선일보,문화,1,작품,30,중립
2026-09-12,조선일보,문화,2,작가,29,중립
2026-09-12,조선일보,문화,3,기후,28,중립
2026-09-12,조선일보,문화,4,웹툰,26,중립
2026-09-12,조선일보,문화,5,저자,24,중립
2026-09-12,조선일보,문화,6,영화,23,중립
2026-09-12,조선일보,문화,7,소설,23,중립
2026-09-12,조선일보,문화,8,한국,20,중립
2026-09-12,조선일보,문화,9,인턴,19,중립
2026-09-12,조선일보,문화,10,원작,18,중립
2026-09-12,조선일보,문화,11,세계,14,중립
2026-09-12,조선일보,문화,12,지구,13,중립
2026-09-12,조선일보,문화,13,전쟁,12,부정
2026-09-12,조선일보,문화,14,변화,12,중립
2026-09-12,조선일보,문화,15,봉태규,11,중립
2026-09-12,조선일보,문화,16,독일,11,중립
2026-09-12,조선일보,문화,17,인기,10,긍정
2026-09-12,조선일보,문화,18,스튜디오,10,중립
2026-09-12,조선일보,문화,19,기록,10,중립
2026-09-12,조선일보,문화,20,과학,10,중립
2026-09-12,조선일보,문화,21,만화,10,중립
2026-09-12,조선일보,문화,22,유지,10,중립
2026-09-12,조선일보,문화,23,히틀러,9,중립
2026-09-12,조선일보,문화,24,역사,9,중립
2026-09-12,조선일보,문화,25,사회,9,중립
2026-09-12,조선일보,문화,26,주인공,9,중립
2026-09-12,조선일보,문화,27,국민,8,중립
2026-09-12,조선일보,문화,28,대표,8,중립
2026-09-12,조선일보,문화,29,네이버 웹툰,8,중립
2026-09-12,조선일보,문화,30,연구,8,중립
2026-09-12,조선일보,문화,31,미국,8,중립
2026-09-12,조선일보,문화,32,교수,8,중립
2026-09-12,조선일보,문화,33,가능,8,중립
2026-09-12,조선일보,문화,34,시스템,7,중립
2026-09-12,조선일보,문화,35,드라마,7,중립
2026-09-12,조선일보,문화,36,에세이,7,중립
2026-09-12,조선일보,문화,37,국내,7,중립
2026-09-12,조선일보,문화,38,독자,7,중립
2026-09-12,조선일보,문화,39,일본,7,중립
2026-09-12,조선일보,문화,40,아버지,7,중립
2026-09-12,조선일보,문화,41,분석,7,중립
2026-09-12,조선일보,문화,42,다양,7,중립
2026-09-12,조선일보,문화,43,배우,6,중립
2026-09-12,조선일보,문화,44,언덕,6,중립
2026-09-12,조선일보,문화,45,현대,6,중립
2026-09-12,조선일보,문화,46,기호,6,중립
2026-09-12,조선일보,문화,47,마음,6,중립
2026-09-12,조선일보,문화,48,연재,6,중립
2026-09-12,조선일보,문화,49,풍요,6,중립
2026-09-12,조선일보,문화,50,세기,6,중립
2026-09-12,조선일보,문화,51,독일인,6,중립
2026-09-12,조선일보,문화,52,스타,5,중립
2026-09-12,조선일보,문화,53,콘텐츠,5,중립
2026-09-12,조선일보,문화,54,재산,5,중립
2026-09-12,조선일보,문화,55,편집자,5,중립
2026-09-12,조선일보,문화,56,근대,5,중립
2026-09-12,조선일보,문화,57,최민식,5,중립
2026-09-12,조선일보,문화,58,한국판,5,중립
2026-09-12,조선일보,문화,59,만남,5,중립
2026-09-12,조선일보,문화,60,전체,5,중립
2026-09-12,조선일보,문화,61,자신,5,중립
2026-09-12,조선일보,문화,62,질문,5,중립
2026-09-12,조선일보,문화,63,스토리,5,중립
2026-09-12,조선일보,문화,64,캐릭터,5,중립
2026-09-12,조선일보,문화,65,산업,5,중립
2026-09-12,조선일보,문화,66,제작,5,중립
2026-09-12,조선일보,문화,67,부장,5,중립
2026-09-12,조선일보,문화,68,애니메이션,5,중립
2026-09-12,조선일보,문화,69,국가,5,중립
2026-09-12,조선일보,문화,70,경제,5,중립
2026-09-12,조선일보,문화,71,자유,5,중립
2026-09-12,조선일보,문화,72,출구,5,중립
2026-09-12,조선일보,문화,73,인간,5,중립
2026-09-12,조선일보,문화,74,순간,5,중립
2026-09-12,조선일보,문화,75,사랑,5,중립
2026-09-12,조선일보,문화,76,추리,5,중립
2026-09-12,조선일보,문화,77,위기,5,부정
2026-09-12,조선일보,문화,78,한미,5,중립
2026-09-12,조선일보,문화,79,어린이,4,중립
2026-09-12,조선일보,문화,80,유대인,4,중립
2026-09-12,조선일보,문화,81,약탈,4,중립
2026-09-12,조선일보,문화,82,에세이집,4,중립
2026-09-12,조선일보,문화,83,폭풍,4,중립
2026-09-12,조선일보,문화,84,김애란,4,중립
2026-09-12,조선일보,문화,85,불운,4,중립
2026-09-12,조선일보,문화,86,유사,4,중립
2026-09-12,조선일보,문화,87,워너브러더스,4,중립
2026-09-12,조선일보,문화,88,코리아,4,중립
2026-09-12,조선일보,문화,89,세대,4,중립
2026-09-12,조선일보,문화,90,선우,4,중립
2026-09-12,조선일보,문화,91,매출,4,중립
2026-09-12,조선일보,문화,92,시간,4,중립
2026-09-12,조선일보,문화,93,생활,4,중립
2026-09-12,조선일보,문화,94,아이,4,중립
2026-09-12,조선일보,문화,95,이야기,4,중립
2026-09-12,조선일보,문화,96,배경,4,중립
2026-09-12,조선일보,문화,97,이름,4,중립
2026-09-12,조선일보,문화,98,중요,4,중립
2026-09-12,조선일보,문화,99,참교육,4,중립
2026-09-12,조선일보,문화,100,영어,4,중립
