날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-14,데일리안,경제,1,거래,50,중립
2026-09-14,데일리안,경제,2,시장,44,중립
2026-09-14,데일리안,경제,3,대출,43,중립
2026-09-14,데일리안,경제,4,가격,36,중립
2026-09-14,데일리안,경제,5,금융,35,중립
2026-09-14,데일리안,경제,6,매장,34,중립
2026-09-14,데일리안,경제,7,임대,33,중립
2026-09-14,데일리안,경제,8,상품,32,중립
2026-09-14,데일리안,경제,9,오피스텔,28,중립
2026-09-14,데일리안,경제,10,주택,28,중립
2026-09-14,데일리안,경제,11,규제,27,부정
2026-09-14,데일리안,경제,12,부산,26,중립
2026-09-14,데일리안,경제,13,올리브,26,중립
2026-09-14,데일리안,경제,14,아파트,25,중립
2026-09-14,데일리안,경제,15,데일리안,25,중립
2026-09-14,데일리안,경제,16,마켓,24,중립
2026-09-14,데일리안,경제,17,외국인,23,중립
2026-09-14,데일리안,경제,18,정부,23,중립
2026-09-14,데일리안,경제,19,서울,23,중립
2026-09-14,데일리안,경제,20,상승,23,긍정
2026-09-14,데일리안,경제,21,정책,23,중립
2026-09-14,데일리안,경제,22,신청,22,중립
2026-09-14,데일리안,경제,23,가능,21,중립
2026-09-14,데일리안,경제,24,관광객,21,중립
2026-09-14,데일리안,경제,25,지역,20,중립
2026-09-14,데일리안,경제,26,코스닥,20,중립
2026-09-14,데일리안,경제,27,수도,18,중립
2026-09-14,데일리안,경제,28,고객,18,중립
2026-09-14,데일리안,경제,29,시간,18,중립
2026-09-14,데일리안,경제,30,부담,18,부정
2026-09-14,데일리안,경제,31,은행,18,중립
2026-09-14,데일리안,경제,32,정규,18,중립
2026-09-14,데일리안,경제,33,애프터,17,중립
2026-09-14,데일리안,경제,34,규모,17,중립
2026-09-14,데일리안,경제,35,점포,17,중립
2026-09-14,데일리안,경제,36,증가,16,긍정
2026-09-14,데일리안,경제,37,기존,16,중립
2026-09-14,데일리안,경제,38,매매,16,중립
2026-09-14,데일리안,경제,39,종목,16,중립
2026-09-14,데일리안,경제,40,매각,16,중립
2026-09-14,데일리안,경제,41,홈플러스,15,중립
2026-09-14,데일리안,경제,42,상권,15,중립
2026-09-14,데일리안,경제,43,대형,15,중립
2026-09-14,데일리안,경제,44,확대,15,긍정
2026-09-14,데일리안,경제,45,제한,15,부정
2026-09-14,데일리안,경제,46,등록,14,중립
2026-09-14,데일리안,경제,47,공간,14,중립
2026-09-14,데일리안,경제,48,주거,14,중립
2026-09-14,데일리안,경제,49,주식,13,중립
2026-09-14,데일리안,경제,50,기업,13,중립
2026-09-14,데일리안,경제,51,뷰티,13,중립
2026-09-14,데일리안,경제,52,대비,13,중립
2026-09-14,데일리안,경제,53,운영,13,중립
2026-09-14,데일리안,경제,54,추가,13,중립
2026-09-14,데일리안,경제,55,투자자,13,중립
2026-09-14,데일리안,경제,56,후보자,13,중립
2026-09-14,데일리안,경제,57,사업,13,중립
2026-09-14,데일리안,경제,58,의무,13,중립
2026-09-14,데일리안,경제,59,임차인,13,중립
2026-09-14,데일리안,경제,60,한국거래소,12,중립
2026-09-14,데일리안,경제,61,타운,12,중립
2026-09-14,데일리안,경제,62,수요,12,중립
2026-09-14,데일리안,경제,63,대표,12,중립
2026-09-14,데일리안,경제,64,추진,12,중립
2026-09-14,데일리안,경제,65,완화,12,긍정
2026-09-14,데일리안,경제,66,변동,12,중립
2026-09-14,데일리안,경제,67,장관,12,중립
2026-09-14,데일리안,경제,68,가계,11,중립
2026-09-14,데일리안,경제,69,부동산,11,중립
2026-09-14,데일리안,경제,70,총량,11,중립
2026-09-14,데일리안,경제,71,남포,11,중립
2026-09-14,데일리안,경제,72,지난달,11,중립
2026-09-14,데일리안,경제,73,제품,11,중립
2026-09-14,데일리안,경제,74,적용,11,중립
2026-09-14,데일리안,경제,75,방식,11,중립
2026-09-14,데일리안,경제,76,회복,11,긍정
2026-09-14,데일리안,경제,77,제도,11,중립
2026-09-14,데일리안,경제,78,회생,11,중립
2026-09-14,데일리안,경제,79,특례,11,중립
2026-09-14,데일리안,경제,80,현지,11,중립
2026-09-14,데일리안,경제,81,마트,10,중립
2026-09-14,데일리안,경제,82,기간,10,중립
2026-09-14,데일리안,경제,83,대상,10,중립
2026-09-14,데일리안,경제,84,전체,10,중립
2026-09-14,데일리안,경제,85,상담,10,중립
2026-09-14,데일리안,경제,86,지수,10,중립
2026-09-14,데일리안,경제,87,기준,10,중립
2026-09-14,데일리안,경제,88,공급,10,중립
2026-09-14,데일리안,경제,89,임대료,10,중립
2026-09-14,데일리안,경제,90,당국,10,중립
2026-09-14,데일리안,경제,91,국민,10,중립
2026-09-14,데일리안,경제,92,매수,10,중립
2026-09-14,데일리안,경제,93,상장,10,긍정
2026-09-14,데일리안,경제,94,자산,10,중립
2026-09-14,데일리안,경제,95,주문,10,중립
2026-09-14,데일리안,경제,96,영업,10,중립
2026-09-14,데일리안,경제,97,푸드,9,중립
2026-09-14,데일리안,경제,98,제청,9,중립
2026-09-14,데일리안,경제,99,관광,9,중립
2026-09-14,데일리안,경제,100,반영,9,중립
