날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-14,매일신문,주요뉴스,부정,1,사퇴,28,17.72,10,158,#7a0a12,#7a0a12,Y
2026-09-14,매일신문,주요뉴스,부정,2,하락,23,14.56,10,158,#871b22,#871b22,Y
2026-09-14,매일신문,주요뉴스,부정,3,의혹,20,12.66,10,158,#942c33,#942c33,Y
2026-09-14,매일신문,주요뉴스,부정,4,논란,20,12.66,10,158,#a23e43,#a23e43,Y
2026-09-14,매일신문,주요뉴스,부정,5,혐의,15,9.49,10,158,#af4f54,#af4f54,Y
2026-09-14,매일신문,주요뉴스,부정,6,비판,14,8.86,10,158,#bd6164,#bd6164,Y
2026-09-14,매일신문,주요뉴스,부정,7,취소,11,6.96,10,158,#ca7275,#ca7275,Y
2026-09-14,매일신문,주요뉴스,부정,8,조작,10,6.33,10,158,#d88485,#d88485,Y
2026-09-14,매일신문,주요뉴스,부정,9,실패,9,5.7,10,158,#e59596,#e59596,Y
2026-09-14,매일신문,주요뉴스,부정,10,흉기,8,5.06,10,158,#f2a6a6,#f2a6a6,Y
