날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-14,문화일보,사회,긍정,1,참여,29,21.17,10,137,#0d2b5c,#0d2b5c,Y
2026-09-14,문화일보,사회,긍정,2,안전,20,14.6,10,137,#1e3d6c,#1e3d6c,Y
2026-09-14,문화일보,사회,긍정,3,지원,14,10.22,10,137,#2f4f7d,#2f4f7d,Y
2026-09-14,문화일보,사회,긍정,4,강화,13,9.49,10,137,#41628d,#41628d,Y
2026-09-14,문화일보,사회,긍정,5,봉사,13,9.49,10,137,#52749e,#52749e,Y
2026-09-14,문화일보,사회,긍정,6,개최,11,8.03,10,137,#6387ae,#6387ae,Y
2026-09-14,문화일보,사회,긍정,7,성장,11,8.03,10,137,#7499bf,#7499bf,Y
2026-09-14,문화일보,사회,긍정,8,소통,9,6.57,10,137,#86accf,#86accf,Y
2026-09-14,문화일보,사회,긍정,9,취업,9,6.57,10,137,#97bee0,#97bee0,Y
2026-09-14,문화일보,사회,긍정,10,개선,8,5.84,10,137,#a8d0f0,#a8d0f0,Y
