날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-14,문화일보,세계,긍정,1,수상,10,37.04,4,27,#0d2b5c,#0d2b5c,Y
2026-09-14,문화일보,세계,긍정,2,투자,6,22.22,4,27,#41628d,#41628d,Y
2026-09-14,문화일보,세계,긍정,3,최대,6,22.22,4,27,#7499bf,#7499bf,Y
2026-09-14,문화일보,세계,긍정,4,채용,5,18.52,4,27,#a8d0f0,#a8d0f0,Y
2026-09-14,문화일보,세계,부정,1,테러,17,27.42,8,62,#7a0a12,#7a0a12,Y
2026-09-14,문화일보,세계,부정,2,취소,11,17.74,8,62,#8b2027,#8b2027,Y
2026-09-14,문화일보,세계,부정,3,전쟁,7,11.29,8,62,#9c373c,#9c373c,Y
2026-09-14,문화일보,세계,부정,4,사고,7,11.29,8,62,#ad4d51,#ad4d51,Y
2026-09-14,문화일보,세계,부정,5,위험,5,8.06,8,62,#bf6367,#bf6367,Y
2026-09-14,문화일보,세계,부정,6,하락,5,8.06,8,62,#d0797c,#d0797c,Y
2026-09-14,문화일보,세계,부정,7,표류,5,8.06,8,62,#e19091,#e19091,Y
2026-09-14,문화일보,세계,부정,8,소송,5,8.06,8,62,#f2a6a6,#f2a6a6,Y
