날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-15,문화일보,정치,1,의원,68,중립
2026-09-15,문화일보,정치,2,후보자,54,중립
2026-09-15,문화일보,정치,3,대통령,40,중립
2026-09-15,문화일보,정치,4,대표,35,중립
2026-09-15,문화일보,정치,5,국민,28,중립
2026-09-15,문화일보,정치,6,장관,27,중립
2026-09-15,문화일보,정치,7,한동훈,22,중립
2026-09-15,문화일보,정치,8,의혹,22,부정
2026-09-15,문화일보,정치,9,국회,19,중립
2026-09-15,문화일보,정치,10,청문회,18,중립
2026-09-15,문화일보,정치,11,제도,18,중립
2026-09-15,문화일보,정치,12,병역,17,중립
2026-09-15,문화일보,정치,13,운영,15,중립
2026-09-15,문화일보,정치,14,개혁,14,중립
2026-09-15,문화일보,정치,15,제청,13,중립
2026-09-15,문화일보,정치,16,비판,13,부정
2026-09-15,문화일보,정치,17,수사,12,부정
2026-09-15,문화일보,정치,18,감면,12,중립
2026-09-15,문화일보,정치,19,이재명,12,중립
2026-09-15,문화일보,정치,20,자신,12,중립
2026-09-15,문화일보,정치,21,요구,12,중립
2026-09-15,문화일보,정치,22,후보,12,중립
2026-09-15,문화일보,정치,23,소속,11,중립
2026-09-15,문화일보,정치,24,법무부,11,중립
2026-09-15,문화일보,정치,25,주장,11,중립
2026-09-15,문화일보,정치,26,민주당,11,중립
2026-09-15,문화일보,정치,27,정치,11,중립
2026-09-15,문화일보,정치,28,인사,11,중립
2026-09-15,문화일보,정치,29,검찰,11,중립
2026-09-15,문화일보,정치,30,국방,11,중립
2026-09-15,문화일보,정치,31,정책,10,중립
2026-09-15,문화일보,정치,32,대법원장,10,중립
2026-09-15,문화일보,정치,33,법관,9,중립
2026-09-15,문화일보,정치,34,청탁,9,부정
2026-09-15,문화일보,정치,35,질문,9,중립
2026-09-15,문화일보,정치,36,연합뉴스,9,중립
2026-09-15,문화일보,정치,37,서울,9,중립
2026-09-15,문화일보,정치,38,논란,9,부정
2026-09-15,문화일보,정치,39,승인,9,중립
2026-09-15,문화일보,정치,40,로비,9,중립
2026-09-15,문화일보,정치,41,해당,9,중립
2026-09-15,문화일보,정치,42,더불어민주당,9,중립
2026-09-15,문화일보,정치,43,브로커,8,중립
2026-09-15,문화일보,정치,44,임명,8,중립
2026-09-15,문화일보,정치,45,회계,8,중립
2026-09-15,문화일보,정치,46,보고서,8,중립
2026-09-15,문화일보,정치,47,기소,8,부정
2026-09-15,문화일보,정치,48,범죄,8,부정
2026-09-15,문화일보,정치,49,검토,8,중립
2026-09-15,문화일보,정치,50,장동,8,중립
2026-09-15,문화일보,정치,51,지지,8,중립
2026-09-15,문화일보,정치,52,시험,8,중립
2026-09-15,문화일보,정치,53,제기,8,중립
2026-09-15,문화일보,정치,54,판사,8,중립
2026-09-15,문화일보,정치,55,형사,8,중립
2026-09-15,문화일보,정치,56,후원회,7,중립
2026-09-15,문화일보,정치,57,임상,7,중립
2026-09-15,문화일보,정치,58,사법,7,중립
2026-09-15,문화일보,정치,59,사건,7,중립
2026-09-15,문화일보,정치,60,회견,7,중립
2026-09-15,문화일보,정치,61,업소,7,중립
2026-09-15,문화일보,정치,62,식약처,7,중립
2026-09-15,문화일보,정치,63,정당,7,중립
2026-09-15,문화일보,정치,64,신뢰,7,긍정
2026-09-15,문화일보,정치,65,연합,7,중립
2026-09-15,문화일보,정치,66,룸살롱,6,중립
2026-09-15,문화일보,정치,67,분리,6,중립
2026-09-15,문화일보,정치,68,대응,6,중립
2026-09-15,문화일보,정치,69,병무청,6,중립
2026-09-15,문화일보,정치,70,육사,6,중립
2026-09-15,문화일보,정치,71,직원,6,중립
2026-09-15,문화일보,정치,72,윤석열,6,중립
2026-09-15,문화일보,정치,73,페이스북,6,중립
2026-09-15,문화일보,정치,74,협의,6,중립
2026-09-15,문화일보,정치,75,헌법,6,중립
2026-09-15,문화일보,정치,76,입장,6,중립
2026-09-15,문화일보,정치,77,답변,6,중립
2026-09-15,문화일보,정치,78,국민의힘,6,중립
2026-09-15,문화일보,정치,79,제출,6,중립
2026-09-15,문화일보,정치,80,요청,6,중립
2026-09-15,문화일보,정치,81,자료,6,중립
2026-09-15,문화일보,정치,82,선관위,6,중립
2026-09-15,문화일보,정치,83,보호,6,중립
2026-09-15,문화일보,정치,84,사회,6,중립
2026-09-15,문화일보,정치,85,책임,6,중립
2026-09-15,문화일보,정치,86,피해자,6,중립
2026-09-15,문화일보,정치,87,방안,6,중립
2026-09-15,문화일보,정치,88,추진,6,중립
2026-09-15,문화일보,정치,89,조사,6,중립
2026-09-15,문화일보,정치,90,평가,6,중립
2026-09-15,문화일보,정치,91,토론회,6,중립
2026-09-15,문화일보,정치,92,체계,6,중립
2026-09-15,문화일보,정치,93,출신,6,중립
2026-09-15,문화일보,정치,94,존중,5,중립
2026-09-15,문화일보,정치,95,해산,5,중립
2026-09-15,문화일보,정치,96,고아,5,중립
2026-09-15,문화일보,정치,97,사관학교,5,중립
2026-09-15,문화일보,정치,98,유튜브,5,중립
2026-09-15,문화일보,정치,99,오빠,5,중립
2026-09-15,문화일보,정치,100,관계,5,중립
