날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-17,매일신문,경제,1,청약,42,중립
2026-09-17,매일신문,경제,2,산업,33,중립
2026-09-17,매일신문,경제,3,금리,32,중립
2026-09-17,매일신문,경제,4,인상,30,중립
2026-09-17,매일신문,경제,5,시장,30,중립
2026-09-17,매일신문,경제,6,지역,29,중립
2026-09-17,매일신문,경제,7,가구,24,중립
2026-09-17,매일신문,경제,8,금융,24,중립
2026-09-17,매일신문,경제,9,기업,22,중립
2026-09-17,매일신문,경제,10,사업,22,중립
2026-09-17,매일신문,경제,11,연준,21,중립
2026-09-17,매일신문,경제,12,규제,21,부정
2026-09-17,매일신문,경제,13,저축,21,중립
2026-09-17,매일신문,경제,14,주택,21,중립
2026-09-17,매일신문,경제,15,개발,20,중립
2026-09-17,매일신문,경제,16,정부,20,중립
2026-09-17,매일신문,경제,17,결정,19,중립
2026-09-17,매일신문,경제,18,기준,18,중립
2026-09-17,매일신문,경제,19,기존,18,중립
2026-09-17,매일신문,경제,20,백신,17,중립
2026-09-17,매일신문,경제,21,통장,17,중립
2026-09-17,매일신문,경제,22,전환,17,중립
2026-09-17,매일신문,경제,23,광역,15,중립
2026-09-17,매일신문,경제,24,정책,15,중립
2026-09-17,매일신문,경제,25,대구,15,중립
2026-09-17,매일신문,경제,26,착공,15,중립
2026-09-17,매일신문,경제,27,거래,15,중립
2026-09-17,매일신문,경제,28,반도체,15,중립
2026-09-17,매일신문,경제,29,특례,15,중립
2026-09-17,매일신문,경제,30,물량,15,중립
2026-09-17,매일신문,경제,31,운용,14,중립
2026-09-17,매일신문,경제,32,정보,14,중립
2026-09-17,매일신문,경제,33,현장,14,중립
2026-09-17,매일신문,경제,34,적용,14,중립
2026-09-17,매일신문,경제,35,강화,13,긍정
2026-09-17,매일신문,경제,36,조사,13,중립
2026-09-17,매일신문,경제,37,연구,13,중립
2026-09-17,매일신문,경제,38,기관,13,중립
2026-09-17,매일신문,경제,39,품종,13,중립
2026-09-17,매일신문,경제,40,신청,12,중립
2026-09-17,매일신문,경제,41,경북,12,중립
2026-09-17,매일신문,경제,42,본부,12,중립
2026-09-17,매일신문,경제,43,대응,12,중립
2026-09-17,매일신문,경제,44,교통,12,중립
2026-09-17,매일신문,경제,45,회의,12,중립
2026-09-17,매일신문,경제,46,물가,12,중립
2026-09-17,매일신문,경제,47,대상,12,중립
2026-09-17,매일신문,경제,48,노동,12,중립
2026-09-17,매일신문,경제,49,전통,12,중립
2026-09-17,매일신문,경제,50,확대,11,긍정
2026-09-17,매일신문,경제,51,항공,11,중립
2026-09-17,매일신문,경제,52,경험,11,중립
2026-09-17,매일신문,경제,53,참여,11,긍정
2026-09-17,매일신문,경제,54,구축,11,중립
2026-09-17,매일신문,경제,55,상승,11,긍정
2026-09-17,매일신문,경제,56,공급,11,중립
2026-09-17,매일신문,경제,57,완화,11,긍정
2026-09-17,매일신문,경제,58,약정,11,중립
2026-09-17,매일신문,경제,59,식품,10,중립
2026-09-17,매일신문,경제,60,공항,10,중립
2026-09-17,매일신문,경제,61,포스코,10,중립
2026-09-17,매일신문,경제,62,소비자,10,중립
2026-09-17,매일신문,경제,63,체계,10,중립
2026-09-17,매일신문,경제,64,특정,10,중립
2026-09-17,매일신문,경제,65,가능,10,중립
2026-09-17,매일신문,경제,66,미래,10,중립
2026-09-17,매일신문,경제,67,국토,10,중립
2026-09-17,매일신문,경제,68,논의,10,중립
2026-09-17,매일신문,경제,69,미국,10,중립
2026-09-17,매일신문,경제,70,수준,10,중립
2026-09-17,매일신문,경제,71,결제,10,중립
2026-09-17,매일신문,경제,72,예금,10,중립
2026-09-17,매일신문,경제,73,특구,10,중립
2026-09-17,매일신문,경제,74,전략,9,중립
2026-09-17,매일신문,경제,75,외환,9,중립
2026-09-17,매일신문,경제,76,액티브,9,중립
2026-09-17,매일신문,경제,77,현황,9,중립
2026-09-17,매일신문,경제,78,분석,9,중립
2026-09-17,매일신문,경제,79,방향,9,중립
2026-09-17,매일신문,경제,80,서울,9,중립
2026-09-17,매일신문,경제,81,대비,9,중립
2026-09-17,매일신문,경제,82,부금,9,중립
2026-09-17,매일신문,경제,83,투자,9,긍정
2026-09-17,매일신문,경제,84,근로,9,중립
2026-09-17,매일신문,경제,85,종목,9,중립
2026-09-17,매일신문,경제,86,보안,9,중립
2026-09-17,매일신문,경제,87,국제,8,중립
2026-09-17,매일신문,경제,88,심포지엄,8,중립
2026-09-17,매일신문,경제,89,메가특구,8,중립
2026-09-17,매일신문,경제,90,예외,8,중립
2026-09-17,매일신문,경제,91,균형,8,중립
2026-09-17,매일신문,경제,92,운영,8,중립
2026-09-17,매일신문,경제,93,매입,8,중립
2026-09-17,매일신문,경제,94,피해,8,부정
2026-09-17,매일신문,경제,95,추진,8,중립
2026-09-17,매일신문,경제,96,국내,8,중립
2026-09-17,매일신문,경제,97,추가,8,중립
2026-09-17,매일신문,경제,98,전문가,8,중립
2026-09-17,매일신문,경제,99,교통부,8,중립
2026-09-17,매일신문,경제,100,도시,8,중립
