날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-17,조선일보,정치,1,후보자,106,중립
2026-09-17,조선일보,정치,2,의원,102,중립
2026-09-17,조선일보,정치,3,대통령,59,중립
2026-09-17,조선일보,정치,4,국민,40,중립
2026-09-17,조선일보,정치,5,시추,38,중립
2026-09-17,조선일보,정치,6,장관,30,중립
2026-09-17,조선일보,정치,7,위원장,30,중립
2026-09-17,조선일보,정치,8,정상,29,중립
2026-09-17,조선일보,정치,9,민주당,26,중립
2026-09-17,조선일보,정치,10,개혁,24,중립
2026-09-17,조선일보,정치,11,국회,24,중립
2026-09-17,조선일보,정치,12,인사,24,중립
2026-09-17,조선일보,정치,13,법안,24,중립
2026-09-17,조선일보,정치,14,청문회,23,중립
2026-09-17,조선일보,정치,15,협력,23,긍정
2026-09-17,조선일보,정치,16,평가,23,중립
2026-09-17,조선일보,정치,17,중앙아시아,22,중립
2026-09-17,조선일보,정치,18,임명,22,중립
2026-09-17,조선일보,정치,19,업체,22,중립
2026-09-17,조선일보,정치,20,석유공사,21,중립
2026-09-17,조선일보,정치,21,대표,19,중립
2026-09-17,조선일보,정치,22,북한,19,중립
2026-09-17,조선일보,정치,23,검찰,18,중립
2026-09-17,조선일보,정치,24,액트지오,18,중립
2026-09-17,조선일보,정치,25,반대,17,부정
2026-09-17,조선일보,정치,26,대왕고래,17,중립
2026-09-17,조선일보,정치,27,위원회,17,중립
2026-09-17,조선일보,정치,28,서울,17,중립
2026-09-17,조선일보,정치,29,수사,17,부정
2026-09-17,조선일보,정치,30,감사원,16,중립
2026-09-17,조선일보,정치,31,피해자,16,중립
2026-09-17,조선일보,정치,32,확인,16,중립
2026-09-17,조선일보,정치,33,타지키스탄,15,중립
2026-09-17,조선일보,정치,34,장남,15,중립
2026-09-17,조선일보,정치,35,의혹,15,부정
2026-09-17,조선일보,정치,36,석유,15,중립
2026-09-17,조선일보,정치,37,노동자,14,중립
2026-09-17,조선일보,정치,38,한국,14,중립
2026-09-17,조선일보,정치,39,회의,14,중립
2026-09-17,조선일보,정치,40,기술,14,중립
2026-09-17,조선일보,정치,41,성공,13,긍정
2026-09-17,조선일보,정치,42,드론,12,중립
2026-09-17,조선일보,정치,43,사법,12,중립
2026-09-17,조선일보,정치,44,국방부,12,중립
2026-09-17,조선일보,정치,45,취지,12,중립
2026-09-17,조선일보,정치,46,소위,12,중립
2026-09-17,조선일보,정치,47,심사,12,중립
2026-09-17,조선일보,정치,48,가스,12,중립
2026-09-17,조선일보,정치,49,신당,11,중립
2026-09-17,조선일보,정치,50,정부,11,중립
2026-09-17,조선일보,정치,51,법제,11,중립
2026-09-17,조선일보,정치,52,조사,11,중립
2026-09-17,조선일보,정치,53,강행,11,중립
2026-09-17,조선일보,정치,54,핵심,11,중립
2026-09-17,조선일보,정치,55,내용,11,중립
2026-09-17,조선일보,정치,56,동해,11,중립
2026-09-17,조선일보,정치,57,이준석,11,중립
2026-09-17,조선일보,정치,58,철거민,10,중립
2026-09-17,조선일보,정치,59,최대,10,긍정
2026-09-17,조선일보,정치,60,확대,10,긍정
2026-09-17,조선일보,정치,61,판단,10,중립
2026-09-17,조선일보,정치,62,검토,10,중립
2026-09-17,조선일보,정치,63,법무부,10,중립
2026-09-17,조선일보,정치,64,더불어민주당,10,중립
2026-09-17,조선일보,정치,65,절차,10,중립
2026-09-17,조선일보,정치,66,여론,10,중립
2026-09-17,조선일보,정치,67,질의,10,중립
2026-09-17,조선일보,정치,68,실패,10,부정
2026-09-17,조선일보,정치,69,기업,10,중립
2026-09-17,조선일보,정치,70,양국,10,중립
2026-09-17,조선일보,정치,71,탐사,10,중립
2026-09-17,조선일보,정치,72,개발,10,중립
2026-09-17,조선일보,정치,73,구조,10,중립
2026-09-17,조선일보,정치,74,산업부,10,중립
2026-09-17,조선일보,정치,75,입찰,10,중립
2026-09-17,조선일보,정치,76,특혜,9,중립
2026-09-17,조선일보,정치,77,통합,9,중립
2026-09-17,조선일보,정치,78,논란,9,부정
2026-09-17,조선일보,정치,79,보고서,9,중립
2026-09-17,조선일보,정치,80,과정,9,중립
2026-09-17,조선일보,정치,81,천하람,9,중립
2026-09-17,조선일보,정치,82,부대,9,중립
2026-09-17,조선일보,정치,83,참여,9,긍정
2026-09-17,조선일보,정치,84,개정안,9,중립
2026-09-17,조선일보,정치,85,분야,9,중립
2026-09-17,조선일보,정치,86,프로젝트,9,중립
2026-09-17,조선일보,정치,87,러시아,9,중립
2026-09-17,조선일보,정치,88,청문,8,중립
2026-09-17,조선일보,정치,89,광물,8,중립
2026-09-17,조선일보,정치,90,파견,8,중립
2026-09-17,조선일보,정치,91,보고,8,중립
2026-09-17,조선일보,정치,92,특별,8,중립
2026-09-17,조선일보,정치,93,방안,8,중립
2026-09-17,조선일보,정치,94,지명,8,중립
2026-09-17,조선일보,정치,95,아들,8,중립
2026-09-17,조선일보,정치,96,경제,8,중립
2026-09-17,조선일보,정치,97,시절,8,중립
2026-09-17,조선일보,정치,98,검사,8,중립
2026-09-17,조선일보,정치,99,김용,8,중립
2026-09-17,조선일보,정치,100,주장,8,중립
