날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-18,데일리안,IT과학,1,이용자,40,중립
2026-09-18,데일리안,IT과학,2,게임,39,중립
2026-09-18,데일리안,IT과학,3,투자,37,긍정
2026-09-18,데일리안,IT과학,4,네트워크,33,중립
2026-09-18,데일리안,IT과학,5,서비스,30,중립
2026-09-18,데일리안,IT과학,6,정보,29,중립
2026-09-18,데일리안,IT과학,7,데일리안,28,중립
2026-09-18,데일리안,IT과학,8,캐릭터,28,중립
2026-09-18,데일리안,IT과학,9,통신,27,중립
2026-09-18,데일리안,IT과학,10,부스,24,중립
2026-09-18,데일리안,IT과학,11,연구,24,중립
2026-09-18,데일리안,IT과학,12,정책,22,중립
2026-09-18,데일리안,IT과학,13,사업자,22,중립
2026-09-18,데일리안,IT과학,14,카카오,21,중립
2026-09-18,데일리안,IT과학,15,전투,20,중립
2026-09-18,데일리안,IT과학,16,현장,19,중립
2026-09-18,데일리안,IT과학,17,기술,19,중립
2026-09-18,데일리안,IT과학,18,개발,19,중립
2026-09-18,데일리안,IT과학,19,주주,18,중립
2026-09-18,데일리안,IT과학,20,시장,18,중립
2026-09-18,데일리안,IT과학,21,질문,18,중립
2026-09-18,데일리안,IT과학,22,산업,16,중립
2026-09-18,데일리안,IT과학,23,확인,16,중립
2026-09-18,데일리안,IT과학,24,일본,16,중립
2026-09-18,데일리안,IT과학,25,점유,15,중립
2026-09-18,데일리안,IT과학,26,추진,15,중립
2026-09-18,데일리안,IT과학,27,카카오게임즈,15,중립
2026-09-18,데일리안,IT과학,28,신작,15,중립
2026-09-18,데일리안,IT과학,29,글로벌,15,중립
2026-09-18,데일리안,IT과학,30,보호,15,중립
2026-09-18,데일리안,IT과학,31,규제,15,부정
2026-09-18,데일리안,IT과학,32,수익,15,중립
2026-09-18,데일리안,IT과학,33,유전자,14,중립
2026-09-18,데일리안,IT과학,34,체계,14,중립
2026-09-18,데일리안,IT과학,35,디지털,14,중립
2026-09-18,데일리안,IT과학,36,성장,14,긍정
2026-09-18,데일리안,IT과학,37,제도,14,중립
2026-09-18,데일리안,IT과학,38,박상,14,중립
2026-09-18,데일리안,IT과학,39,플레이,14,중립
2026-09-18,데일리안,IT과학,40,회사,14,중립
2026-09-18,데일리안,IT과학,41,출시,14,긍정
2026-09-18,데일리안,IT과학,42,방식,14,중립
2026-09-18,데일리안,IT과학,43,분할,14,중립
2026-09-18,데일리안,IT과학,44,인수,13,중립
2026-09-18,데일리안,IT과학,45,과기,13,중립
2026-09-18,데일리안,IT과학,46,정통부,13,중립
2026-09-18,데일리안,IT과학,47,확대,13,긍정
2026-09-18,데일리안,IT과학,48,중심,13,중립
2026-09-18,데일리안,IT과학,49,정부,13,중립
2026-09-18,데일리안,IT과학,50,방향,13,중립
2026-09-18,데일리안,IT과학,51,기업,13,중립
2026-09-18,데일리안,IT과학,52,가능,12,중립
2026-09-18,데일리안,IT과학,53,시대,12,중립
2026-09-18,데일리안,IT과학,54,미디어,12,중립
2026-09-18,데일리안,IT과학,55,과학,12,중립
2026-09-18,데일리안,IT과학,56,개인,11,중립
2026-09-18,데일리안,IT과학,57,트래픽,11,중립
2026-09-18,데일리안,IT과학,58,기관,11,중립
2026-09-18,데일리안,IT과학,59,시연,11,중립
2026-09-18,데일리안,IT과학,60,간담회,11,중립
2026-09-18,데일리안,IT과학,61,데이터,11,중립
2026-09-18,데일리안,IT과학,62,확보,11,긍정
2026-09-18,데일리안,IT과학,63,처음,11,중립
2026-09-18,데일리안,IT과학,64,사업,11,중립
2026-09-18,데일리안,IT과학,65,전환,11,중립
2026-09-18,데일리안,IT과학,66,도쿄,11,중립
2026-09-18,데일리안,IT과학,67,환경,10,중립
2026-09-18,데일리안,IT과학,68,엔씨,10,중립
2026-09-18,데일리안,IT과학,69,결정,10,중립
2026-09-18,데일리안,IT과학,70,모델,10,중립
2026-09-18,데일리안,IT과학,71,통신부,10,중립
2026-09-18,데일리안,IT과학,72,활용,10,중립
2026-09-18,데일리안,IT과학,73,준비,10,중립
2026-09-18,데일리안,IT과학,74,설계,10,중립
2026-09-18,데일리안,IT과학,75,아스트라에,10,중립
2026-09-18,데일리안,IT과학,76,오라티오,10,중립
2026-09-18,데일리안,IT과학,77,비용,9,중립
2026-09-18,데일리안,IT과학,78,방송,9,중립
2026-09-18,데일리안,IT과학,79,일부,9,중립
2026-09-18,데일리안,IT과학,80,세계,9,중립
2026-09-18,데일리안,IT과학,81,분석,9,중립
2026-09-18,데일리안,IT과학,82,특징,9,중립
2026-09-18,데일리안,IT과학,83,기존,9,중립
2026-09-18,데일리안,IT과학,84,스마트폰,9,중립
2026-09-18,데일리안,IT과학,85,답변,9,중립
2026-09-18,데일리안,IT과학,86,방안,9,중립
2026-09-18,데일리안,IT과학,87,공개,9,중립
2026-09-18,데일리안,IT과학,88,체험,9,중립
2026-09-18,데일리안,IT과학,89,경험,9,중립
2026-09-18,데일리안,IT과학,90,자폐,8,중립
2026-09-18,데일리안,IT과학,91,위험,8,부정
2026-09-18,데일리안,IT과학,92,넷마블,8,중립
2026-09-18,데일리안,IT과학,93,유출,8,부정
2026-09-18,데일리안,IT과학,94,부담,8,부정
2026-09-18,데일리안,IT과학,95,통신사,8,중립
2026-09-18,데일리안,IT과학,96,시간,8,중립
2026-09-18,데일리안,IT과학,97,패스 오브 엑자일,8,중립
2026-09-18,데일리안,IT과학,98,문자,8,중립
2026-09-18,데일리안,IT과학,99,추가,8,중립
2026-09-18,데일리안,IT과학,100,포함,8,중립
