날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-18,매일신문,사회,1,추석,41,중립
2026-09-18,매일신문,사회,2,기준,32,중립
2026-09-18,매일신문,사회,3,도로,30,중립
2026-09-18,매일신문,사회,4,차량,28,중립
2026-09-18,매일신문,사회,5,명절,28,중립
2026-09-18,매일신문,사회,6,확인,25,중립
2026-09-18,매일신문,사회,7,아동,24,중립
2026-09-18,매일신문,사회,8,선물,24,중립
2026-09-18,매일신문,사회,9,발견,21,중립
2026-09-18,매일신문,사회,10,실종,21,부정
2026-09-18,매일신문,사회,11,기간,21,중립
2026-09-18,매일신문,사회,12,적용,21,중립
2026-09-18,매일신문,사회,13,환자,21,중립
2026-09-18,매일신문,사회,14,가산,20,중립
2026-09-18,매일신문,사회,15,연휴,19,중립
2026-09-18,매일신문,사회,16,문자,18,중립
2026-09-18,매일신문,사회,17,노동,17,중립
2026-09-18,매일신문,사회,18,면제,16,중립
2026-09-18,매일신문,사회,19,취소,16,부정
2026-09-18,매일신문,사회,20,출발,16,중립
2026-09-18,매일신문,사회,21,정부,16,중립
2026-09-18,매일신문,사회,22,부담,16,부정
2026-09-18,매일신문,사회,23,정보,16,중립
2026-09-18,매일신문,사회,24,구간,16,중립
2026-09-18,매일신문,사회,25,과태료,15,중립
2026-09-18,매일신문,사회,26,배출,15,중립
2026-09-18,매일신문,사회,27,대화,15,중립
2026-09-18,매일신문,사회,28,서울,15,중립
2026-09-18,매일신문,사회,29,대상,15,중립
2026-09-18,매일신문,사회,30,위원회,15,중립
2026-09-18,매일신문,사회,31,경찰청,15,중립
2026-09-18,매일신문,사회,32,특례,15,중립
2026-09-18,매일신문,사회,33,안전,14,긍정
2026-09-18,매일신문,사회,34,적발,14,부정
2026-09-18,매일신문,사회,35,한도,14,중립
2026-09-18,매일신문,사회,36,의원,14,중립
2026-09-18,매일신문,사회,37,기존,14,중립
2026-09-18,매일신문,사회,38,승차,14,중립
2026-09-18,매일신문,사회,39,참여,14,긍정
2026-09-18,매일신문,사회,40,통행료,13,중립
2026-09-18,매일신문,사회,41,중국,13,중립
2026-09-18,매일신문,사회,42,연합뉴스,13,중립
2026-09-18,매일신문,사회,43,안내,13,중립
2026-09-18,매일신문,사회,44,사례,13,중립
2026-09-18,매일신문,사회,45,지급,13,중립
2026-09-18,매일신문,사회,46,기업,13,중립
2026-09-18,매일신문,사회,47,결제,13,중립
2026-09-18,매일신문,사회,48,본인,13,중립
2026-09-18,매일신문,사회,49,택배,12,중립
2026-09-18,매일신문,사회,50,진입,12,중립
2026-09-18,매일신문,사회,51,상품권,12,중립
2026-09-18,매일신문,사회,52,자료,12,중립
2026-09-18,매일신문,사회,53,사칭,12,중립
2026-09-18,매일신문,사회,54,피해,12,부정
2026-09-18,매일신문,사회,55,경찰,12,중립
2026-09-18,매일신문,사회,56,공휴일,12,중립
2026-09-18,매일신문,사회,57,마약,12,부정
2026-09-18,매일신문,사회,58,주행,12,중립
2026-09-18,매일신문,사회,59,징역,11,부정
2026-09-18,매일신문,사회,60,민주노총,11,중립
2026-09-18,매일신문,사회,61,야간,11,중립
2026-09-18,매일신문,사회,62,요구,11,중립
2026-09-18,매일신문,사회,63,위반,11,부정
2026-09-18,매일신문,사회,64,부과,11,중립
2026-09-18,매일신문,사회,65,조사,11,중립
2026-09-18,매일신문,사회,66,포장,11,중립
2026-09-18,매일신문,사회,67,가족,11,중립
2026-09-18,매일신문,사회,68,제도,11,중립
2026-09-18,매일신문,사회,69,고속,11,중립
2026-09-18,매일신문,사회,70,사고,11,부정
2026-09-18,매일신문,사회,71,금액,11,중립
2026-09-18,매일신문,사회,72,진료,11,중립
2026-09-18,매일신문,사회,73,혐의,11,부정
2026-09-18,매일신문,사회,74,사회,11,중립
2026-09-18,매일신문,사회,75,링크,10,중립
2026-09-18,매일신문,사회,76,신고,10,중립
2026-09-18,매일신문,사회,77,제주,10,중립
2026-09-18,매일신문,사회,78,더본코리아,10,중립
2026-09-18,매일신문,사회,79,페리,10,중립
2026-09-18,매일신문,사회,80,자체,10,중립
2026-09-18,매일신문,사회,81,일반,10,중립
2026-09-18,매일신문,사회,82,세트,10,중립
2026-09-18,매일신문,사회,83,사전,10,중립
2026-09-18,매일신문,사회,84,전화,10,중립
2026-09-18,매일신문,사회,85,국토,10,중립
2026-09-18,매일신문,사회,86,약국,10,중립
2026-09-18,매일신문,사회,87,예매,10,중립
2026-09-18,매일신문,사회,88,쓰레기,9,중립
2026-09-18,매일신문,사회,89,배송,9,중립
2026-09-18,매일신문,사회,90,하루,9,중립
2026-09-18,매일신문,사회,91,상여금,9,중립
2026-09-18,매일신문,사회,92,실종자,9,중립
2026-09-18,매일신문,사회,93,폐기물,9,중립
2026-09-18,매일신문,사회,94,지자체,9,중립
2026-09-18,매일신문,사회,95,단속,9,중립
2026-09-18,매일신문,사회,96,기관,9,중립
2026-09-18,매일신문,사회,97,악성,9,중립
2026-09-18,매일신문,사회,98,운전자,9,중립
2026-09-18,매일신문,사회,99,교통,9,중립
2026-09-18,매일신문,사회,100,보건,9,중립
