날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-18,매일신문,이슈,1,조사,37,중립
2026-09-18,매일신문,이슈,2,발견,27,중립
2026-09-18,매일신문,이슈,3,경찰,26,중립
2026-09-18,매일신문,이슈,4,확인,25,중립
2026-09-18,매일신문,이슈,5,실종,24,부정
2026-09-18,매일신문,이슈,6,조회,23,중립
2026-09-18,매일신문,이슈,7,대통령,23,중립
2026-09-18,매일신문,이슈,8,마약,19,부정
2026-09-18,매일신문,이슈,9,투약,19,중립
2026-09-18,매일신문,이슈,10,가족,19,중립
2026-09-18,매일신문,이슈,11,미사일,18,중립
2026-09-18,매일신문,이슈,12,온라인,18,중립
2026-09-18,매일신문,이슈,13,중국,17,중립
2026-09-18,매일신문,이슈,14,이재명,17,중립
2026-09-18,매일신문,이슈,15,사우디,17,중립
2026-09-18,매일신문,이슈,16,혐의,17,부정
2026-09-18,매일신문,이슈,17,의원,17,중립
2026-09-18,매일신문,이슈,18,납부,17,중립
2026-09-18,매일신문,이슈,19,필로폰,16,중립
2026-09-18,매일신문,이슈,20,이미지,16,중립
2026-09-18,매일신문,이슈,21,고지서,16,중립
2026-09-18,매일신문,이슈,22,성평등,15,중립
2026-09-18,매일신문,이슈,23,자신,15,중립
2026-09-18,매일신문,이슈,24,여론,15,중립
2026-09-18,매일신문,이슈,25,정청래,14,중립
2026-09-18,매일신문,이슈,26,가족부,14,중립
2026-09-18,매일신문,이슈,27,교사,14,중립
2026-09-18,매일신문,이슈,28,공개,14,중립
2026-09-18,매일신문,이슈,29,실종자,13,중립
2026-09-18,매일신문,이슈,30,주장,13,중립
2026-09-18,매일신문,이슈,31,아동,12,중립
2026-09-18,매일신문,이슈,32,가능,12,중립
2026-09-18,매일신문,이슈,33,대응,12,중립
2026-09-18,매일신문,이슈,34,미국,12,중립
2026-09-18,매일신문,이슈,35,제주,11,중립
2026-09-18,매일신문,이슈,36,학교,11,중립
2026-09-18,매일신문,이슈,37,수행,10,중립
2026-09-18,매일신문,이슈,38,농지,10,중립
2026-09-18,매일신문,이슈,39,사흘,10,중립
2026-09-18,매일신문,이슈,40,더본코리아,10,중립
2026-09-18,매일신문,이슈,41,페리,10,중립
2026-09-18,매일신문,이슈,42,자료,10,중립
2026-09-18,매일신문,이슈,43,정보,10,중립
2026-09-18,매일신문,이슈,44,대상,10,중립
2026-09-18,매일신문,이슈,45,사건,10,중립
2026-09-18,매일신문,이슈,46,투표,10,중립
2026-09-18,매일신문,이슈,47,해당,10,중립
2026-09-18,매일신문,이슈,48,사례,10,중립
2026-09-18,매일신문,이슈,49,서울,10,중립
2026-09-18,매일신문,이슈,50,후보자,10,중립
2026-09-18,매일신문,이슈,51,세액,10,중립
2026-09-18,매일신문,이슈,52,계정,9,중립
2026-09-18,매일신문,이슈,53,고소,9,중립
2026-09-18,매일신문,이슈,54,보좌관,9,중립
2026-09-18,매일신문,이슈,55,재산세,9,중립
2026-09-18,매일신문,이슈,56,일반,9,중립
2026-09-18,매일신문,이슈,57,부모,9,중립
2026-09-18,매일신문,이슈,58,평가,9,중립
2026-09-18,매일신문,이슈,59,전문,9,중립
2026-09-18,매일신문,이슈,60,게시,9,중립
2026-09-18,매일신문,이슈,61,페이스북,9,중립
2026-09-18,매일신문,이슈,62,더불어민주당,9,중립
2026-09-18,매일신문,이슈,63,정책,9,중립
2026-09-18,매일신문,이슈,64,위원장,9,중립
2026-09-18,매일신문,이슈,65,국정,8,중립
2026-09-18,매일신문,이슈,66,차례,8,중립
2026-09-18,매일신문,이슈,67,탄도,8,중립
2026-09-18,매일신문,이슈,68,트럼프,8,중립
2026-09-18,매일신문,이슈,69,하프,8,중립
2026-09-18,매일신문,이슈,70,회사,8,중립
2026-09-18,매일신문,이슈,71,장관,8,중립
2026-09-18,매일신문,이슈,72,연합뉴스,8,중립
2026-09-18,매일신문,이슈,73,판단,8,중립
2026-09-18,매일신문,이슈,74,공식,8,중립
2026-09-18,매일신문,이슈,75,등록,8,중립
2026-09-18,매일신문,이슈,76,경찰서,8,중립
2026-09-18,매일신문,이슈,77,추가,8,중립
2026-09-18,매일신문,이슈,78,경찰청,8,중립
2026-09-18,매일신문,이슈,79,부담,8,부정
2026-09-18,매일신문,이슈,80,박지,8,중립
2026-09-18,매일신문,이슈,81,부처,8,중립
2026-09-18,매일신문,이슈,82,부과,8,중립
2026-09-18,매일신문,이슈,83,기한,8,중립
2026-09-18,매일신문,이슈,84,기밀,7,중립
2026-09-18,매일신문,이슈,85,추석,7,중립
2026-09-18,매일신문,이슈,86,윤영,7,중립
2026-09-18,매일신문,이슈,87,지명,7,중립
2026-09-18,매일신문,이슈,88,연휴,7,중립
2026-09-18,매일신문,이슈,89,가산세,7,중립
2026-09-18,매일신문,이슈,90,군사,7,중립
2026-09-18,매일신문,이슈,91,위반,7,부정
2026-09-18,매일신문,이슈,92,기간,7,중립
2026-09-18,매일신문,이슈,93,기관,7,중립
2026-09-18,매일신문,이슈,94,자체,7,중립
2026-09-18,매일신문,이슈,95,대표,7,중립
2026-09-18,매일신문,이슈,96,정부,7,중립
2026-09-18,매일신문,이슈,97,국회,7,중립
2026-09-18,매일신문,이슈,98,검사,7,중립
2026-09-18,매일신문,이슈,99,보호자,7,중립
2026-09-18,매일신문,이슈,100,예멘,7,중립
