날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-18,아시아경제,IT과학,1,연구,73,중립
2026-09-18,아시아경제,IT과학,2,기술,40,중립
2026-09-18,아시아경제,IT과학,3,주주,28,중립
2026-09-18,아시아경제,IT과학,4,유전자,27,중립
2026-09-18,아시아경제,IT과학,5,서비스,24,중립
2026-09-18,아시아경제,IT과학,6,카카오,23,중립
2026-09-18,아시아경제,IT과학,7,기능,21,중립
2026-09-18,아시아경제,IT과학,8,정보,21,중립
2026-09-18,아시아경제,IT과학,9,개인,21,중립
2026-09-18,아시아경제,IT과학,10,중심,20,중립
2026-09-18,아시아경제,IT과학,11,성과,19,긍정
2026-09-18,아시아경제,IT과학,12,개발,19,중립
2026-09-18,아시아경제,IT과학,13,클라우드,18,중립
2026-09-18,아시아경제,IT과학,14,전환,18,중립
2026-09-18,아시아경제,IT과학,15,업무,18,중립
2026-09-18,아시아경제,IT과학,16,목표,18,중립
2026-09-18,아시아경제,IT과학,17,세계,18,중립
2026-09-18,아시아경제,IT과학,18,임무,18,중립
2026-09-18,아시아경제,IT과학,19,분할,16,중립
2026-09-18,아시아경제,IT과학,20,활용,16,중립
2026-09-18,아시아경제,IT과학,21,변화,15,중립
2026-09-18,아시아경제,IT과학,22,국가,15,중립
2026-09-18,아시아경제,IT과학,23,과정,15,중립
2026-09-18,아시아경제,IT과학,24,과학,14,중립
2026-09-18,아시아경제,IT과학,25,연구자,14,중립
2026-09-18,아시아경제,IT과학,26,대응,14,중립
2026-09-18,아시아경제,IT과학,27,국제,14,중립
2026-09-18,아시아경제,IT과학,28,데이터,14,중립
2026-09-18,아시아경제,IT과학,29,발견,14,중립
2026-09-18,아시아경제,IT과학,30,방식,14,중립
2026-09-18,아시아경제,IT과학,31,컴퓨팅,14,중립
2026-09-18,아시아경제,IT과학,32,그룹,14,중립
2026-09-18,아시아경제,IT과학,33,자폐,13,중립
2026-09-18,아시아경제,IT과학,34,LG유플러스,13,중립
2026-09-18,아시아경제,IT과학,35,책임,13,중립
2026-09-18,아시아경제,IT과학,36,분석,13,중립
2026-09-18,아시아경제,IT과학,37,연구소,13,중립
2026-09-18,아시아경제,IT과학,38,추진,13,중립
2026-09-18,아시아경제,IT과학,39,지역,13,중립
2026-09-18,아시아경제,IT과학,40,환경,12,중립
2026-09-18,아시아경제,IT과학,41,장애,12,중립
2026-09-18,아시아경제,IT과학,42,자동,12,중립
2026-09-18,아시아경제,IT과학,43,대화,12,중립
2026-09-18,아시아경제,IT과학,44,하천,12,중립
2026-09-18,아시아경제,IT과학,45,역량,12,중립
2026-09-18,아시아경제,IT과학,46,유출,12,부정
2026-09-18,아시아경제,IT과학,47,연결,12,중립
2026-09-18,아시아경제,IT과학,48,실패,11,부정
2026-09-18,아시아경제,IT과학,49,결정,11,중립
2026-09-18,아시아경제,IT과학,50,유량,11,중립
2026-09-18,아시아경제,IT과학,51,예술,11,중립
2026-09-18,아시아경제,IT과학,52,규모,11,중립
2026-09-18,아시아경제,IT과학,53,확인,11,중립
2026-09-18,아시아경제,IT과학,54,분자,11,중립
2026-09-18,아시아경제,IT과학,55,참여,11,긍정
2026-09-18,아시아경제,IT과학,56,원장,11,중립
2026-09-18,아시아경제,IT과학,57,과제,11,중립
2026-09-18,아시아경제,IT과학,58,기반,11,중립
2026-09-18,아시아경제,IT과학,59,지원,11,긍정
2026-09-18,아시아경제,IT과학,60,노벨상,10,중립
2026-09-18,아시아경제,IT과학,61,지도,10,중립
2026-09-18,아시아경제,IT과학,62,소액,10,중립
2026-09-18,아시아경제,IT과학,63,양자,10,중립
2026-09-18,아시아경제,IT과학,64,한국,10,중립
2026-09-18,아시아경제,IT과학,65,원인,10,중립
2026-09-18,아시아경제,IT과학,66,위원,10,중립
2026-09-18,아시아경제,IT과학,67,운영,10,중립
2026-09-18,아시아경제,IT과학,68,산업,10,중립
2026-09-18,아시아경제,IT과학,69,기존,10,중립
2026-09-18,아시아경제,IT과학,70,기업,10,중립
2026-09-18,아시아경제,IT과학,71,빙하,10,중립
2026-09-18,아시아경제,IT과학,72,작품,10,중립
2026-09-18,아시아경제,IT과학,73,시대,9,중립
2026-09-18,아시아경제,IT과학,74,지분,9,중립
2026-09-18,아시아경제,IT과학,75,보안,9,중립
2026-09-18,아시아경제,IT과학,76,해결,9,중립
2026-09-18,아시아경제,IT과학,77,장소,9,중립
2026-09-18,아시아경제,IT과학,78,공간,9,중립
2026-09-18,아시아경제,IT과학,79,일상,9,중립
2026-09-18,아시아경제,IT과학,80,올리브네트웍스,9,중립
2026-09-18,아시아경제,IT과학,81,시스템,9,중립
2026-09-18,아시아경제,IT과학,82,올림픽,9,중립
2026-09-18,아시아경제,IT과학,83,대표,9,중립
2026-09-18,아시아경제,IT과학,84,인공,9,중립
2026-09-18,아시아경제,IT과학,85,지능,9,중립
2026-09-18,아시아경제,IT과학,86,생쥐,9,중립
2026-09-18,아시아경제,IT과학,87,개별,9,중립
2026-09-18,아시아경제,IT과학,88,공동,9,중립
2026-09-18,아시아경제,IT과학,89,확보,9,긍정
2026-09-18,아시아경제,IT과학,90,평가,9,중립
