날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-19,아시아경제,문화,1,초파리,32,중립
2026-09-19,아시아경제,문화,2,이름,31,중립
2026-09-19,아시아경제,문화,3,교회,30,중립
2026-09-19,아시아경제,문화,4,반려동물,27,중립
2026-09-19,아시아경제,문화,5,세계,25,중립
2026-09-19,아시아경제,문화,6,마늘,23,중립
2026-09-19,아시아경제,문화,7,식사,22,중립
2026-09-19,아시아경제,문화,8,기술,20,중립
2026-09-19,아시아경제,문화,9,연구,18,중립
2026-09-19,아시아경제,문화,10,인간,18,중립
2026-09-19,아시아경제,문화,11,게임,17,중립
2026-09-19,아시아경제,문화,12,시간,17,중립
2026-09-19,아시아경제,문화,13,대회,17,중립
2026-09-19,아시아경제,문화,14,두뇌,16,중립
2026-09-19,아시아경제,문화,15,콘텐츠,16,중립
2026-09-19,아시아경제,문화,16,대표,16,중립
2026-09-19,아시아경제,문화,17,중국,15,중립
2026-09-19,아시아경제,문화,18,시댁,15,중립
2026-09-19,아시아경제,문화,19,변화,15,중립
2026-09-19,아시아경제,문화,20,가능,14,중립
2026-09-19,아시아경제,문화,21,관람객,14,중립
2026-09-19,아시아경제,문화,22,기록,13,중립
2026-09-19,아시아경제,문화,23,인상,13,중립
2026-09-19,아시아경제,문화,24,연결,13,중립
2026-09-19,아시아경제,문화,25,노무현,13,중립
2026-09-19,아시아경제,문화,26,사회,12,중립
2026-09-19,아시아경제,문화,27,성장,12,긍정
2026-09-19,아시아경제,문화,28,팬덤,11,중립
2026-09-19,아시아경제,문화,29,방식,11,중립
2026-09-19,아시아경제,문화,30,커넥톰,11,중립
2026-09-19,아시아경제,문화,31,구현,11,중립
2026-09-19,아시아경제,문화,32,목표,11,중립
2026-09-19,아시아경제,문화,33,자신,11,중립
2026-09-19,아시아경제,문화,34,목사,11,중립
2026-09-19,아시아경제,문화,35,정치인,10,중립
2026-09-19,아시아경제,문화,36,가격,10,중립
2026-09-19,아시아경제,문화,37,지능,10,중립
2026-09-19,아시아경제,문화,38,중요,10,중립
2026-09-19,아시아경제,문화,39,연간,10,중립
2026-09-19,아시아경제,문화,40,박물관,10,중립
2026-09-19,아시아경제,문화,41,방문,10,중립
2026-09-19,아시아경제,문화,42,경기,10,중립
2026-09-19,아시아경제,문화,43,센터,10,중립
2026-09-19,아시아경제,문화,44,일상,9,중립
2026-09-19,아시아경제,문화,45,체중,9,중립
2026-09-19,아시아경제,문화,46,섭취,9,중립
2026-09-19,아시아경제,문화,47,영국,9,중립
2026-09-19,아시아경제,문화,48,신경,9,중립
2026-09-19,아시아경제,문화,49,자체,9,중립
2026-09-19,아시아경제,문화,50,경험,9,중립
2026-09-19,아시아경제,문화,51,비에트르지크,9,중립
2026-09-19,아시아경제,문화,52,실험,8,중립
2026-09-19,아시아경제,문화,53,컴퓨터,8,중립
2026-09-19,아시아경제,문화,54,새해,8,중립
2026-09-19,아시아경제,문화,55,리셋,8,중립
2026-09-19,아시아경제,문화,56,운동,8,중립
2026-09-19,아시아경제,문화,57,서울,8,중립
2026-09-19,아시아경제,문화,58,하이록스,8,중립
2026-09-19,아시아경제,문화,59,아이,8,중립
2026-09-19,아시아경제,문화,60,수치,8,중립
2026-09-19,아시아경제,문화,61,확인,8,중립
2026-09-19,아시아경제,문화,62,의미,8,중립
2026-09-19,아시아경제,문화,63,이야기,8,중립
2026-09-19,아시아경제,문화,64,지도,8,중립
2026-09-19,아시아경제,문화,65,미국,8,중립
2026-09-19,아시아경제,문화,66,서비스,8,중립
2026-09-19,아시아경제,문화,67,시장,8,중립
2026-09-19,아시아경제,문화,68,주요,8,중립
2026-09-19,아시아경제,문화,69,운영,8,중립
2026-09-19,아시아경제,문화,70,단군,8,중립
2026-09-19,아시아경제,문화,71,호랑이,8,중립
2026-09-19,아시아경제,문화,72,가족,7,중립
2026-09-19,아시아경제,문화,73,추석,7,중립
2026-09-19,아시아경제,문화,74,선수,7,중립
2026-09-19,아시아경제,문화,75,특공대,7,중립
2026-09-19,아시아경제,문화,76,평균,7,중립
2026-09-19,아시아경제,문화,77,국제,7,중립
2026-09-19,아시아경제,문화,78,연구진,7,중립
2026-09-19,아시아경제,문화,79,결정,7,중립
2026-09-19,아시아경제,문화,80,여성,7,중립
2026-09-19,아시아경제,문화,81,공개,7,중립
2026-09-19,아시아경제,문화,82,구글,7,중립
2026-09-19,아시아경제,문화,83,인공,7,중립
2026-09-19,아시아경제,문화,84,다양,7,중립
2026-09-19,아시아경제,문화,85,이해,7,중립
2026-09-19,아시아경제,문화,86,세대,7,중립
2026-09-19,아시아경제,문화,87,계기,7,중립
2026-09-19,아시아경제,문화,88,돌파,7,긍정
2026-09-19,아시아경제,문화,89,소비,7,중립
2026-09-19,아시아경제,문화,90,외국인,7,중립
2026-09-19,아시아경제,문화,91,관람,7,중립
2026-09-19,아시아경제,문화,92,케네디,7,중립
2026-09-19,아시아경제,문화,93,대통령,7,중립
2026-09-19,아시아경제,문화,94,브랜드,7,중립
2026-09-19,아시아경제,문화,95,신화,7,중립
2026-09-19,아시아경제,문화,96,상영관,6,중립
2026-09-19,아시아경제,문화,97,사업,6,중립
2026-09-19,아시아경제,문화,98,그렐린,6,중립
2026-09-19,아시아경제,문화,99,배고픔,6,중립
2026-09-19,아시아경제,문화,100,대상,6,중립
