날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-20,데일리안,이슈,긍정,1,계약,16,34.04,4,47,#0d2b5c,#0d2b5c,Y
2026-09-20,데일리안,이슈,긍정,2,투자,12,25.53,4,47,#41628d,#41628d,Y
2026-09-20,데일리안,이슈,긍정,3,출시,10,21.28,4,47,#7499bf,#7499bf,Y
2026-09-20,데일리안,이슈,긍정,4,상장,9,19.15,4,47,#a8d0f0,#a8d0f0,Y
2026-09-20,데일리안,이슈,부정,1,사퇴,31,30.39,8,102,#7a0a12,#7a0a12,Y
2026-09-20,데일리안,이슈,부정,2,수사,17,16.67,8,102,#8b2027,#8b2027,Y
2026-09-20,데일리안,이슈,부정,3,의혹,13,12.75,8,102,#9c373c,#9c373c,Y
2026-09-20,데일리안,이슈,부정,4,하락,10,9.8,8,102,#ad4d51,#ad4d51,Y
2026-09-20,데일리안,이슈,부정,5,철회,8,7.84,8,102,#bf6367,#bf6367,Y
2026-09-20,데일리안,이슈,부정,6,부담,8,7.84,8,102,#d0797c,#d0797c,Y
2026-09-20,데일리안,이슈,부정,7,취소,8,7.84,8,102,#e19091,#e19091,Y
2026-09-20,데일리안,이슈,부정,8,논란,7,6.86,8,102,#f2a6a6,#f2a6a6,Y
