날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-20,매일신문,사회,긍정,1,채용,9,30.0,4,30,#0d2b5c,#0d2b5c,Y
2026-09-20,매일신문,사회,긍정,2,공연,8,26.67,4,30,#41628d,#41628d,Y
2026-09-20,매일신문,사회,긍정,3,안전,7,23.33,4,30,#7499bf,#7499bf,Y
2026-09-20,매일신문,사회,긍정,4,인정,6,20.0,4,30,#a8d0f0,#a8d0f0,Y
2026-09-20,매일신문,사회,부정,1,취소,20,24.69,9,81,#7a0a12,#7a0a12,Y
2026-09-20,매일신문,사회,부정,2,의혹,11,13.58,9,81,#891e25,#891e25,Y
2026-09-20,매일신문,사회,부정,3,사고,10,12.35,9,81,#983137,#983137,Y
2026-09-20,매일신문,사회,부정,4,혐의,8,9.88,9,81,#a7454a,#a7454a,Y
2026-09-20,매일신문,사회,부정,5,폭행,7,8.64,9,81,#b6585c,#b6585c,Y
2026-09-20,매일신문,사회,부정,6,재판,7,8.64,9,81,#c56c6f,#c56c6f,Y
2026-09-20,매일신문,사회,부정,7,실형,6,7.41,9,81,#d47f81,#d47f81,Y
2026-09-20,매일신문,사회,부정,8,피해,6,7.41,9,81,#e39394,#e39394,Y
2026-09-20,매일신문,사회,부정,9,징역,6,7.41,9,81,#f2a6a6,#f2a6a6,Y
