날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-20,아시아경제,사회,1,청년,32,중립
2026-09-20,아시아경제,사회,2,서울,31,중립
2026-09-20,아시아경제,사회,3,주민,31,중립
2026-09-20,아시아경제,사회,4,학생,27,중립
2026-09-20,아시아경제,사회,5,연구,26,중립
2026-09-20,아시아경제,사회,6,단속,22,중립
2026-09-20,아시아경제,사회,7,지역,22,중립
2026-09-20,아시아경제,사회,8,운영,21,중립
2026-09-20,아시아경제,사회,9,지원,20,긍정
2026-09-20,아시아경제,사회,10,추석,19,중립
2026-09-20,아시아경제,사회,11,의료,19,중립
2026-09-20,아시아경제,사회,12,현장,19,중립
2026-09-20,아시아경제,사회,13,시설,17,중립
2026-09-20,아시아경제,사회,14,대상,17,중립
2026-09-20,아시아경제,사회,15,정책,17,중립
2026-09-20,아시아경제,사회,16,육군,16,중립
2026-09-20,아시아경제,사회,17,사업,15,중립
2026-09-20,아시아경제,사회,18,연휴,14,중립
2026-09-20,아시아경제,사회,19,행정,14,중립
2026-09-20,아시아경제,사회,20,글로벌,13,중립
2026-09-20,아시아경제,사회,21,학교,13,중립
2026-09-20,아시아경제,사회,22,장교,13,중립
2026-09-20,아시아경제,사회,23,참여,13,긍정
2026-09-20,아시아경제,사회,24,외국인,12,중립
2026-09-20,아시아경제,사회,25,불법,12,부정
2026-09-20,아시아경제,사회,26,안전,12,긍정
2026-09-20,아시아경제,사회,27,시장,12,중립
2026-09-20,아시아경제,사회,28,이용,12,중립
2026-09-20,아시아경제,사회,29,범죄,12,부정
2026-09-20,아시아경제,사회,30,집중,12,중립
2026-09-20,아시아경제,사회,31,폭력,11,부정
2026-09-20,아시아경제,사회,32,침수,11,부정
2026-09-20,아시아경제,사회,33,전통,11,중립
2026-09-20,아시아경제,사회,34,교육,11,중립
2026-09-20,아시아경제,사회,35,협력,11,긍정
2026-09-20,아시아경제,사회,36,경찰,11,중립
2026-09-20,아시아경제,사회,37,행위,11,중립
2026-09-20,아시아경제,사회,38,체계,11,중립
2026-09-20,아시아경제,사회,39,무료,11,중립
2026-09-20,아시아경제,사회,40,교수,11,중립
2026-09-20,아시아경제,사회,41,공동,11,중립
2026-09-20,아시아경제,사회,42,추진,10,중립
2026-09-20,아시아경제,사회,43,경찰청,10,중립
2026-09-20,아시아경제,사회,44,행사,10,중립
2026-09-20,아시아경제,사회,45,분야,10,중립
2026-09-20,아시아경제,사회,46,키즈,10,중립
2026-09-20,아시아경제,사회,47,카페,10,중립
2026-09-20,아시아경제,사회,48,가족,9,중립
2026-09-20,아시아경제,사회,49,비리,9,부정
2026-09-20,아시아경제,사회,50,대응,9,중립
2026-09-20,아시아경제,사회,51,시스템,9,중립
2026-09-20,아시아경제,사회,52,로봇,9,중립
2026-09-20,아시아경제,사회,53,진로,9,중립
2026-09-20,아시아경제,사회,54,확인,9,중립
2026-09-20,아시아경제,사회,55,구청장,9,중립
2026-09-20,아시아경제,사회,56,기반,9,중립
2026-09-20,아시아경제,사회,57,서포터즈,8,중립
2026-09-20,아시아경제,사회,58,성인,8,중립
2026-09-20,아시아경제,사회,59,설명회,8,중립
2026-09-20,아시아경제,사회,60,소통,8,긍정
2026-09-20,아시아경제,사회,61,안내,8,중립
2026-09-20,아시아경제,사회,62,지방,8,중립
2026-09-20,아시아경제,사회,63,다양,8,중립
2026-09-20,아시아경제,사회,64,기관,8,중립
2026-09-20,아시아경제,사회,65,판단,8,중립
2026-09-20,아시아경제,사회,66,기간,8,중립
2026-09-20,아시아경제,사회,67,이주,8,중립
2026-09-20,아시아경제,사회,68,가능,8,중립
2026-09-20,아시아경제,사회,69,총장,8,중립
2026-09-20,아시아경제,사회,70,융합,8,중립
2026-09-20,아시아경제,사회,71,기술,8,중립
2026-09-20,아시아경제,사회,72,장군,8,중립
2026-09-20,아시아경제,사회,73,중구,7,중립
2026-09-20,아시아경제,사회,74,유학,7,중립
2026-09-20,아시아경제,사회,75,학사,7,중립
2026-09-20,아시아경제,사회,76,암표,7,중립
2026-09-20,아시아경제,사회,77,과정,7,중립
2026-09-20,아시아경제,사회,78,역량,7,중립
2026-09-20,아시아경제,사회,79,생활,7,중립
2026-09-20,아시아경제,사회,80,연계,7,중립
2026-09-20,아시아경제,사회,81,구축,7,중립
2026-09-20,아시아경제,사회,82,예방,7,중립
2026-09-20,아시아경제,사회,83,환경,7,중립
2026-09-20,아시아경제,사회,84,조치,7,중립
2026-09-20,아시아경제,사회,85,위험,7,부정
2026-09-20,아시아경제,사회,86,수위,7,중립
2026-09-20,아시아경제,사회,87,확대,7,긍정
2026-09-20,아시아경제,사회,88,취업,7,긍정
2026-09-20,아시아경제,사회,89,협약,7,긍정
2026-09-20,아시아경제,사회,90,매크로,6,중립
2026-09-20,아시아경제,사회,91,부산시,6,중립
2026-09-20,아시아경제,사회,92,소각,6,중립
2026-09-20,아시아경제,사회,93,강화,6,긍정
2026-09-20,아시아경제,사회,94,자율,6,중립
2026-09-20,아시아경제,사회,95,숭실대,6,중립
2026-09-20,아시아경제,사회,96,병원,6,중립
2026-09-20,아시아경제,사회,97,예매,6,중립
2026-09-20,아시아경제,사회,98,성과,6,긍정
2026-09-20,아시아경제,사회,99,차단,6,중립
2026-09-20,아시아경제,사회,100,수사,6,부정
