날짜,구분,카테고리,감성,순위,단어,빈도수,감성내비중(%),감성단어수,감성총빈도,워드클라우드_색상,바차트_색상,바차트표시
2026-09-20,조선일보,사회,긍정,1,구제,19,42.22,4,45,#0d2b5c,#0d2b5c,Y
2026-09-20,조선일보,사회,긍정,2,지원,10,22.22,4,45,#41628d,#41628d,Y
2026-09-20,조선일보,사회,긍정,3,축제,9,20.0,4,45,#7499bf,#7499bf,Y
2026-09-20,조선일보,사회,긍정,4,안전,7,15.56,4,45,#a8d0f0,#a8d0f0,Y
2026-09-20,조선일보,사회,부정,1,사고,22,24.72,9,89,#7a0a12,#7a0a12,Y
2026-09-20,조선일보,사회,부정,2,취소,16,17.98,9,89,#891e25,#891e25,Y
2026-09-20,조선일보,사회,부정,3,혐의,12,13.48,9,89,#983137,#983137,Y
2026-09-20,조선일보,사회,부정,4,담합,9,10.11,9,89,#a7454a,#a7454a,Y
2026-09-20,조선일보,사회,부정,5,폭행,7,7.87,9,89,#b6585c,#b6585c,Y
2026-09-20,조선일보,사회,부정,6,구속,6,6.74,9,89,#c56c6f,#c56c6f,Y
2026-09-20,조선일보,사회,부정,7,위험,6,6.74,9,89,#d47f81,#d47f81,Y
2026-09-20,조선일보,사회,부정,8,소송,6,6.74,9,89,#e39394,#e39394,Y
2026-09-20,조선일보,사회,부정,9,부상,5,5.62,9,89,#f2a6a6,#f2a6a6,Y
